name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Vitaly Janelt,Brentford,Arsenal,2021-08-13,True,90,0.0,0.0,0.0,0.0,3,0.0,0.0,1.0,0,3.0,0.0,90.0,3.0,Brentford,False,Crystal Palace,,
Vitaly Janelt,Brentford,Crystal Palace,2021-08-21,False,86,0.0,0.05,0.0,0.04,3,2.0,2.0,5.4,0,3.0,0.03,88.0,1.0,Brentford,False,Aston Villa,,
Vitaly Janelt,Brentford,Aston Villa,2021-08-28,False,88,0.0,0.0,0.0,0.1,1,0.0,2.0,3.4,0,2.33,0.02,88.0,3.0,Brentford,True,Brighton,,
Vitaly Janelt,Brentford,Brighton,2021-09-11,True,67,0.0,0.27,0.0,0.05,3,1.0,1.0,5.1,0,2.5,0.08,82.75,3.0,Brentford,False,Wolverhampton,,
Vitaly Janelt,Brentford,Wolverhampton,2021-09-18,False,90,0.0,0.46,0.0,0.24,3,2.0,2.0,6.3,0,2.6,0.16,84.2,10.0,Brentford,True,Liverpool,,
Vitaly Janelt,Brentford,Liverpool,2021-09-25,True,90,1.0,0.5,0.0,0.07,10,1.0,2.0,10.9,3,4.0,0.26,85.17,0.0,Brentford,False,West Ham,,
Vitaly Janelt,Brentford,West Ham,,False,0,,,,,0,,,0.0,0,3.4,0.25,73.0,0.0,Brentford,True,Chelsea,,
Vitaly Janelt,Brentford,Chelsea,,True,0,,,,,0,,,0.0,0,3.2,0.25,63.88,0.0,Brentford,True,Leeds United,,
Vitaly Janelt,Brentford,Leeds United,,True,0,,,,,0,,,0.0,0,2.6,0.19,56.78,1.0,Brentford,False,Burnley,,
Vitaly Janelt,Brentford,Burnley,2021-10-30,False,22,0.0,0.02,0.0,0.0,1,1.0,0.0,1.2,0,2.2,0.1,53.3,1.0,Brentford,True,Norwich,,
Vitaly Janelt,Brentford,Norwich,2021-11-06,True,45,0.0,0.0,0.0,0.0,1,0.0,0.0,0.8,0,0.4,0.0,52.55,2.0,Brentford,False,Newcastle United,,
Vitaly Janelt,Brentford,Newcastle United,2021-11-20,False,88,0.0,0.0,0.0,0.0,2,0.0,0.0,1.8,0,0.8,0.0,55.5,3.0,Brentford,True,Everton,,
Vitaly Janelt,Brentford,Everton,2021-11-28,True,90,0.0,0.0,0.0,0.13,3,0.0,1.0,3.2,0,1.4,0.0,58.15,2.0,Brentford,False,Tottenham,,
Vitaly Janelt,Brentford,Tottenham,2021-12-02,False,69,0.0,0.0,0.0,0.04,2,0.0,1.0,2.1,0,1.8,0.0,58.93,2.0,Brentford,False,Leicester City,,
Vitaly Janelt,Brentford,Leicester City,2021-12-05,False,89,0.0,0.0,0.0,0.12,2,0.0,2.0,4.2,0,2.0,0.0,60.93,1.0,Brentford,True,Watford,,
Vitaly Janelt,Brentford,Watford,2021-12-10,True,90,0.0,0.11,0.0,0.13,1,2.0,2.0,10.5,0,2.0,0.02,62.75,0.0,Brentford,False,Brighton,,
Vitaly Janelt,Brentford,Brighton,,False,0,,,,,0,,,0.0,0,1.6,0.02,59.06,0.0,Brentford,True,Manchester City,,
Vitaly Janelt,Brentford,Manchester City,,True,0,,,,,0,,,0.0,0,1.0,0.02,55.78,1.0,Brentford,True,Aston Villa,,
Vitaly Janelt,Brentford,Aston Villa,2022-01-02,True,10,0.0,0.0,0.0,0.0,1,0.0,0.0,0.6,0,0.8,0.02,53.37,9.0,Brentford,False,Southampton,,
