name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_clean_sheet_probability,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Liam Cooper,Leeds,,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,6072,0.0,0.0,0.0,0.0,0.28,0.14,0.25,0,0.0,Leeds,False,,,
Liam Cooper,Leeds,,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,4749,0.0,0.0,0.0,0.0,0.28,0.14,0.25,0,0.0,Leeds,True,,,
Liam Cooper,Leeds,,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,4105,0.0,0.0,0.0,0.0,0.28,0.14,0.25,0,0.0,Leeds,False,,,
Liam Cooper,Leeds,,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,4021,0.0,0.0,0.0,0.0,0.28,0.14,0.25,0,0.0,Leeds,True,,,
Liam Cooper,Leeds,,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,3714,0.0,0.0,0.0,0.0,0.28,0.14,0.25,0,0.0,Leeds,False,,,
Liam Cooper,Leeds,,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,3346,0.0,0.0,0.0,0.0,0.28,0.14,0.25,0,6.0,Leeds,True,,,
Liam Cooper,Leeds,,2022-10-02,True,90,0.0,0.03,0.0,0.0,6,1.0,0.0,2.1,0,1,0,0.0,0,3814,1.2,0.01,12.86,1.0,0.28,0.14,0.25,0,1.0,Leeds,False,,,
Liam Cooper,Leeds,,2022-10-09,False,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.4,0,0,2,0.0,0,6545,1.4,0.01,22.5,0.5,0.28,0.14,0.25,0,2.0,Leeds,True,,,
Liam Cooper,Leeds,,2022-10-16,True,90,0.0,0.0,0.0,0.11,2,0.0,1.0,2.9,0,0,1,0.0,0,6712,1.8,0.01,30.0,0.33,0.28,0.14,0.25,0,1.0,Leeds,False,,,
Liam Cooper,Leeds,,2022-10-20,False,45,0.0,0.38,0.0,0.07,1,2.0,1.0,6.0,0,0,0,0.0,0,7368,2.0,0.08,31.5,0.25,0.28,0.14,0.25,0,0.0,Leeds,True,,,
Liam Cooper,Leeds,,2022-10-23,True,90,0.0,0.05,0.0,0.08,0,1.0,1.0,3.7,0,0,3,0.0,0,7117,2.0,0.09,36.82,0.2,0.28,0.14,0.25,0,2.0,Leeds,False,,,
Liam Cooper,Leeds,,2022-10-29,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,0,0,1,0.0,0,6486,1.2,0.09,41.25,0.17,0.28,0.14,0.25,0,7.0,Leeds,True,,,
Liam Cooper,Leeds,,2022-11-05,True,90,1.0,0.11,0.0,0.0,7,2.0,0.0,8.7,0,0,3,0.0,0,7553,2.4,0.11,45.0,0.14,0.28,0.14,0.25,0,0.0,Leeds,False,,,
Liam Cooper,Leeds,,2022-11-12,False,90,0.0,0.0,0.0,0.0,0,0.0,0.0,1.7,0,0,4,1.86,1,8606,2.0,0.11,48.21,0.12,0.28,0.14,0.25,0,1.0,Leeds,True,,,
Liam Cooper,Leeds,,2022-12-28,True,71,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,3,3.38,1,7156,2.0,0.03,49.73,0.11,0.28,0.14,0.25,0,7.0,Leeds,False,,,
Liam Cooper,Leeds,,2022-12-31,False,90,0.0,0.0,0.0,0.0,7,0.0,0.0,2.4,1,1,0,2.01,1,6894,3.4,0.02,52.25,0.2,0.28,0.14,0.25,0,0.0,Leeds,True,,,
Liam Cooper,Leeds,,2023-01-04,True,90,0.0,0.37,0.0,0.05,0,3.0,1.0,7.8,0,0,2,1.42,1,8414,3.0,0.1,54.47,0.18,0.28,0.14,0.25,0,1.0,Leeds,False,,,
Liam Cooper,Leeds,,2023-01-13,False,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.8,0,0,2,1.28,1,8966,1.8,0.07,56.44,0.17,0.28,0.14,0.25,0,0.0,Leeds,True,,,
Liam Cooper,Leeds,,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,7913,1.8,0.07,53.47,0.17,0.28,0.14,0.25,0,2.0,Leeds,False,,,
Liam Cooper,Leeds,,2023-02-05,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.6,0,0,1,0.27,1,7393,2.0,0.07,55.3,0.15,0.28,0.14,0.25,0,0.0,Leeds,False,,,
Liam Cooper,Leeds,,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,7393,0.6,0.07,52.67,0.15,0.28,0.14,0.25,0,0.0,Leeds,True,,,
Liam Cooper,Leeds,,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,7087,0.6,0.0,50.27,0.15,0.28,0.14,0.25,0,0.0,Leeds,False,,,
Liam Cooper,Leeds,,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,6700,0.4,0.0,48.09,0.15,0.28,0.14,0.25,0,0.0,Leeds,True,,,
Liam Cooper,Leeds,,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,6366,0.4,0.0,46.08,0.15,0.28,0.14,0.25,0,0.0,Leeds,False,,,
Liam Cooper,Leeds,,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,6355,0.0,0.0,44.24,0.15,0.28,0.14,0.25,0,0.0,Leeds,True,,,
Liam Cooper,Leeds,,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,6342,0.0,0.0,42.54,0.15,0.28,0.14,0.25,0,0.0,Leeds,False,,,
Liam Cooper,Leeds,,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,6266,0.0,0.0,40.96,0.15,0.28,0.14,0.25,0,1.0,Leeds,False,,,
