name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Moussa Niakhaté,Nott'm Forest,Newcastle United,2022-08-06,False,82,0.0,0.0,0.0,0.0,1,0.0,0.0,1.7,0,0,2,0.0,0,12386,1.0,0.0,82.0,0.0,6.0,Nott'm Forest,True,West Ham,,0.63
Moussa Niakhaté,Nott'm Forest,West Ham,2022-08-14,True,78,0.0,0.47,0.0,0.0,6,3.0,0.0,5.2,0,1,0,0.0,0,13526,3.5,0.24,80.0,0.5,0.0,Nott'm Forest,False,Everton,,-0.63
Moussa Niakhaté,Nott'm Forest,Everton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,12630,2.33,0.16,53.33,0.5,0.0,Nott'm Forest,True,Tottenham,,1.07
Moussa Niakhaté,Nott'm Forest,Tottenham,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,9405,1.75,0.12,40.0,0.5,0.0,Nott'm Forest,False,Manchester City,,-1.26
Moussa Niakhaté,Nott'm Forest,Manchester City,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,8121,1.4,0.09,32.0,0.5,0.0,Nott'm Forest,True,Bournemouth,,1.46
Moussa Niakhaté,Nott'm Forest,Bournemouth,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,7025,1.2,0.09,26.67,0.5,0.0,Nott'm Forest,True,Fulham,,-0.3
Moussa Niakhaté,Nott'm Forest,Fulham,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,6273,0.0,0.0,22.86,0.5,0.0,Nott'm Forest,False,Leeds United,,-0.8
Moussa Niakhaté,Nott'm Forest,Leeds United,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,6036,0.0,0.0,20.0,0.5,0.0,Nott'm Forest,True,Aston Villa,,0.55
Moussa Niakhaté,Nott'm Forest,Aston Villa,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,5882,0.0,0.0,17.78,0.5,0.0,Nott'm Forest,False,Wolverhampton,,-0.46
Moussa Niakhaté,Nott'm Forest,Wolverhampton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,5783,0.0,0.0,16.0,0.5,0.0,Nott'm Forest,False,Brighton,,-0.39
