name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Neal Maupay,Brighton,Manchester United,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,8.0,2.0,8.28,2.45,0.04,0.0,Brighton,True,Newcastle United,,0.73
Neal Maupay,Brighton,Newcastle United,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,8.0,2.0,8.28,2.45,0.04,0.0,Brighton,False,West Ham,,0.14
Neal Maupay,Brighton,West Ham,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,8.0,2.0,8.28,2.45,0.04,0.0,Everton,False,Brentford,,-0.55
Neal Maupay,Everton,Brentford,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,8.0,2.0,8.28,2.45,0.04,0.0,Everton,False,Leicester City,,-0.05
Neal Maupay,Everton,Leicester City,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,8.0,2.0,8.28,2.45,0.04,2.0,Everton,True,Liverpool,,-0.53
Neal Maupay,Everton,Liverpool,2022-09-03,True,90,0.0,0.94,0.0,0.26,2,5.0,4.0,10.3,0,0,0.4,0.19,15.0,8.0,2.0,8.28,2.45,0.04,9.0,Everton,True,West Ham,,0.63
Neal Maupay,Everton,West Ham,2022-09-18,True,88,1.0,0.12,0.0,0.0,9,2.0,0.0,6.4,3,0,2.2,0.21,25.43,8.0,2.0,8.28,2.45,0.04,2.0,Everton,False,Southampton,,-1.07
Neal Maupay,Everton,Southampton,2022-10-01,False,88,0.0,0.8,0.0,0.0,2,3.0,0.0,7.6,0,0,2.6,0.37,33.25,8.0,2.0,8.28,2.45,0.04,2.0,Everton,True,Manchester United,,0.38
Neal Maupay,Everton,Manchester United,2022-10-09,True,83,0.0,0.0,0.0,0.0,2,0.0,0.0,0.8,0,0,3.0,0.37,38.78,8.0,2.0,8.28,2.45,0.04,1.0,Everton,False,Tottenham,,-0.03
Neal Maupay,Everton,Tottenham,2022-10-15,False,65,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,3.2,0.37,41.4,8.0,2.0,8.28,2.45,0.04,1.0,Everton,False,Newcastle United,,-0.34
Neal Maupay,Everton,Newcastle United,2022-10-19,False,17,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,0,3.0,0.18,39.18,8.0,2.0,8.28,2.45,0.04,1.0,Everton,True,Crystal Palace,,0.81
Neal Maupay,Everton,Crystal Palace,2022-10-22,True,12,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,1.4,0.16,36.92,8.0,2.0,8.28,2.45,0.04,1.0,Everton,False,Fulham,,1.37
Neal Maupay,Everton,Fulham,2022-10-29,False,4,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,1.2,0.0,34.38,8.0,2.0,8.28,2.45,0.04,1.0,Everton,True,Leeds United,,-0.79
Neal Maupay,Everton,Leeds United,2022-11-05,True,29,0.0,0.09,0.0,0.0,1,1.0,0.0,4.4,0,0,1.0,0.02,34.0,8.0,2.0,8.28,2.45,0.04,2.0,Everton,False,Bournemouth,,0.19
Neal Maupay,Everton,Bournemouth,2022-11-12,False,73,0.0,0.12,0.0,0.02,2,2.0,1.0,4.5,0,1,1.2,0.04,36.6,8.0,2.0,8.28,2.45,0.04,2.0,Everton,True,Wolverhampton,,-0.48
