name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,selected,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Donny van de Beek,Man Utd,Brighton,2022-08-07,True,12,0.0,0.0,0.0,0.0,1,0.0,0.0,0.2,0,0,0.43,1.0,0.0,12.0,2.0,0.0,1.51,0.43,0.06,1.0,Man Utd,False,Brentford,,-0.55
Donny van de Beek,Man Utd,Brentford,2022-08-13,False,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0.44,1.0,0.0,7.5,2.0,0.0,1.51,0.43,0.06,1.0,Man Utd,True,Liverpool,,-0.53
Donny van de Beek,Man Utd,Liverpool,2022-08-22,True,4,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0.34,1.0,0.0,6.33,2.0,0.0,1.51,0.43,0.06,0.0,Man Utd,False,Southampton,,-1.07
Donny van de Beek,Man Utd,Southampton,,False,0,,,,,0,,,0.0,0,0,0.29,0.75,0.0,4.75,2.0,0.0,1.51,0.43,0.06,0.0,Man Utd,False,Leeds United,,-0.8
Donny van de Beek,Man Utd,Leeds United,,False,0,,,,,0,,,0.0,0,0,0.25,0.6,0.0,3.8,2.0,0.0,1.51,0.43,0.06,0.0,Man Utd,True,Arsenal,,0.36
Donny van de Beek,Man Utd,Arsenal,,True,0,,,,,0,,,0.0,0,0,0.24,0.4,0.0,3.17,2.0,0.0,1.51,0.43,0.06,0.0,Man Utd,False,Manchester City,,-1.26
Donny van de Beek,Man Utd,Manchester City,,False,0,,,,,0,,,0.0,0,0,0.19,0.2,0.0,2.71,2.0,0.0,1.51,0.43,0.06,0.0,Man Utd,False,Everton,,-0.63
Donny van de Beek,Man Utd,Everton,,False,0,,,,,0,,,0.0,0,0,0.18,0.0,0.0,2.38,2.0,0.0,1.51,0.43,0.06,0.0,Man Utd,True,Newcastle United,,0.73
Donny van de Beek,Man Utd,Newcastle United,,True,0,,,,,0,,,0.0,0,0,0.18,0.0,0.0,2.11,2.0,0.0,1.51,0.43,0.06,0.0,Man Utd,True,Tottenham,,1.07
Donny van de Beek,Man Utd,Tottenham,,True,0,,,,,0,,,0.0,0,0,0.17,0.0,0.0,1.9,2.0,0.0,1.51,0.43,0.06,0.0,Man Utd,False,Chelsea,,-0.72
Donny van de Beek,Man Utd,Chelsea,,False,0,,,,,0,,,0.0,0,0,0.17,0.0,0.0,1.73,2.0,0.0,1.51,0.43,0.06,0.0,Man Utd,True,West Ham,,0.63
Donny van de Beek,Man Utd,West Ham,,True,0,,,,,0,,,0.0,0,0,0.17,0.0,0.0,1.58,2.0,0.0,1.51,0.43,0.06,2.0,Man Utd,False,Aston Villa,,0.59
Donny van de Beek,Man Utd,Aston Villa,2022-11-06,False,64,0.0,0.02,0.0,0.03,2,1.0,1.0,3.9,0,0,0.17,0.4,0.0,6.38,2.0,0.0,1.51,0.43,0.06,0.0,Man Utd,False,Fulham,,1.37
Donny van de Beek,Man Utd,Fulham,,False,0,,,,,0,,,0.0,0,0,0.17,0.4,0.0,5.93,2.0,0.0,1.51,0.43,0.06,1.0,Man Utd,True,Nottingham Forest,,
Donny van de Beek,Man Utd,Nottingham Forest,2022-12-27,True,25,0.0,0.06,0.0,0.0,1,1.0,0.0,2.4,0,0,0.17,0.6,0.02,7.2,2.0,0.0,1.51,0.43,0.06,1.0,Man Utd,False,Wolverhampton,,-0.46
Donny van de Beek,Man Utd,Wolverhampton,2022-12-31,False,9,0.0,0.0,0.0,0.07,1,0.0,1.0,1.6,0,0,0.17,0.8,0.02,7.31,2.0,0.0,1.51,0.43,0.06,1.0,Man Utd,True,Bournemouth,,1.46
Donny van de Beek,Man Utd,Bournemouth,2023-01-03,True,45,0.0,0.0,0.0,0.03,1,0.0,1.0,2.4,0,1,0.17,1.0,0.02,9.53,2.0,0.0,1.51,0.43,0.06,0.0,Man Utd,True,Manchester City,,-1.17
Donny van de Beek,Man Utd,Manchester City,,True,0,,,,,0,,,0.0,0,0,0.16,0.6,0.01,9.0,2.0,0.0,1.51,0.43,0.06,0.0,Man Utd,False,Crystal Palace,,0.13
