name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Harvey White,Spurs,Southampton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,0.0,Spurs,False,Chelsea,,-0.72
Harvey White,Spurs,Chelsea,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,0.0,Spurs,True,Wolverhampton,,-0.48
Harvey White,Spurs,Wolverhampton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,0.0,Spurs,False,Nottingham Forest,,
Harvey White,Spurs,Nottingham Forest,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,0.0,Spurs,False,West Ham,,0.14
Harvey White,Spurs,West Ham,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,0.0,Spurs,True,Fulham,,-0.3
Harvey White,Spurs,Fulham,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,0.0,Spurs,True,Leeds United,,-0.79
Harvey White,Spurs,Leeds United,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,0.0,Spurs,False,Arsenal,,-0.0
Harvey White,Spurs,Arsenal,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,0.0,Spurs,False,Brighton,,-0.39
Harvey White,Spurs,Brighton,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,0.0,Spurs,True,Everton,,0.34
Harvey White,Spurs,Everton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,0.0,Spurs,False,Manchester United,,-0.1
Harvey White,Spurs,Manchester United,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,0.0,Spurs,True,Newcastle United,,0.73
Harvey White,Spurs,Newcastle United,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,0.0,Spurs,False,Bournemouth,,0.19
Harvey White,Spurs,Bournemouth,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,0.0,Spurs,True,Liverpool,,-0.53
Harvey White,Spurs,Liverpool,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,0.0,Spurs,True,Leicester City,,0.83
Harvey White,Spurs,Leicester City,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,0.0,Spurs,False,Brentford,,-0.55
Harvey White,Spurs,Brentford,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,0.0,Spurs,True,Aston Villa,,0.55
Harvey White,Spurs,Aston Villa,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,2.0,5.0,2.02,2.1,0,1.0,Spurs,False,Crystal Palace,,0.13
