name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,selected,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Jeffrey Schlupp,Crystal Palace,Arsenal,2022-08-05,True,85,0.0,0.16,0.0,0.0,2,3.0,0.0,5.2,0,0,16304,2.0,0.16,85.0,4.0,1.0,3.62,2.03,0.05,2.0,Crystal Palace,False,Liverpool,,-1.33
Jeffrey Schlupp,Crystal Palace,Liverpool,2022-08-15,False,87,0.0,0.0,0.0,0.0,2,0.0,0.0,1.6,0,0,16825,2.0,0.08,86.0,4.0,1.0,3.62,2.03,0.05,1.0,Crystal Palace,True,Aston Villa,,0.55
Jeffrey Schlupp,Crystal Palace,Aston Villa,2022-08-20,True,81,0.0,0.34,0.0,0.0,1,1.0,0.0,0.4,0,0,17234,1.67,0.16,84.33,4.0,1.0,3.62,2.03,0.05,2.0,Crystal Palace,False,Manchester City,,-1.26
Jeffrey Schlupp,Crystal Palace,Manchester City,2022-08-27,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.4,0,0,15643,1.75,0.12,85.75,4.0,1.0,3.62,2.03,0.05,3.0,Crystal Palace,True,Brentford,,0.69
Jeffrey Schlupp,Crystal Palace,Brentford,2022-08-30,True,75,0.0,0.15,0.0,0.0,3,2.0,0.0,4.0,0,0,16197,2.0,0.13,83.6,4.0,1.0,3.62,2.03,0.05,3.0,Crystal Palace,False,Newcastle United,,-0.34
Jeffrey Schlupp,Crystal Palace,Newcastle United,2022-09-03,False,90,0.0,0.09,0.0,0.0,3,3.0,0.0,3.8,0,0,16482,2.2,0.12,84.67,4.0,1.0,3.62,2.03,0.05,1.0,Crystal Palace,True,Chelsea,,-0.25
Jeffrey Schlupp,Crystal Palace,Chelsea,2022-10-01,True,16,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,15082,2.0,0.12,74.86,4.0,1.0,3.62,2.03,0.05,2.0,Crystal Palace,True,Leicester City,,0.83
Jeffrey Schlupp,Crystal Palace,Leicester City,2022-10-09,True,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.7,0,0,14438,2.2,0.05,76.75,4.0,1.0,3.62,2.03,0.05,3.0,Crystal Palace,False,Leeds United,,-0.8
Jeffrey Schlupp,Crystal Palace,Leeds United,2022-10-15,False,90,0.0,0.0,0.0,0.0,3,0.0,0.0,0.4,0,0,14224,2.4,0.05,78.22,4.0,1.0,3.62,2.03,0.05,2.0,Crystal Palace,True,Wolverhampton,,-0.48
Jeffrey Schlupp,Crystal Palace,Wolverhampton,2022-10-18,True,90,0.0,0.0,0.0,0.17,2,0.0,3.0,5.4,0,0,14497,2.2,0.02,79.4,4.0,1.0,3.62,2.03,0.05,0.0,Crystal Palace,False,Everton,,-0.63
Jeffrey Schlupp,Crystal Palace,Everton,2022-10-22,False,28,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0,0,14562,1.6,0.0,74.73,4.0,1.0,3.62,2.03,0.05,3.0,Crystal Palace,True,Southampton,,-0.38
Jeffrey Schlupp,Crystal Palace,Southampton,2022-10-29,True,90,0.0,0.0,0.0,0.03,3,0.0,1.0,2.9,0,0,13485,2.0,0.0,76.0,4.0,1.0,3.62,2.03,0.05,2.0,Crystal Palace,False,West Ham,,0.14
Jeffrey Schlupp,Crystal Palace,West Ham,2022-11-06,False,90,0.0,0.06,0.0,0.04,2,1.0,1.0,3.5,0,0,13042,2.0,0.01,77.08,4.0,1.0,3.62,2.03,0.05,1.0,Crystal Palace,False,Nottingham Forest,,
Jeffrey Schlupp,Crystal Palace,Nottingham Forest,2022-11-12,False,90,0.0,0.13,0.0,0.0,1,2.0,0.0,1.5,0,1,12812,1.6,0.04,78.0,4.0,1.0,3.62,2.03,0.05,2.0,Crystal Palace,True,Fulham,,-0.3
Jeffrey Schlupp,Crystal Palace,Fulham,2022-12-26,True,83,0.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0,1,12578,1.6,0.04,78.33,4.0,1.0,3.62,2.03,0.05,3.0,Crystal Palace,False,Bournemouth,,0.19
Jeffrey Schlupp,Crystal Palace,Bournemouth,2022-12-31,False,90,0.0,0.01,0.0,0.08,3,1.0,1.0,2.2,0,1,12499,2.2,0.04,79.06,4.0,1.0,3.62,2.03,0.05,1.0,Crystal Palace,True,Tottenham,,1.07
Jeffrey Schlupp,Crystal Palace,Tottenham,2023-01-04,True,60,0.0,0.0,0.0,0.0,1,0.0,0.0,1.8,0,1,12256,1.8,0.04,77.94,4.0,1.0,3.62,2.03,0.05,2.0,Crystal Palace,False,Chelsea,,-0.72
