name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_clean_sheet_probability,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Ben Davies,Spurs,Brentford,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.62,3.76,0.36,17.37,4.0,Spurs,True,Manchester United,,0.38
Ben Davies,Spurs,Manchester United,2023-08-19,True,20,0.0,0.47,0.0,0.0,4,2.0,0.0,1.9,0,0,0,0.35,0,2.0,0.24,10.0,0.0,1.62,3.76,0.36,17.37,1.0,Spurs,False,Bournemouth,,0.19
Ben Davies,Spurs,Bournemouth,2023-08-26,False,8,0.0,0.11,0.0,0.0,1,1.0,0.0,0.4,0,0,0,0.12,0,1.67,0.19,9.33,0.0,1.62,3.76,0.36,17.37,0.0,Spurs,False,Burnley,,0.0
Ben Davies,Spurs,Burnley,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,1.25,0.15,7.0,0.0,1.62,3.76,0.36,17.37,0.0,Spurs,True,Sheffield,,0.68
Ben Davies,Spurs,Sheffield,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,1.0,0.12,5.6,0.0,1.62,3.76,0.36,17.37,0.0,Spurs,False,Arsenal,,-0.48
Ben Davies,Spurs,Arsenal,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,1.0,0.12,4.67,0.0,1.62,3.76,0.36,17.37,1.0,Spurs,True,Liverpool,,0.18
Ben Davies,Spurs,Liverpool,2023-09-30,True,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4,0,0,0,0.0,0,0.4,0.02,5.0,0.0,1.62,3.76,0.36,17.37,1.0,Spurs,False,Luton,,
Ben Davies,Spurs,Luton,2023-10-07,False,8,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,0,0,0.03,0,0.4,0.0,5.38,0.0,1.62,3.76,0.36,17.37,0.0,Spurs,True,Fulham,,-0.13
Ben Davies,Spurs,Fulham,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.0,4.78,0.0,1.62,3.76,0.36,17.37,1.0,Spurs,False,Crystal Palace,,0.38
Ben Davies,Spurs,Crystal Palace,2023-10-27,False,45,0.0,0.0,0.0,0.0,1,0.0,0.0,1.5,0,0,0,0.27,1,0.6,0.0,8.8,0.0,1.62,3.76,0.36,17.37,0.0,Spurs,True,Chelsea,,-0.25
Ben Davies,Spurs,Chelsea,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.6,0.0,8.0,0.0,1.62,3.76,0.36,17.37,1.0,Spurs,False,Wolverhampton,,-0.52
Ben Davies,Spurs,Wolverhampton,2023-11-11,False,90,0.0,0.08,0.0,0.0,1,1.0,0.0,4.6,0,0,2,2.15,1,0.6,0.02,14.83,0.0,1.62,3.76,0.36,17.37,1.0,Spurs,True,Aston Villa,,0.64
Ben Davies,Spurs,Aston Villa,2023-11-26,True,90,0.0,0.09,0.0,0.0,1,1.0,0.0,4.1,0,0,2,1.77,1,0.6,0.03,20.62,0.0,1.62,3.76,0.36,17.37,1.0,Spurs,False,Manchester City,,-1.32
Ben Davies,Spurs,Manchester City,2023-12-03,False,90,0.0,0.0,0.0,0.0,1,0.0,0.0,2.0,0,0,3,2.64,1,0.8,0.03,25.57,0.0,1.62,3.76,0.36,17.37,1.0,Spurs,True,West Ham,,0.49
Ben Davies,Spurs,West Ham,2023-12-07,True,90,0.0,0.0,0.0,0.06,1,0.0,1.0,3.6,0,0,2,2.07,1,0.8,0.03,29.87,0.0,1.62,3.76,0.36,17.37,2.0,Spurs,True,Newcastle United,,0.55
Ben Davies,Spurs,Newcastle United,2023-12-10,True,90,0.0,0.02,0.0,0.0,2,1.0,0.0,2.3,0,0,1,1.69,1,1.2,0.04,33.62,0.0,1.62,3.76,0.36,17.37,5.0,Spurs,False,Nottingham Forest,,-0.55
Ben Davies,Spurs,Nottingham Forest,2023-12-15,False,90,0.0,0.08,0.0,0.0,5,1.0,0.0,4.3,0,1,0,1.5,1,2.0,0.04,36.94,0.09,1.62,3.76,0.36,17.37,2.0,Spurs,True,Everton,,0.53
Ben Davies,Spurs,Everton,2023-12-23,True,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.1,0,0,1,1.95,1,2.2,0.02,39.89,0.08,1.62,3.76,0.36,17.37,6.0,Spurs,False,Brighton,,-0.6
Ben Davies,Spurs,Brighton,2023-12-28,False,90,1.0,0.69,0.0,0.0,6,2.0,0.0,8.7,0,0,4,3.7,1,3.2,0.16,42.53,0.08,1.62,3.76,0.36,17.37,2.0,Spurs,True,Bournemouth,,1.22
Ben Davies,Spurs,Bournemouth,2023-12-31,True,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.5,0,0,1,1.6,1,3.4,0.16,44.9,0.07,1.62,3.76,0.36,17.37,0.0,Spurs,False,Manchester United,,-0.63
Ben Davies,Spurs,Manchester United,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,3.0,0.15,42.76,0.07,1.62,3.76,0.36,17.37,0.0,Spurs,True,Brentford,,0.79
Ben Davies,Spurs,Brentford,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,2.0,0.14,40.82,0.07,1.62,3.76,0.36,17.37,0.0,Spurs,False,Everton,,-0.24
Ben Davies,Spurs,Everton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,1.6,0.14,39.04,0.07,1.62,3.76,0.36,17.37,1.0,Spurs,True,Brighton,,-0.66
Ben Davies,Spurs,Brighton,2024-02-10,True,10,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4,0,0,0,0.0,0,0.6,0.0,37.83,0.07,1.62,3.76,0.36,17.37,1.0,Spurs,True,Wolverhampton,,0.05
Ben Davies,Spurs,Wolverhampton,2024-02-17,True,90,0.0,0.53,0.0,0.25,1,3.0,3.0,9.0,0,0,2,1.51,1,0.4,0.11,39.92,0.06,1.62,3.76,0.36,17.37,0.0,Spurs,True,Crystal Palace,,0.88
Ben Davies,Spurs,Crystal Palace,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.11,38.38,0.06,1.62,3.76,0.36,17.37,0.0,Spurs,False,Aston Villa,,0.29
Ben Davies,Spurs,Aston Villa,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.11,36.96,0.06,1.62,3.76,0.36,17.37,0.0,Spurs,False,Fulham,,0.86
Ben Davies,Spurs,Fulham,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.4,0.11,35.64,0.06,1.62,3.76,0.36,17.37,0.0,Spurs,True,Luton,,
Ben Davies,Spurs,Luton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.2,0.11,34.41,0.06,1.62,3.76,0.36,17.37,0.0,Spurs,False,West Ham,,-0.22
Ben Davies,Spurs,West Ham,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,33.27,0.06,1.62,3.76,0.36,17.37,0.0,Spurs,True,Nottingham Forest,,1.55
Ben Davies,Spurs,Nottingham Forest,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,32.19,0.06,1.62,3.76,0.36,17.37,0.0,Spurs,False,Newcastle United,,-0.41
Ben Davies,Spurs,Newcastle United,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.0,0.0,31.19,0.06,1.62,3.76,0.36,17.37,3.0,Spurs,True,Arsenal,,-0.11
Ben Davies,Spurs,Arsenal,2024-04-28,True,87,0.0,0.0,0.0,0.0,3,0.0,0.0,2.2,0,0,3,1.08,1,0.6,0.0,32.88,0.06,1.62,3.76,0.36,17.37,0.0,Spurs,False,Chelsea,,-0.85
Ben Davies,Spurs,Chelsea,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.6,0.0,31.91,0.06,1.62,3.76,0.36,17.37,0.0,Spurs,False,Liverpool,,-1.01
