name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_clean_sheet_probability,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
James Tomkins,Crystal Palace,Sheffield,2023-08-12,False,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0.0,0,0.68,1.0,0.0,1.0,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,Arsenal,,-0.11
James Tomkins,Crystal Palace,Arsenal,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.8,0.5,0.0,0.5,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Brentford,,-0.53
James Tomkins,Crystal Palace,Brentford,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.82,0.33,0.0,0.33,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,Wolverhampton,,0.05
James Tomkins,Crystal Palace,Wolverhampton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.79,0.25,0.0,0.25,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Aston Villa,,0.29
James Tomkins,Crystal Palace,Aston Villa,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.75,0.2,0.0,0.2,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,Fulham,,-0.13
James Tomkins,Crystal Palace,Fulham,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.66,0.0,0.0,0.17,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Manchester United,,-0.63
James Tomkins,Crystal Palace,Manchester United,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.59,0.0,0.0,0.14,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,Nottingham Forest,,1.55
James Tomkins,Crystal Palace,Nottingham Forest,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.55,0.0,0.0,0.12,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Newcastle United,,-0.41
James Tomkins,Crystal Palace,Newcastle United,,False,0,,,,,0,,,0.0,0,0,0,0.0,0,0.53,0.0,0.0,0.11,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,True,Tottenham,,0.69
James Tomkins,Crystal Palace,Tottenham,,True,0,,,,,0,,,0.0,0,0,0,0.0,0,0.5,0.0,0.0,0.1,0.0,0.73,0.0,0.0,9.59,0.0,Crystal Palace,False,Burnley,,0.0
