name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Max Aarons,Bournemouth,West Ham,2023-08-12,True,74,0.0,0.0,0.0,0.25,2,0.0,1.0,0.0,0,0,1,0.88,1,4501,2.0,0.0,74.0,0.0,1.0,Bournemouth,False,Liverpool,,-1.01
Max Aarons,Bournemouth,Liverpool,2023-08-19,False,90,0.0,0.02,0.0,0.0,1,1.0,0.0,3.0,0,0,3,3.08,1,13959,1.5,0.01,82.0,0.0,1.0,Bournemouth,True,Tottenham,,0.69
Max Aarons,Bournemouth,Tottenham,2023-08-26,True,90,0.0,0.0,0.0,0.08,1,0.0,1.0,3.5,0,0,2,2.06,1,16088,1.33,0.01,84.67,0.0,0.0,Bournemouth,False,Brentford,,-0.53
Max Aarons,Bournemouth,Brentford,2023-09-02,False,90,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,0,2,3.29,1,17313,1.0,0.01,86.0,0.0,6.0,Bournemouth,True,Chelsea,,-0.25
Max Aarons,Bournemouth,Chelsea,2023-09-17,True,90,0.0,0.0,0.0,0.02,6,0.0,1.0,3.6,0,1,0,1.71,1,16821,2.0,0.0,86.8,0.2,1.0,Bournemouth,False,Brighton,,-0.6
Max Aarons,Bournemouth,Brighton,2023-09-24,False,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.5,0,0,3,1.87,1,18673,1.8,0.0,87.33,0.17,0.0,Bournemouth,True,Arsenal,,-0.11
Max Aarons,Bournemouth,Arsenal,2023-09-30,True,90,0.0,0.0,0.0,0.07,0,0.0,1.0,1.8,0,0,4,3.47,1,19572,1.6,0.0,87.71,0.14,1.0,Bournemouth,False,Everton,,-0.24
Max Aarons,Bournemouth,Everton,2023-10-07,False,4,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0.17,0,23581,1.6,0.0,77.25,0.12,1.0,Bournemouth,True,Wolverhampton,,0.05
Max Aarons,Bournemouth,Wolverhampton,2023-10-21,True,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.1,0,0,2,2.06,1,23804,1.8,0.0,78.67,0.11,2.0,Bournemouth,True,Burnley,,0.39
Max Aarons,Bournemouth,Burnley,2023-10-28,True,84,0.0,0.0,0.0,0.0,2,0.0,0.0,1.4,0,0,1,0.28,1,24669,1.0,0.0,79.2,0.1,2.0,Bournemouth,False,Manchester City,,-1.32
