name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,selected,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Cheikhou Kouyaté,Nott'm Forest,Arsenal,2023-08-12,False,1,0.0,0.02,0.0,0.0,1,1.0,0.0,0.5,0,0,0.02,1.0,0.02,1.0,1.0,0.0,0.19,1.01,0.04,1.0,Nott'm Forest,True,Sheffield,,0.68
Cheikhou Kouyaté,Nott'm Forest,Sheffield,2023-08-18,True,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,0,0.02,1.0,0.01,1.0,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,False,Manchester United,,-0.63
Cheikhou Kouyaté,Nott'm Forest,Manchester United,2023-08-26,False,20,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8,0,0,0.02,0.67,0.01,7.33,1.0,0.0,0.19,1.01,0.04,1.0,Nott'm Forest,False,Chelsea,,-0.85
Cheikhou Kouyaté,Nott'm Forest,Chelsea,2023-09-02,False,17,0.0,0.0,0.0,0.06,1,0.0,1.0,2.0,0,0,0.02,0.75,0.0,9.75,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,True,Burnley,,0.39
Cheikhou Kouyaté,Nott'm Forest,Burnley,,True,0,,,,,0,,,0.0,0,0,0.02,0.6,0.0,7.8,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,False,Manchester City,,-1.32
Cheikhou Kouyaté,Nott'm Forest,Manchester City,,False,0,,,,,0,,,0.0,0,0,0.02,0.4,0.0,6.5,1.0,0.0,0.19,1.01,0.04,1.0,Nott'm Forest,True,Brentford,,0.79
Cheikhou Kouyaté,Nott'm Forest,Brentford,2023-10-01,True,13,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4,0,0,0.02,0.4,0.0,7.43,1.0,0.0,0.19,1.01,0.04,1.0,Nott'm Forest,False,Crystal Palace,,0.38
Cheikhou Kouyaté,Nott'm Forest,Crystal Palace,2023-10-07,False,7,0.0,0.03,0.0,0.0,1,1.0,0.0,0.2,0,0,0.02,0.6,0.01,7.38,1.0,0.0,0.19,1.01,0.04,1.0,Nott'm Forest,True,Luton,,
Cheikhou Kouyaté,Nott'm Forest,Luton,2023-10-21,True,12,0.0,0.0,0.0,0.0,1,0.0,0.0,0.6,0,0,0.02,0.6,0.01,7.89,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,False,Liverpool,,-1.01
Cheikhou Kouyaté,Nott'm Forest,Liverpool,,False,0,,,,,0,,,0.0,0,0,0.02,0.6,0.01,7.1,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,True,Aston Villa,,0.64
Cheikhou Kouyaté,Nott'm Forest,Aston Villa,,True,0,,,,,0,,,0.0,0,0,0.02,0.6,0.01,6.45,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,False,West Ham,,-0.22
Cheikhou Kouyaté,Nott'm Forest,West Ham,,False,0,,,,,0,,,0.0,0,0,0.02,0.4,0.01,5.92,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,True,Brighton,,-0.66
Cheikhou Kouyaté,Nott'm Forest,Brighton,,True,0,,,,,0,,,0.0,0,0,0.02,0.2,0.0,5.46,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,True,Everton,,0.53
Cheikhou Kouyaté,Nott'm Forest,Everton,,True,0,,,,,0,,,0.0,0,0,0.02,0.0,0.0,5.07,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,False,Fulham,,0.86
Cheikhou Kouyaté,Nott'm Forest,Fulham,,False,0,,,,,0,,,0.0,0,0,0.02,0.0,0.0,4.73,1.0,0.0,0.19,1.01,0.04,1.0,Nott'm Forest,False,Wolverhampton,,-0.52
Cheikhou Kouyaté,Nott'm Forest,Wolverhampton,2023-12-09,False,62,0.0,0.33,0.0,0.0,1,2.0,0.0,1.7,0,1,0.02,0.2,0.07,8.31,1.0,0.0,0.19,1.01,0.04,2.0,Nott'm Forest,True,Tottenham,,0.69
Cheikhou Kouyaté,Nott'm Forest,Tottenham,2023-12-15,True,67,0.0,0.0,0.0,0.0,2,0.0,0.0,0.7,0,1,0.02,0.6,0.07,11.76,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,True,Bournemouth,,1.22
Cheikhou Kouyaté,Nott'm Forest,Bournemouth,,True,0,,,,,0,,,0.0,0,0,0.02,0.6,0.07,11.11,1.0,0.0,0.19,1.01,0.04,1.0,Nott'm Forest,False,Newcastle United,,-0.41
