name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Jeff Hendrick,Newcastle,Aston Villa,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Newcastle,False,Manchester City,,-1.32
Jeff Hendrick,Newcastle,Manchester City,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Newcastle,True,Liverpool,,0.18
Jeff Hendrick,Newcastle,Liverpool,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Newcastle,False,Brighton,,-0.6
Jeff Hendrick,Newcastle,Brighton,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Newcastle,True,Brentford,,0.79
Jeff Hendrick,Newcastle,Brentford,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Newcastle,False,Sheffield,,-0.61
Jeff Hendrick,Newcastle,Sheffield,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Newcastle,True,Burnley,,0.39
Jeff Hendrick,Newcastle,Burnley,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Newcastle,False,West Ham,,-0.22
Jeff Hendrick,Newcastle,West Ham,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Newcastle,True,Crystal Palace,,0.88
Jeff Hendrick,Newcastle,Crystal Palace,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Newcastle,False,Wolverhampton,,-0.52
Jeff Hendrick,Newcastle,Wolverhampton,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Newcastle,True,Arsenal,,-0.11
Jeff Hendrick,Newcastle,Arsenal,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Newcastle,False,Bournemouth,,0.19
