name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_clean_sheet_probability,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Milos Kerkez,Bournemouth,Nottingham Forest,2024-08-17,False,90.0,0.0,0.0,0.0,0.03,1.0,0.0,1.0,2.7,0.0,0.0,1.0,1.3,1.0,0.37,1.0,0.0,90.0,0.0,1.7,1.39,0.29,36.85,2.0,Bournemouth,True,Newcastle United,,0.67
Milos Kerkez,Bournemouth,Newcastle United,2024-08-25,True,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.61,1.0,0.39,1.5,0.0,90.0,0.0,1.7,1.39,0.29,36.85,1.0,Bournemouth,False,Everton,,-0.39
Milos Kerkez,Bournemouth,Everton,2024-08-31,False,65.0,0.0,0.01,0.0,0.06,1.0,1.0,1.0,3.2,0.0,0.0,2.0,1.71,1.0,0.43,1.33,0.0,81.67,0.0,1.7,1.39,0.29,36.85,2.0,Bournemouth,True,Chelsea,,0.0
Milos Kerkez,Bournemouth,Chelsea,2024-09-14,True,90.0,0.0,0.04,0.0,0.0,2.0,2.0,0.0,1.3,0.0,0.0,1.0,0.78,1.0,0.38,1.5,0.01,83.75,0.0,1.7,1.39,0.29,36.85,1.0,Bournemouth,False,Liverpool,,-1.08
Milos Kerkez,Bournemouth,Liverpool,2024-09-21,False,90.0,0.0,0.01,0.0,0.09,1.0,1.0,2.0,4.6,0.0,0.0,3.0,2.06,1.0,0.38,1.4,0.01,85.0,0.0,1.7,1.39,0.29,36.85,1.0,Bournemouth,True,Southampton,,0.24
Milos Kerkez,Bournemouth,Southampton,2024-09-30,True,90.0,0.0,0.02,0.0,0.0,1.0,1.0,0.0,1.9,0.0,0.0,1.0,0.6,1.0,0.51,1.4,0.02,85.83,0.0,1.7,1.39,0.29,36.85,2.0,Bournemouth,False,Leicester City,,-0.22
Milos Kerkez,Bournemouth,Leicester City,2024-10-05,False,62.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.3,0.0,0.0,1.0,0.76,1.0,0.49,1.4,0.02,82.43,0.0,1.7,1.39,0.29,36.85,7.0,Bournemouth,True,Arsenal,,-0.32
Milos Kerkez,Bournemouth,Arsenal,2024-10-19,True,90.0,0.0,0.09,0.0,0.03,7.0,1.0,1.0,4.3,1.0,1.0,0.0,0.68,1.0,0.42,2.6,0.03,83.38,0.12,1.7,1.39,0.29,36.85,2.0,Bournemouth,False,Aston Villa,,0.11
Milos Kerkez,Bournemouth,Aston Villa,2024-10-26,False,80.0,0.0,0.02,0.0,0.08,2.0,1.0,2.0,4.5,0.0,0.0,1.0,1.81,1.0,0.43,2.6,0.03,83.0,0.11,1.7,1.39,0.29,36.85,10.0,Bournemouth,True,Manchester City,,-1.18
Milos Kerkez,Bournemouth,Manchester City,2024-11-02,True,90.0,0.0,0.0,2.0,0.89,10.0,0.0,2.0,8.4,2.0,0.0,1.0,1.56,1.0,0.43,4.4,0.43,83.7,0.1,1.7,1.39,0.29,36.85,1.0,Bournemouth,False,Brentford,,-0.15
Milos Kerkez,Bournemouth,Brentford,2024-11-09,False,90.0,0.0,0.0,0.0,0.09,1.0,0.0,1.0,4.3,0.0,0.0,3.0,1.48,1.0,1.26,4.4,0.42,84.27,0.09,1.7,1.39,0.29,36.85,1.0,Bournemouth,True,Brighton,,-0.42
Milos Kerkez,Bournemouth,Brighton,2024-11-23,True,80.0,0.0,0.0,0.0,0.38,1.0,0.0,2.0,5.7,0.0,0.0,2.0,0.91,1.0,1.56,4.2,0.42,83.92,0.08,1.7,1.39,0.29,36.85,,Bournemouth,False,Wolverhampton,,-0.53
,Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bournemouth,True,Tottenham,,0.74
,Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bournemouth,False,Ipswich Town,,
