name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_clean_sheet_probability,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Nathan Aké,Man City,Chelsea,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.0,2.18,1.74,0.27,21.14,0.0,Man City,True,Ipswich Town,,
Nathan Aké,Man City,Ipswich Town,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0,0.0,0.0,2.18,1.74,0.27,21.14,1.0,Man City,False,West Ham,,-0.34
Nathan Aké,Man City,West Ham,2024-08-31,False,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.09,0.0,1.78,0.33,0.0,0.67,0.0,2.18,1.74,0.27,21.14,0.0,Man City,True,Brentford,,0.54
Nathan Aké,Man City,Brentford,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.25,0.0,0.5,0.0,2.18,1.74,0.27,21.14,0.0,Man City,True,Arsenal,,-0.32
Nathan Aké,Man City,Arsenal,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.2,0.0,0.4,0.0,2.18,1.74,0.27,21.14,0.0,Man City,False,Newcastle United,,-0.44
Nathan Aké,Man City,Newcastle United,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.2,0.0,0.33,0.0,2.18,1.74,0.27,21.14,0.0,Man City,True,Fulham,,0.27
Nathan Aké,Man City,Fulham,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.2,0.0,0.29,0.0,2.18,1.74,0.27,21.14,0.0,Man City,False,Wolverhampton,,-0.53
Nathan Aké,Man City,Wolverhampton,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.25,0.0,2.18,1.74,0.27,21.14,0.0,Man City,True,Southampton,,0.24
Nathan Aké,Man City,Southampton,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.22,0.0,2.18,1.74,0.27,21.14,1.0,Man City,False,Bournemouth,,-0.04
Nathan Aké,Man City,Bournemouth,2024-11-02,False,72.0,0.0,0.06,0.0,0.0,1.0,1.0,0.0,1.1,0.0,0.0,2.0,1.95,1.0,0.97,0.2,0.01,7.4,0.0,2.18,1.74,0.27,21.14,0.0,Man City,False,Brighton,,-0.61
Nathan Aké,Man City,Brighton,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.2,0.01,6.73,0.0,2.18,1.74,0.27,21.14,0.0,Man City,True,Tottenham,,0.74
Nathan Aké,Man City,Tottenham,2024-11-23,True,45.0,0.0,0.12,0.0,0.0,0.0,1.0,0.0,1.4,0.0,0.0,2.0,1.55,0.0,0.95,0.2,0.04,9.92,0.0,2.18,1.74,0.27,21.14,,Man City,False,Liverpool,,-1.08
,Man City,,,,,,,,,,,,,,,,,,,,,,,,,,,,Man City,True,Nottingham Forest,,1.2
,Man City,,,,,,,,,,,,,,,,,,,,,,,,,,,,Man City,False,Crystal Palace,,0.2
