name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_clean_sheet_probability,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Nayef Aguerd,West Ham,Aston Villa,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,12428.0,0.0,0.0,0.0,0.0,1.66,0.28,0.1,38.79,0.0,West Ham,False,Crystal Palace,,0.2
Nayef Aguerd,West Ham,Crystal Palace,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,13425.0,0.0,0.0,0.0,0.0,1.66,0.28,0.1,38.79,0.0,West Ham,True,Manchester City,,-1.18
Nayef Aguerd,West Ham,Manchester City,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,12392.0,0.0,0.0,0.0,0.0,1.66,0.28,0.1,38.79,0.0,West Ham,False,Fulham,,0.53
Nayef Aguerd,West Ham,Fulham,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,8563.0,0.0,0.0,0.0,0.0,1.66,0.28,0.1,38.79,0.0,West Ham,True,Chelsea,,0.0
Nayef Aguerd,West Ham,Chelsea,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,7370.0,0.0,0.0,0.0,0.0,1.66,0.28,0.1,38.79,0.0,West Ham,False,Brentford,,-0.15
Nayef Aguerd,West Ham,Brentford,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6611.0,0.0,0.0,0.0,0.0,1.66,0.28,0.1,38.79,0.0,West Ham,True,Ipswich Town,,
Nayef Aguerd,West Ham,Ipswich Town,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6114.0,0.0,0.0,0.0,0.0,1.66,0.28,0.1,38.79,0.0,West Ham,False,Tottenham,,-0.3
Nayef Aguerd,West Ham,Tottenham,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5780.0,0.0,0.0,0.0,0.0,1.66,0.28,0.1,38.79,0.0,West Ham,True,Manchester United,,0.39
Nayef Aguerd,West Ham,Manchester United,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5603.0,0.0,0.0,0.0,0.0,1.66,0.28,0.1,38.79,0.0,West Ham,False,Nottingham Forest,,-0.54
Nayef Aguerd,West Ham,Nottingham Forest,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5374.0,0.0,0.0,0.0,0.0,1.66,0.28,0.1,38.79,0.0,West Ham,True,Everton,,0.61
Nayef Aguerd,West Ham,Everton,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5238.0,0.0,0.0,0.0,0.0,1.66,0.28,0.1,38.79,,West Ham,False,Newcastle United,,-0.44
,West Ham,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Ham,True,Arsenal,,-0.32
,West Ham,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Ham,False,Leicester City,,-0.22
