name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty,recent_minutes_3g,recent_minutes_5g,adjusted_fixture_difficulty,clean_sheets_3g_avg,clean_sheets_5g_avg,clean_sheets_ema,clean_sheets_momentum_3g,clean_sheets_momentum_5g,form_3g_avg,form_5g_avg,form_ema,form_momentum_3g,form_momentum_5g,xA_3g_avg,xA_5g_avg,xA_ema,xA_momentum_3g,xA_momentum_5g,xG_3g_avg,xG_5g_avg,xG_ema,xG_momentum_3g,xG_momentum_5g,expected_goals_conceded_3g_avg,expected_goals_conceded_5g_avg,expected_goals_conceded_ema,expected_goals_conceded_momentum_3g,expected_goals_conceded_momentum_5g,ict_index_3g_avg,ict_index_5g_avg,ict_index_ema,ict_index_momentum_3g,ict_index_momentum_5g,bonus_3g_avg,bonus_5g_avg,bonus_ema,bonus_momentum_3g,bonus_momentum_5g,next_week_specific_fixture_difficulty_3g_avg,next_week_specific_fixture_difficulty_5g_avg,next_week_specific_fixture_difficulty_ema,next_week_specific_fixture_difficulty_momentum_3g,next_week_specific_fixture_difficulty_momentum_5g,next_week_holistic_fixture_difficulty_3g_avg,next_week_holistic_fixture_difficulty_5g_avg,next_week_holistic_fixture_difficulty_ema,next_week_holistic_fixture_difficulty_momentum_3g,next_week_holistic_fixture_difficulty_momentum_5g,clean_sheets_expected_goals_conceded_3g,clean_sheets_expected_goals_conceded_5g,form_difficulty_3g,clean_sheets_form_interaction,clean_sheets_per_90,xA_per_90,xG_per_90,ict_index_per_90
Séamus Coleman,Everton,Brighton,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,4723.0,0.0,0.0,0.0,0.0,0.0,Everton,False,Tottenham,,-0.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.3,-0.3,-0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Séamus Coleman,Everton,Tottenham,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3344.0,0.0,0.0,0.0,0.0,1.0,Everton,True,Bournemouth,,0.84,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.27,0.27,0.07999999999999996,0.57,0.57,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Séamus Coleman,Everton,Bournemouth,2024-08-31,True,90.0,0.0,0.48,0.0,0.0,1.0,1.0,0.0,3.9,0.0,0.0,3.0,2.22,1.0,3304.0,0.33,0.16,30.0,0.0,0.0,Everton,False,Aston Villa,,0.11,90.0,90.0,,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.22000000000000003,0.22000000000000003,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.48,0.31999999999999995,0.31999999999999995,0.7400000000000001,0.7400000000000001,0.74,1.48,1.48,1.3,1.3,1.2999999999999998,2.5999999999999996,2.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.21666666666666665,0.21666666666666665,0.08999999999999998,-0.10666666666666665,-0.10666666666666665,0.0,0.0,,0.0,0.0,0.0,0.48,3.9
Séamus Coleman,Everton,Aston Villa,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,4047.0,0.25,0.12,22.5,0.0,0.0,Everton,False,Leicester City,,-0.22,90.0,90.0,,0.0,0.0,0.0,0.0,0.0,0.19333333333333336,0.14500000000000002,0.15666666666666668,0.05666666666666664,0.10499999999999998,0.0,0.0,0.0,,,0.16,0.12,0.48,,,0.7400000000000001,0.555,0.4933333333333334,-0.7400000000000001,-0.555,1.3,0.975,0.8666666666666667,-1.3,-0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.24333333333333332,0.10749999999999998,-0.013333333333333336,-0.4633333333333333,-0.3275,0.0,0.0,,0.0,0.0,,,3.9
Séamus Coleman,Everton,Leicester City,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3631.0,0.2,0.1,18.0,0.0,0.0,Everton,True,Crystal Palace,,0.88,90.0,90.0,,0.0,0.0,0.0,0.0,0.0,0.26,0.156,0.17111111111111113,-0.06,0.04400000000000001,0.0,0.0,0.0,,,0.16,0.096,0.48,,,0.7400000000000001,0.44400000000000006,0.32888888888888895,-0.7400000000000001,-0.44400000000000006,1.3,0.78,0.5777777777777778,-1.3,-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.25666666666666665,0.262,0.28444444444444444,0.6233333333333333,0.618,0.0,0.0,,0.0,0.0,,,3.9
Séamus Coleman,Everton,Crystal Palace,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3205.0,0.2,0.1,15.0,0.0,0.0,Everton,True,Newcastle United,,0.67,0.0,90.0,,0.0,0.0,0.0,0.0,0.0,0.21666666666666667,0.196,0.18074074074074076,-0.016666666666666663,0.0040000000000000036,0.0,0.0,0.0,,,0.0,0.096,0.48,,,0.0,0.44400000000000006,0.21925925925925932,0.0,-0.44400000000000006,0.0,0.78,0.38518518518518524,0.0,-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.44333333333333336,0.45600000000000007,0.412962962962963,0.22666666666666668,0.21399999999999997,0.0,0.0,,0.0,0.0,,,3.9
Séamus Coleman,Everton,Newcastle United,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2942.0,0.2,0.1,12.86,0.0,0.0,Everton,False,Ipswich Town,,,0.0,90.0,,0.0,0.0,0.0,0.0,0.0,0.2,0.23600000000000004,0.18716049382716052,0.0,-0.03600000000000003,0.0,0.0,0.0,,,0.0,0.096,0.48,,,0.0,0.44400000000000006,0.1461728395061729,0.0,-0.44400000000000006,0.0,0.78,0.2567901234567902,0.0,-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5166666666666666,0.288,0.412962962962963,,,0.0,0.0,,0.0,0.0,,,3.9
Séamus Coleman,Everton,Ipswich Town,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3091.0,0.0,0.0,11.25,0.0,0.0,Everton,True,Fulham,,0.27,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.16999999999999998,0.12477366255144036,-0.13333333333333333,-0.16999999999999998,0.0,0.0,0.0,,,0.0,0.0,0.48,,,0.0,0.0,0.09744855967078195,0.0,0.0,0.0,0.0,0.17119341563786014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3133333333333333,0.31999999999999995,0.3516931216931216,-0.04333333333333328,-0.04999999999999993,0.0,0.0,,0.0,0.0,,,3.9
Séamus Coleman,Everton,Fulham,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3468.0,0.0,0.0,10.0,0.0,0.0,Everton,False,Southampton,,-0.31,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.12000000000000002,0.08318244170096024,-0.06666666666666667,-0.12000000000000002,0.0,0.0,0.0,,,0.0,0.0,0.48,,,0.0,0.0,0.06496570644718798,0.0,0.0,0.0,0.0,0.11412894375857344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.013333333333333364,0.30199999999999994,0.13112874779541445,-0.29666666666666663,-0.6119999999999999,0.0,0.0,,0.0,0.0,,,3.9
Séamus Coleman,Everton,Southampton,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3743.0,0.0,0.0,9.0,0.0,0.0,Everton,False,West Ham,,-0.34,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0554549611339735,0.0,-0.08,0.0,0.0,0.0,,,0.0,0.0,0.48,,,0.0,0.0,0.04331047096479199,0.0,0.0,0.0,0.0,0.07608596250571563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.1266666666666667,0.05799999999999998,-0.025914168136390373,-0.21333333333333332,-0.398,0.0,0.0,,0.0,0.0,,,3.9
