name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,selected,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty,recent_minutes_3g,recent_minutes_5g,adjusted_fixture_difficulty,goal_stat,assist_stat,goals_3g_avg,goals_5g_avg,goals_ema,goals_momentum_3g,goals_momentum_5g,assists_3g_avg,assists_5g_avg,assists_ema,assists_momentum_3g,assists_momentum_5g,form_3g_avg,form_5g_avg,form_ema,form_momentum_3g,form_momentum_5g,xG_3g_avg,xG_5g_avg,xG_ema,xG_momentum_3g,xG_momentum_5g,xA_3g_avg,xA_5g_avg,xA_ema,xA_momentum_3g,xA_momentum_5g,ict_index_3g_avg,ict_index_5g_avg,ict_index_ema,ict_index_momentum_3g,ict_index_momentum_5g,bonus_3g_avg,bonus_5g_avg,bonus_ema,bonus_momentum_3g,bonus_momentum_5g,shots_3g_avg,shots_5g_avg,shots_ema,shots_momentum_3g,shots_momentum_5g,next_week_specific_fixture_difficulty_3g_avg,next_week_specific_fixture_difficulty_5g_avg,next_week_specific_fixture_difficulty_ema,next_week_specific_fixture_difficulty_momentum_3g,next_week_specific_fixture_difficulty_momentum_5g,next_week_holistic_fixture_difficulty_3g_avg,next_week_holistic_fixture_difficulty_5g_avg,next_week_holistic_fixture_difficulty_ema,next_week_holistic_fixture_difficulty_momentum_3g,next_week_holistic_fixture_difficulty_momentum_5g,goals_ict_index_3g,goals_ict_index_5g,form_difficulty_3g,form_consistency,goal_contribution,assist_contribution,points_per_minute_delta,goals_per_90,assists_per_90,xG_per_90,xA_per_90,ict_index_per_90
Darwin Núñez Ribeiro,Liverpool,Ipswich Town,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,511713.0,0.0,0.0,0.0,11.0,8.0,19.21,5.94,0.06,1.0,Liverpool,True,Brentford,,0.54,0.0,0.0,,30.21,13.940000000000001,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.54,0.54,0.54,0.0,0.0,0.0,0.0,,,,,-0.06,0.0,0.0,0.0,0.0,0.0
Darwin Núñez Ribeiro,Liverpool,Brentford,2024-08-25,True,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.0,0.0,418852.0,0.5,0.0,9.0,11.0,8.0,19.21,5.94,0.06,1.0,Liverpool,False,Manchester United,,-0.41,18.0,18.0,,30.21,13.940000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.16666666666666666,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.2333333333333333,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.06500000000000003,0.06500000000000003,0.22333333333333338,-0.475,-0.475,0.0,0.0,,0.3535533905932738,0.0,0.0,-0.004444444444444445,0.0,0.0,0.0,0.0,3.4999999999999996
Darwin Núñez Ribeiro,Liverpool,Manchester United,2024-09-01,False,14.0,0.0,0.1,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,316309.0,0.67,0.03,10.67,11.0,8.0,19.21,5.94,0.06,1.0,Liverpool,True,Nottingham Forest,,1.2,32.0,32.0,,30.21,13.940000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38999999999999996,0.38999999999999996,0.33444444444444443,0.2800000000000001,0.2800000000000001,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666668,0.06666666666666668,0.0,0.0,0.0,0.0,0.0,0.39999999999999997,0.39999999999999997,0.3222222222222222,0.10000000000000003,0.10000000000000003,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.0,0.0,,,,0.44333333333333336,0.44333333333333336,0.5488888888888889,0.7566666666666666,0.7566666666666666,0.0,0.0,,0.34828149534536,0.0,0.0,0.011428571428571427,0.0,0.0,0.28125,0.0,3.3749999999999996
Darwin Núñez Ribeiro,Liverpool,Nottingham Forest,2024-09-14,True,30.0,0.0,0.0,0.0,0.02,1.0,0.0,1.0,1.5,0.0,0.0,255882.0,0.75,0.03,15.5,11.0,8.0,19.21,5.94,0.06,6.0,Liverpool,True,Bournemouth,,0.84,62.0,62.0,,30.21,13.940000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.48,0.472962962962963,0.10999999999999999,0.27,0.03333333333333333,0.025,0.022222222222222223,-0.03333333333333333,-0.025,0.006666666666666667,0.005,0.006666666666666666,0.013333333333333332,0.015,0.9,0.675,0.7148148148148148,0.6,0.825,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.22222222222222224,-0.3333333333333333,-0.25,0.0,0.0,,,,0.5433333333333333,0.5425,0.6459259259259259,0.29666666666666663,0.2975,0.0,0.0,,0.33655113529249414,0.0,0.0,-0.026666666666666665,0.0,0.0,0.14516129032258066,0.02903225806451613,3.9193548387096775
Darwin Núñez Ribeiro,Liverpool,Bournemouth,2024-09-21,True,71.0,1.0,0.29,0.0,0.0,6.0,3.0,0.0,9.1,0.0,1.0,237329.0,1.8,0.08,26.6,11.0,8.0,19.21,5.94,0.06,0.0,Liverpool,False,Wolverhampton,,-0.53,115.0,133.0,,30.21,13.940000000000001,0.3333333333333333,0.2,0.3333333333333333,0.6666666666666667,0.8,0.0,0.0,0.0,0.0,0.0,1.0733333333333335,0.744,0.9153086419753087,0.7266666666666666,1.056,0.13,0.078,0.11148148148148147,0.15999999999999998,0.21199999999999997,0.006666666666666667,0.004,0.0044444444444444444,-0.006666666666666667,-0.004,3.6999999999999997,2.3600000000000003,3.5098765432098764,5.4,6.739999999999999,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.8,1.1481481481481481,1.6666666666666667,2.2,0.0,0.0,,,,0.5033333333333334,0.328,0.25395061728395063,-1.0333333333333334,-0.8580000000000001,1.2333333333333332,0.4720000000000001,,0.6583540081141757,0.14285714285714285,0.0,0.024507042253521127,0.6766917293233082,0.0,0.2639097744360902,0.013533834586466165,7.984962406015038
Darwin Núñez Ribeiro,Liverpool,Wolverhampton,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,252440.0,1.8,0.08,22.17,11.0,8.0,19.21,5.94,0.06,0.0,Liverpool,False,Crystal Palace,,0.2,101.0,133.0,,30.21,13.940000000000001,0.3333333333333333,0.2,0.3333333333333333,,,0.0,0.0,0.0,,,1.4500000000000002,1.104,1.2102057613168724,0.34999999999999987,0.696,0.09666666666666666,0.07799999999999999,0.11148148148148147,,,0.006666666666666667,0.004,0.0044444444444444444,,,3.533333333333333,2.36,2.3399176954732512,-3.533333333333333,-2.36,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.1481481481481481,,,0.0,0.0,,,,0.17,0.26,0.23596707818930046,0.03,-0.06,1.1777777777777776,0.472,,0.6417398226695926,,,-0.06,,,,,7.984962406015036
Darwin Núñez Ribeiro,Liverpool,Crystal Palace,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,239231.0,1.6,0.08,19.0,11.0,8.0,19.21,5.94,0.06,1.0,Liverpool,True,Chelsea,,0.0,71.0,115.0,,30.21,13.940000000000001,0.3333333333333333,0.2,0.3333333333333333,,,0.0,0.0,0.0,,,1.7333333333333334,1.324,1.3401371742112484,-0.1333333333333333,0.276,0.09666666666666664,0.07799999999999999,0.11148148148148147,,,0.0,0.004,0.0044444444444444444,,,3.033333333333333,2.2199999999999998,1.559945130315501,-3.033333333333333,-2.2199999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.1481481481481481,,,0.0,0.0,,,,-0.11,0.34199999999999997,0.15731138545953366,0.11,-0.34199999999999997,1.011111111111111,0.44399999999999995,,0.5671243249940883,,,-0.06,,,,,7.984962406015036
Darwin Núñez Ribeiro,Liverpool,Chelsea,2024-10-20,True,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,225143.0,1.6,0.06,24.12,11.0,8.0,19.21,5.94,0.06,4.0,Liverpool,False,Arsenal,,-0.56,60.0,161.0,,30.21,13.940000000000001,0.0,0.2,0.1568627450980392,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.5100000000000002,1.4267581161408325,-0.06666666666666665,0.08999999999999986,0.0,0.05799999999999998,0.05246187363834423,0.0,-0.05799999999999998,0.0,0.004,0.0020915032679738564,0.0,-0.004,0.3333333333333333,2.32,1.3732967535436673,0.6666666666666667,-1.3199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5403050108932462,0.0,-0.6,0.0,0.0,,,,-0.12000000000000001,-0.010000000000000009,-0.08179240969364422,-0.44000000000000006,-0.55,0.0,0.46399999999999997,,0.4364630568559042,0.0,0.0,-0.043333333333333335,0.46632124352331605,0.0,0.18186528497409324,0.009326424870466322,5.9689119170984455
Darwin Núñez Ribeiro,Liverpool,Arsenal,2024-10-27,False,90.0,0.0,0.0,1.0,0.59,4.0,0.0,1.0,3.9,0.0,1.0,227322.0,2.2,0.26,31.44,11.0,8.0,19.21,5.94,0.06,2.0,Liverpool,True,Brighton,,-0.42,150.0,221.0,,30.21,13.940000000000001,0.0,0.2,0.10457516339869283,0.0,-0.2,0.3333333333333333,0.2,0.3333333333333333,0.6666666666666667,0.8,1.8,1.8,1.684505410760555,0.40000000000000013,0.40000000000000013,0.0,0.05799999999999998,0.034974582425562825,0.0,-0.05799999999999998,0.19666666666666666,0.118,0.19806100217864922,0.3933333333333333,0.472,1.6333333333333335,2.8,2.2155311690291115,2.2666666666666666,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3602033405954975,0.0,-0.6,0.0,0.0,,,,-0.32666666666666666,-0.262,-0.19452827312909615,-0.09333333333333332,-0.15799999999999997,0.0,0.5599999999999999,,0.24494897427831874,0.0,0.2,-0.015555555555555552,0.31802120141342755,0.31802120141342755,0.12402826855123673,0.19399293286219083,5.31095406360424
Darwin Núñez Ribeiro,Liverpool,Brighton,2024-11-02,True,76.0,0.0,0.08,0.0,0.27,2.0,1.0,1.0,4.8,0.0,1.0,253660.0,1.4,0.22,35.9,11.0,8.0,19.21,5.94,0.06,7.0,Liverpool,True,Aston Villa,,0.66,226.0,226.0,,30.21,13.940000000000001,0.0,0.0,0.06971677559912856,0.0,0.0,0.3333333333333333,0.2,0.22222222222222224,-0.3333333333333333,-0.2,1.7333333333333332,1.72,1.58967027384037,-0.33333333333333326,-0.32000000000000006,0.02666666666666667,0.016,0.04998305495037522,0.05333333333333333,0.064,0.2866666666666667,0.172,0.2220406681190995,-0.016666666666666663,0.09800000000000003,3.233333333333333,1.94,3.077020779352741,1.5666666666666669,2.86,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.5734688937303317,0.6666666666666667,0.8,0.0,0.0,,,,-0.10666666666666669,-0.023999999999999976,0.09031448458060254,0.7666666666666667,0.684,0.0,0.0,,0.30331501776206277,0.0,0.0,-0.03368421052631579,0.25069637883008355,0.25069637883008355,0.11782729805013926,0.22061281337047353,5.389972144846797
