name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,last_season_clean_sheet_probability,last_season_total_saves,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Caoimhin Kelleher,Liverpool,Ipswich Town,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,28.0,10.33,0.0,Liverpool,True,Brentford,-2.96,0.54
Caoimhin Kelleher,Liverpool,Brentford,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,28.0,10.33,0.0,Liverpool,False,Manchester United,0.18,-0.41
Caoimhin Kelleher,Liverpool,Manchester United,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,28.0,10.33,0.0,Liverpool,True,Nottingham Forest,-1.23,1.2
Caoimhin Kelleher,Liverpool,Nottingham Forest,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,28.0,10.33,9.0,Liverpool,True,Bournemouth,-4.12,0.84
Caoimhin Kelleher,Liverpool,Bournemouth,2024-09-21,True,90.0,0.0,1.08,7.0,0.0,9.0,1.0,1.0,0.0,1.0,1.8,0.0,18.0,1.0,7.0,0.2,28.0,10.33,0.0,Liverpool,False,Wolverhampton,1.32,-0.53
Caoimhin Kelleher,Liverpool,Wolverhampton,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.8,0.0,15.0,1.0,7.0,0.2,28.0,10.33,0.0,Liverpool,False,Crystal Palace,0.35,0.2
Caoimhin Kelleher,Liverpool,Crystal Palace,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.8,0.0,12.86,1.0,7.0,0.2,28.0,10.33,2.0,Liverpool,True,Chelsea,-1.38,0.0
Caoimhin Kelleher,Liverpool,Chelsea,2024-10-20,True,90.0,1.0,0.99,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.2,0.0,22.5,0.5,4.0,0.2,28.0,10.33,1.0,Liverpool,False,Arsenal,2.26,-0.56
Caoimhin Kelleher,Liverpool,Arsenal,2024-10-27,False,90.0,2.0,1.03,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.4,0.0,30.0,0.33,3.0,0.2,28.0,10.33,,Liverpool,True,Brighton,1.7,-0.42
,Liverpool,,,,,,,,,,,,,,,,,,,,,,,Liverpool,True,Aston Villa,-0.35,0.66
,Liverpool,,,,,,,,,,,,,,,,,,,,,,,Liverpool,False,Southampton,2.18,-0.31
