name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,selected,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty,recent_minutes_3g,recent_minutes_5g,adjusted_fixture_difficulty,goal_stat,assist_stat,goals_3g_avg,goals_5g_avg,goals_ema,goals_momentum_3g,goals_momentum_5g,assists_3g_avg,assists_5g_avg,assists_ema,assists_momentum_3g,assists_momentum_5g,form_3g_avg,form_5g_avg,form_ema,form_momentum_3g,form_momentum_5g,xG_3g_avg,xG_5g_avg,xG_ema,xG_momentum_3g,xG_momentum_5g,xA_3g_avg,xA_5g_avg,xA_ema,xA_momentum_3g,xA_momentum_5g,ict_index_3g_avg,ict_index_5g_avg,ict_index_ema,ict_index_momentum_3g,ict_index_momentum_5g,bonus_3g_avg,bonus_5g_avg,bonus_ema,bonus_momentum_3g,bonus_momentum_5g,key_passes_3g_avg,key_passes_5g_avg,key_passes_ema,key_passes_momentum_3g,key_passes_momentum_5g,shots_3g_avg,shots_5g_avg,shots_ema,shots_momentum_3g,shots_momentum_5g,next_week_specific_fixture_difficulty_3g_avg,next_week_specific_fixture_difficulty_5g_avg,next_week_specific_fixture_difficulty_ema,next_week_specific_fixture_difficulty_momentum_3g,next_week_specific_fixture_difficulty_momentum_5g,next_week_holistic_fixture_difficulty_3g_avg,next_week_holistic_fixture_difficulty_5g_avg,next_week_holistic_fixture_difficulty_ema,next_week_holistic_fixture_difficulty_momentum_3g,next_week_holistic_fixture_difficulty_momentum_5g,key_passes_assists_3g,shots_goals_3g,key_passes_assists_5g,shots_goals_5g,form_difficulty_3g,form_consistency,goal_contribution,assist_contribution,points_per_minute_delta,goals_per_90,assists_per_90,key_passes_per_90,shots_per_90,xG_per_90,xA_per_90,ict_index_per_90
Amadou Onana,Aston Villa,West Ham,2024-08-17,False,90.0,1.0,0.52,0.0,0.0,10.0,1.0,0.0,8.6,3.0,1.0,74901.0,10.0,0.52,90.0,2.0,0.0,2.57,2.41,0.03,1.0,Aston Villa,True,Arsenal,,-0.32,90.0,90.0,,4.57,2.41,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.52,0.52,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,8.6,8.6,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,-0.32,-0.32,-0.32,0.0,0.0,0.0,1.0,0.0,1.0,,,0.09090909090909091,0.0,0.0811111111111111,1.0,0.0,0.0,1.0,0.52,0.0,8.6
Amadou Onana,Aston Villa,Arsenal,2024-08-24,True,75.0,0.0,0.11,0.0,0.0,1.0,2.0,0.0,0.9,0.0,1.0,309609.0,5.5,0.32,82.5,2.0,0.0,2.57,2.41,0.03,9.0,Aston Villa,False,Leicester City,,-0.22,165.0,165.0,,4.57,2.41,0.5,0.5,0.6666666666666667,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,7.75,7.75,8.500000000000002,-2.25,-2.25,0.315,0.315,0.3833333333333334,-0.20500000000000002,-0.20500000000000002,0.0,0.0,0.0,0.0,0.0,4.75,4.75,6.033333333333333,-3.85,-3.85,1.5,1.5,2.0,-1.5,-1.5,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.3333333333333335,0.5,0.5,0.0,0.0,,,,-0.27,-0.27,-0.28666666666666674,0.05000000000000002,0.05000000000000002,0.0,0.75,0.0,0.75,,3.181980515339464,0.0,0.0,-0.016666666666666663,0.5454545454545455,0.0,0.0,1.6363636363636365,0.34363636363636363,0.0,5.181818181818182
Amadou Onana,Aston Villa,Leicester City,2024-08-31,False,61.0,1.0,0.72,0.0,0.05,9.0,3.0,1.0,9.7,2.0,1.0,397994.0,6.67,0.45,75.33,2.0,0.0,2.57,2.41,0.03,1.0,Aston Villa,True,Everton,,0.61,226.0,226.0,,4.57,2.41,0.6666666666666666,0.6666666666666666,0.7777777777777779,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,7.390000000000001,7.390000000000001,7.890000000000002,-0.7200000000000006,-0.7200000000000006,0.45,0.45,0.49555555555555564,0.26999999999999996,0.26999999999999996,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333334,0.03333333333333334,6.3999999999999995,6.3999999999999995,7.255555555555556,3.3,3.3,1.6666666666666667,1.6666666666666667,2.0,0.33333333333333326,0.33333333333333326,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,2.0,2.0,1.888888888888889,1.0,1.0,0.0,0.0,,,,0.023333333333333317,0.023333333333333317,0.012222222222222134,0.5866666666666667,0.5866666666666667,0.0,1.3333333333333333,0.0,1.3333333333333333,,2.3348019187931124,0.1,0.0,0.11754098360655738,0.7964601769911505,0.0,0.39823008849557523,2.3893805309734515,0.5376106194690266,0.01991150442477876,7.646017699115044
Amadou Onana,Aston Villa,Everton,2024-09-14,True,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1164286.0,5.25,0.34,67.75,2.0,0.0,2.57,2.41,0.03,2.0,Aston Villa,True,Wolverhampton,,-0.08,181.0,271.0,,4.57,2.41,0.3333333333333333,0.5,0.5185185185185187,-0.3333333333333333,-0.5,0.0,0.0,0.0,0.0,0.0,5.8066666666666675,6.855,7.0100000000000025,-0.5566666666666675,-1.6050000000000004,0.27666666666666667,0.3375,0.3303703703703705,-0.27666666666666667,-0.3375,0.016666666666666666,0.0125,0.011111111111111112,-0.016666666666666666,-0.0125,3.6999999999999997,4.925,5.003703703703705,-3.1999999999999997,-4.425,0.6666666666666666,1.25,1.3333333333333335,-0.6666666666666666,-1.25,0.3333333333333333,0.25,0.22222222222222224,-0.3333333333333333,-0.25,1.6666666666666667,1.5,1.2592592592592595,-1.6666666666666667,-1.5,0.0,0.0,,,,0.10333333333333332,-0.0025000000000000126,-0.018518518518518573,-0.18333333333333332,-0.07749999999999999,0.0,0.5555555555555556,0.0,0.75,,2.1861152760090214,0.0,0.0,-0.007777777777777776,0.6642066420664207,0.0,0.33210332103321033,1.992619926199262,0.448339483394834,0.016605166051660517,6.5424354243542435
Amadou Onana,Aston Villa,Wolverhampton,2024-09-21,True,61.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.8,0.0,1.0,1265414.0,4.6,0.27,66.4,2.0,0.0,2.57,2.41,0.03,2.0,Aston Villa,False,Ipswich Town,,,167.0,332.0,,4.57,2.41,0.3333333333333333,0.4,0.34567901234567916,-0.3333333333333333,-0.4,0.0,0.0,0.0,0.0,0.0,5.506666666666667,6.403999999999999,6.206666666666669,-0.9066666666666672,-1.8039999999999994,0.24,0.27,0.220246913580247,-0.24,-0.27,0.016666666666666666,0.01,0.0074074074074074086,-0.016666666666666666,-0.01,4.333333333333333,4.5,4.269135802469137,-1.5333333333333332,-1.7000000000000002,0.6666666666666666,1.0,0.8888888888888891,-0.6666666666666666,-1.0,0.3333333333333333,0.2,0.14814814814814817,-0.3333333333333333,-0.2,1.0,1.2,0.8395061728395065,-1.0,-1.2,0.0,0.0,,,,0.17666666666666664,-0.00200000000000001,-0.018518518518518573,,,0.0,0.3333333333333333,0.0,0.48,,2.145071094392911,0.0,0.0,0.002786885245901642,0.5421686746987951,0.0,0.2710843373493976,1.6265060240963853,0.36596385542168675,0.01355421686746988,6.099397590361446
Amadou Onana,Aston Villa,Ipswich Town,2024-09-29,False,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.1,0.0,1.0,1212017.0,3.0,0.17,70.33,2.0,0.0,2.57,2.41,0.03,0.0,Aston Villa,True,Manchester United,,0.39,196.0,332.0,,4.57,2.41,0.0,0.2,0.23045267489711946,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,4.283333333333333,5.004,5.13777777777778,-1.2833333333333332,-2.0039999999999996,0.0,0.16599999999999998,0.1468312757201647,0.0,-0.16599999999999998,0.0,0.01,0.004938271604938273,0.0,-0.01,2.1333333333333333,3.4,3.879423868312758,0.9666666666666668,-0.2999999999999998,0.0,0.4,0.5925925925925928,0.0,-0.4,0.0,0.2,0.09876543209876545,0.0,-0.2,0.0,1.0,0.5596707818930043,0.0,-1.0,0.0,0.0,,,,0.10333333333333332,0.13999999999999999,0.1565608465608465,0.2866666666666667,0.25,0.0,0.0,0.0,0.2,,1.3473418274513709,0.0,0.0,-0.007777777777777776,0.42654028436018954,0.0,0.21327014218009477,1.2796208530805686,0.28791469194312796,0.01066350710900474,5.459715639810426
Amadou Onana,Aston Villa,Manchester United,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,952942.0,2.8,0.14,60.29,2.0,0.0,2.57,2.41,0.03,2.0,Aston Villa,False,Fulham,,0.53,151.0,257.0,,4.57,2.41,0.0,0.2,0.23045267489711946,,,0.0,0.0,0.0,,,3.4666666666666663,4.464,4.358518518518521,-0.6666666666666665,-1.6640000000000006,0.0,0.144,0.1468312757201647,,,0.0,0.01,0.004938271604938273,,,1.9666666666666668,3.22,2.5862825788751724,-1.9666666666666668,-3.22,0.0,0.4,0.3950617283950619,0.0,-0.4,0.0,0.2,0.09876543209876545,,,0.0,0.6,0.5596707818930043,,,0.0,0.0,,,,0.30666666666666664,0.29,0.2810405643738977,0.22333333333333338,0.24000000000000005,0.0,0.0,0.0,0.12,,1.6136077590294362,,,-0.03,,,,,,,5.459715639810426
Amadou Onana,Aston Villa,Fulham,2024-10-19,False,74.0,0.0,0.0,0.0,0.06,2.0,0.0,1.0,2.6,0.0,1.0,771989.0,1.4,0.0,62.0,2.0,0.0,2.57,2.41,0.03,0.0,Aston Villa,True,Bournemouth,,0.84,164.0,270.0,,4.57,2.41,0.0,0.0,0.13168724279835398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,3.41,3.3723456790123474,-1.0,-2.0100000000000002,0.0,0.0,0.0839035861258084,0.0,0.0,0.02,0.012,0.028536155202821864,0.039999999999999994,0.048,1.9000000000000001,1.8,2.5908550525834486,0.7,0.8,0.0,0.0,0.26337448559670795,0.0,0.0,0.3333333333333333,0.2,0.4850088183421516,0.6666666666666667,0.8,0.0,0.0,0.31981187536743105,0.0,0.0,0.0,0.0,,,,0.5866666666666666,0.33599999999999997,0.4673603762492651,0.2533333333333334,0.504,0.0,0.0,0.0,0.0,,1.5315025301970604,0.0,0.0,-0.0029729729729729704,0.3629032258064516,0.0,0.3629032258064516,1.0887096774193548,0.24495967741935484,0.019959677419354838,5.116935483870968
Amadou Onana,Aston Villa,Bournemouth,2024-10-26,True,45.0,0.0,0.44,0.0,0.0,0.0,2.0,0.0,4.6,0.0,1.0,723203.0,1.2,0.09,60.11,2.0,0.0,2.57,2.41,0.03,2.0,Aston Villa,False,Tottenham,,-0.3,119.0,270.0,,4.57,2.41,0.0,0.0,0.08779149519890266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,2.6,2.6482304526748983,-0.5999999999999999,-1.4000000000000001,0.14666666666666667,0.088,0.20260239075053893,0.29333333333333333,0.352,0.02,0.012,0.019024103468547913,-0.02,-0.012,2.4,2.62,3.2605700350556326,2.1999999999999997,1.9799999999999995,0.0,0.0,0.1755829903978053,0.0,0.0,0.3333333333333333,0.2,0.3233392122281011,-0.3333333333333333,-0.2,0.6666666666666666,0.4,0.8798745835782873,1.3333333333333335,1.6,0.0,0.0,,,,0.35666666666666663,0.292,0.21157358416617678,-0.6566666666666666,-0.592,0.0,0.0,0.0,0.0,,1.3784048752090212,0.0,0.0,-0.03,0.33271719038817005,0.0,0.33271719038817005,1.3308687615526802,0.2977818853974122,0.018299445471349353,5.456561922365989
Amadou Onana,Aston Villa,Tottenham,2024-11-03,False,90.0,0.0,0.06,0.0,0.01,2.0,2.0,1.0,3.5,0.0,1.0,628718.0,1.2,0.1,63.1,2.0,0.0,2.57,2.41,0.03,2.0,Aston Villa,False,Liverpool,,-1.08,209.0,299.0,,4.57,2.41,0.0,0.0,0.05852766346593511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2666666666666666,1.92,2.1654869684499323,-0.06666666666666665,-0.72,0.16666666666666666,0.1,0.1550682605003593,-0.10666666666666666,-0.04000000000000001,0.02333333333333333,0.013999999999999999,0.016016068979031944,-0.01333333333333333,-0.003999999999999998,3.5666666666666664,2.7600000000000002,3.3403800233704217,-0.06666666666666643,0.7399999999999998,0.0,0.0,0.11705532693187022,0.0,0.0,0.6666666666666666,0.4,0.5488928081520674,0.33333333333333337,0.6,1.3333333333333333,0.8,1.253249722385525,0.6666666666666667,1.2,0.0,0.0,,,,-0.18000000000000005,0.07599999999999998,-0.21895094388921546,-0.9,-1.1560000000000001,0.0,0.0,0.0,0.0,,0.9011104260855032,0.0,0.0,-0.007777777777777776,0.28526148969889065,0.0,0.42789223454833597,1.4263074484944533,0.26386687797147385,0.01711568938193344,5.177496038034865
