name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,selected,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty,recent_minutes_3g,recent_minutes_5g,adjusted_fixture_difficulty,goal_stat,assist_stat,goals_3g_avg,goals_5g_avg,goals_ema,goals_momentum_3g,goals_momentum_5g,assists_3g_avg,assists_5g_avg,assists_ema,assists_momentum_3g,assists_momentum_5g,form_3g_avg,form_5g_avg,form_ema,form_momentum_3g,form_momentum_5g,xG_3g_avg,xG_5g_avg,xG_ema,xG_momentum_3g,xG_momentum_5g,xA_3g_avg,xA_5g_avg,xA_ema,xA_momentum_3g,xA_momentum_5g,ict_index_3g_avg,ict_index_5g_avg,ict_index_ema,ict_index_momentum_3g,ict_index_momentum_5g,bonus_3g_avg,bonus_5g_avg,bonus_ema,bonus_momentum_3g,bonus_momentum_5g,key_passes_3g_avg,key_passes_5g_avg,key_passes_ema,key_passes_momentum_3g,key_passes_momentum_5g,shots_3g_avg,shots_5g_avg,shots_ema,shots_momentum_3g,shots_momentum_5g,next_week_specific_fixture_difficulty_3g_avg,next_week_specific_fixture_difficulty_5g_avg,next_week_specific_fixture_difficulty_ema,next_week_specific_fixture_difficulty_momentum_3g,next_week_specific_fixture_difficulty_momentum_5g,next_week_holistic_fixture_difficulty_3g_avg,next_week_holistic_fixture_difficulty_5g_avg,next_week_holistic_fixture_difficulty_ema,next_week_holistic_fixture_difficulty_momentum_3g,next_week_holistic_fixture_difficulty_momentum_5g,key_passes_assists_3g,shots_goals_3g,key_passes_assists_5g,shots_goals_5g,form_difficulty_3g,form_consistency,goal_contribution,assist_contribution,points_per_minute_delta,goals_per_90,assists_per_90,key_passes_per_90,shots_per_90,xG_per_90,xA_per_90,ict_index_per_90
Frank Onyeka,Brentford,Crystal Palace,2024-08-18,True,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3770.0,1.0,0.0,6.0,1.0,2.0,2.0,1.85,0.03,1.0,Brentford,False,Liverpool,,-1.08,6.0,6.0,,3.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1.08,-1.08,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.13666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Onyeka,Brentford,Liverpool,2024-08-25,False,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3946.0,1.0,0.0,11.5,1.0,2.0,2.0,1.85,0.03,0.0,Brentford,True,Southampton,,0.24,23.0,23.0,,3.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.42000000000000004,-0.42000000000000004,-0.6400000000000001,0.66,0.66,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.028823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Onyeka,Brentford,Southampton,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,3926.0,0.67,0.0,7.67,1.0,2.0,2.0,1.85,0.03,0.0,Brentford,False,Manchester City,,-1.51,23.0,23.0,,3.0,3.85,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.89,0.89,0.8900000000000001,-0.21999999999999997,-0.21999999999999997,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,-0.7833333333333333,-0.7833333333333333,-0.9300000000000002,-0.7266666666666667,-0.7266666666666667,0.0,0.0,0.0,0.0,,0.19052558883257648,,,-0.03,,,,,,,0.0
Frank Onyeka,Brentford,Manchester City,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,2531.0,0.5,0.0,5.75,1.0,2.0,2.0,1.85,0.03,0.0,Brentford,False,Tottenham,,-0.3,17.0,23.0,,3.0,3.85,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.7233333333333333,0.7925,0.7600000000000001,-0.22333333333333327,-0.2925,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,-0.5233333333333333,-0.6625,-0.7200000000000002,0.22333333333333333,0.3625,0.0,0.0,0.0,0.0,,0.24944939366532842,,,-0.03,,,,,,,0.0
Frank Onyeka,Brentford,Tottenham,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,2213.0,0.4,0.0,4.6,1.0,2.0,2.0,1.85,0.03,0.0,Brentford,True,West Ham,,0.48,0.0,23.0,,3.0,3.85,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.5233333333333333,0.7140000000000001,0.6400000000000001,-0.1233333333333333,-0.31400000000000006,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,-0.44333333333333336,-0.434,-0.32000000000000023,0.9233333333333333,0.9139999999999999,0.0,0.0,0.0,0.0,,0.27835229476330886,,,-0.03,,,,,,,0.0
Frank Onyeka,Brentford,West Ham,2024-09-28,True,0.0,0.0,0.08,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1996.0,0.2,0.02,3.83,1.0,2.0,2.0,1.85,0.03,0.0,Brentford,True,Wolverhampton,,-0.08,0.0,17.0,,3.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.554,0.49333333333333346,-0.16666666666666669,-0.35400000000000004,0.02666666666666667,0.016,0.05023255813953488,0.05333333333333333,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,1.2558139534883719,1.3333333333333335,1.6,0.0,0.0,,,,0.03333333333333333,-0.23399999999999999,-0.24000000000000019,-0.11333333333333334,0.15399999999999997,0.0,0.0,0.0,0.0,,0.30179463215902297,0.0,0.0,-0.03,0.0,0.0,0.0,7.82608695652174,0.3130434782608696,0.0,0.0
Frank Onyeka,Brentford,Wolverhampton,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,1871.0,0.0,0.02,3.29,1.0,2.0,2.0,1.85,0.03,0.0,Brentford,False,Manchester United,,-0.41,0.0,0.0,,3.0,3.85,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.20000000000000004,0.354,0.328888888888889,-0.20000000000000004,-0.354,0.02666666666666667,0.016,0.05023255813953488,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.6666666666666666,0.4,1.2558139534883719,,,0.0,0.0,,,,-0.003333333333333336,-0.364,-0.2966666666666668,-0.4066666666666666,-0.045999999999999985,0.0,0.0,0.0,0.0,,0.2609214441168068,,,-0.03,,,,,,,0.0
Frank Onyeka,Brentford,Manchester United,2024-10-19,False,0.0,0.0,0.29,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1776.0,0.0,0.07,2.88,1.0,2.0,2.0,1.85,0.03,0.0,Brentford,True,Ipswich Town,,,0.0,0.0,,3.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.22000000000000003,0.21925925925925938,-0.06666666666666667,-0.22000000000000003,0.12333333333333334,0.074,0.15299003322259133,0.16666666666666663,0.21599999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.8,1.5747508305647837,0.6666666666666667,1.2,0.0,0.0,,,,-0.16333333333333333,-0.062,-0.2966666666666668,,,0.0,0.0,0.0,0.0,,0.22803508501982733,0.0,0.0,-0.03,0.0,0.0,0.0,15.65217391304348,1.4478260869565218,0.0,0.0
Frank Onyeka,Brentford,Ipswich Town,2024-10-26,True,0.0,0.0,0.08,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1737.0,0.0,0.09,2.56,1.0,2.0,2.0,1.85,0.03,0.0,Brentford,False,Fulham,,0.53,0.0,0.0,,3.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000002,0.14617283950617294,0.0,-0.12000000000000002,0.12333333333333334,0.09,0.12866002214839423,-0.043333333333333335,-0.009999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.3333333333333333,0.6666666666666667,0.8,1.3333333333333333,1.2,1.716500553709856,0.6666666666666667,0.8,0.0,0.0,,,,0.040000000000000015,0.10400000000000001,0.05761904761904749,0.49,0.42600000000000005,0.0,0.0,0.0,0.0,,0.1788854381999828,0.0,0.0,-0.03,0.0,0.0,3.91304347826087,23.47826086956522,1.7608695652173916,0.0,0.0
Frank Onyeka,Brentford,Fulham,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,1692.0,0.0,0.09,2.3,1.0,2.0,2.0,1.85,0.03,0.0,Brentford,True,Bournemouth,,0.84,0.0,0.0,,3.0,3.85,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.04,0.09744855967078196,0.0,-0.04,0.12333333333333334,0.09,0.12866002214839423,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.3333333333333333,,,1.3333333333333333,1.2,1.716500553709856,,,0.0,0.0,,,,0.4566666666666667,0.176,0.3184126984126983,0.38333333333333325,0.6639999999999999,0.0,0.0,0.0,0.0,,0.08944271909999073,,,-0.03,,,,,,,0.0
