goals,shots,xG,time,position,date,xA,assists,key_passes
0,2,0.129303902387619,22,Sub,2024-05-19,0.0,0,0
1,2,0.4898648560047149,49,Sub,2024-05-15,0.1216139867901802,0,1
0,1,0.0993607342243194,27,Sub,2024-05-11,0.0,0,0
0,0,0.0,11,Sub,2024-05-05,0.0,0,0
0,2,0.2058769911527633,23,Sub,2024-02-17,0.0,0,0
0,1,0.0805706232786178,41,Sub,2024-02-12,0.0,0,0
0,2,0.4870118498802185,76,FW,2024-02-04,0.0339467003941535,0,1
1,1,0.1031715497374534,39,Sub,2024-01-31,0.0,0,0
0,0,0.0,24,Sub,2023-12-30,0.0,0,0
0,1,0.0485540218651294,74,AMC,2023-12-27,0.0720197632908821,0,1
1,4,0.7684590220451355,30,Sub,2023-12-24,0.0,0,0
