goals,shots,xG,time,position,date,xA,assists,key_passes
0,2,0.0696508288383483,90,DC,2024-05-19,0.0,0,0
0,0,0.0,90,DC,2024-05-11,0.0598412752151489,0,1
0,0,0.0,90,DC,2024-05-04,0.0,0,0
0,1,0.5817222595214844,78,DC,2024-04-28,0.0,0,0
0,0,0.0,90,DC,2024-04-21,0.0,0,0
0,0,0.0,90,DC,2024-04-13,0.0,0,0
0,1,0.0093283765017986,90,DC,2024-04-07,0.0,0,0
0,0,0.0,90,DC,2024-04-02,0.0242133028805255,1,1
0,1,0.0171185713261365,90,DC,2024-03-30,0.0,0,0
0,1,0.0142793543636798,90,DC,2024-03-16,0.0,0,0
0,2,0.0694978758692741,90,DC,2024-03-10,0.0,0,0
0,0,0.0,90,DC,2024-03-02,0.0,0,0
0,0,0.0,52,DC,2024-02-24,0.0,0,0
0,1,0.1294005513191223,90,DC,2024-02-17,0.0,0,0
0,0,0.0,90,DC,2024-02-10,0.0,0,0
0,0,0.0,90,DC,2024-02-04,0.0991425439715385,0,1
0,0,0.0,90,DC,2024-01-30,0.0,0,0
0,0,0.0,90,DC,2024-01-20,0.0,0,0
0,1,0.0785066485404968,90,DC,2023-12-30,0.0,0,0
0,0,0.0,90,DC,2023-12-26,0.5405219793319702,1,1
0,0,0.0,90,DC,2023-12-23,0.0,0,0
0,1,0.0401427038013935,90,DC,2023-12-15,0.0,0,0
0,0,0.0,84,DC,2023-12-09,0.0,0,0
0,1,0.0548523999750614,90,DC,2023-12-06,0.0,0,0
0,1,0.0200352203100919,90,DC,2023-12-02,0.0,0,0
0,0,0.0,90,DC,2023-11-25,0.1577196270227432,0,1
0,0,0.0,79,DC,2023-11-12,0.0,0,0
0,0,0.0,90,DC,2023-11-05,0.0,0,0
0,1,0.0553085394203662,90,DC,2023-10-29,0.0,0,0
0,0,0.0,90,DC,2023-10-21,0.0395394675433635,0,1
0,2,0.453612208366394,90,DC,2023-10-07,0.2960860133171081,0,2
0,1,0.071874052286148,90,DC,2023-10-01,0.0,0,0
