goals,shots,xG,time,position,date,xA,assists,key_passes
0,0,0.0,22,Sub,2024-11-23,0.0,0,0
0,0,0.0,90,FW,2024-11-10,0.1811904609203338,0,2
1,2,0.5649663209915161,83,FW,2024-11-02,0.0,0,0
2,3,0.5328080058097839,83,FW,2024-10-25,0.0789643377065658,0,1
1,4,0.8878478407859802,86,FW,2024-10-21,0.0611553527414798,0,1
1,1,0.4478428065776825,83,FW,2024-10-06,0.0,0,0
0,0,0.0,90,FW,2024-09-28,0.0,0,0
1,1,0.7611688375473022,76,FW,2024-09-22,0.0,0,0
0,1,0.3199350535869598,84,FW,2024-09-14,0.0271556172519922,0,1
1,5,0.8261536955833435,90,FW,2024-08-31,0.0,0,0
0,3,0.5129415392875671,77,FW,2024-08-24,0.6238844394683838,0,1
1,1,0.5572144389152527,83,FW,2024-08-17,0.0,0,0
