goals,shots,xG,time,position,date,xA,assists,key_passes
0,4,0.1984738707542419,90,AMR,2024-11-25,0.2390525192022323,1,3
0,3,0.1528606116771698,90,MR,2024-11-09,0.5296348929405212,0,1
0,2,0.0188986249268054,90,FW,2024-11-02,0.0581030771136283,0,1
1,3,0.8927009105682373,90,AMR,2024-10-27,0.6224861741065979,0,2
0,1,0.0283768605440855,90,MR,2024-10-19,0.0627403035759925,0,1
1,5,0.579461932182312,90,MR,2024-10-05,1.1180239915847778,1,5
0,3,0.1408017426729202,90,MR,2024-09-28,0.1272111684083938,0,3
0,2,0.1211444362998008,90,FW,2024-09-21,0.0630947649478912,0,1
0,2,0.3370285332202911,90,AMR,2024-09-14,0.1387892663478851,1,2
0,2,0.0808230489492416,88,AMR,2024-08-31,0.5917984247207642,0,2
1,1,0.115634836256504,90,MR,2024-08-24,0.3603866696357727,0,5
0,0,0.0,76,MR,2024-08-17,0.1119349598884582,0,1
