goals,shots,xG,time,position,date,xA,assists,key_passes
2,7,1.6670581102371216,90,AMR,2024-11-24,0.0423116944730281,0,1
1,3,0.7756544947624207,90,AMR,2024-11-09,0.9714133143424988,1,2
1,3,0.3979918658733368,90,AMR,2024-11-02,0.150375097990036,0,2
1,3,0.6709172129631042,90,AMR,2024-10-27,0.0310589894652366,0,1
1,2,0.7927907109260559,90,AMR,2024-10-20,0.7211429476737976,1,2
0,2,0.3793025314807892,75,AMR,2024-10-05,0.0,0,0
1,3,1.1548999547958374,90,AMR,2024-09-28,0.0787643417716026,0,2
0,4,0.4555763602256775,90,AMR,2024-09-21,0.4311409890651703,1,6
0,3,0.1405571103096008,90,AMR,2024-09-14,0.0824587419629097,0,1
1,3,0.5230941772460938,90,AMR,2024-09-01,1.175806999206543,2,3
1,3,0.4332505166530609,85,AMR,2024-08-25,0.0,0,0
1,4,1.0967350006103516,90,AMR,2024-08-17,0.4771530628204345,1,2
