goals,shots,xG,time,position,date,xA,assists,key_passes
0.0,1.0,0.0215620677918195,90.0,DC,2022-05-22,0.0,0.0,0.0
0.0,2.0,0.0895356237888336,90.0,DC,2022-05-15,0.0,0.0,0.0
0.0,0.0,0.0,84.0,DC,2022-05-12,0.0799978822469711,0.0,1.0
0.0,1.0,0.0884602144360542,90.0,DC,2022-05-07,0.0,0.0,0.0
0.0,1.0,0.0703960508108139,90.0,DC,2022-05-01,0.0831678062677383,0.0,1.0
0.0,0.0,0.0,90.0,DC,2022-04-23,0.0121854897588491,0.0,1.0
0.0,0.0,0.0,90.0,DC,2022-04-16,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DC,2022-04-09,0.0,0.0,0.0
1.0,1.0,0.4744120836257934,90.0,DC,2022-04-03,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DC,2022-03-20,0.0,0.0,0.0
0.0,1.0,0.0160380695015192,90.0,DC,2022-03-16,0.0,0.0,0.0
0.0,0.0,0.0,89.0,DC,2022-03-12,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DC,2022-03-07,0.0,0.0,0.0
0.0,1.0,0.0587493367493152,90.0,DC,2022-02-26,0.0,0.0,0.0
0.0,1.0,0.0867998152971267,90.0,DC,2022-02-23,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DC,2022-02-19,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DC,2022-02-13,0.0492343008518219,0.0,2.0
0.0,1.0,0.0437875650823116,90.0,DC,2022-02-09,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DL,2022-01-23,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DC,2022-01-19,0.0704031214118003,0.0,1.0
0.0,2.0,0.0374361500144004,90.0,DC,2022-01-01,0.0472859032452106,0.0,1.0
0.0,1.0,0.0148259541019797,90.0,DC,2021-12-28,0.0706019848585128,0.0,1.0
0.0,0.0,0.0,90.0,DC,2021-12-19,0.0,0.0,0.0
0.0,1.0,0.4639913141727447,90.0,DC,2021-12-05,0.2103611975908279,1.0,2.0
0.0,1.0,0.0442683696746826,90.0,DC,2021-12-02,0.0,0.0,0.0
0.0,1.0,0.4418158233165741,90.0,DC,2021-11-21,0.0,0.0,0.0
0.0,1.0,0.0155592132359743,90.0,DC,2021-11-07,0.0229709483683109,0.0,1.0
0.0,1.0,0.508472740650177,90.0,DL,2021-10-30,0.0,0.0,0.0
0.0,0.0,0.0,29.0,Sub,2021-09-11,0.0,0.0,0.0
1.0,18.0,2.47611039225012,2542.0,,,0.6462086346000429,1.0,11.0
0.03540519276160504,0.6372934697088907,0.08766716573662896,2542.0,,,0.02287914127222811,0.03540519276160504,0.3894571203776554
