goals,shots,xG,time,position,date,xA,assists,key_passes
0,3,0.2911391258239746,81,AMR,2022-05-22,0.0887647196650505,1,2
0,4,0.1814954429864883,90,AMR,2022-05-16,0.054614569991827,0,1
0,2,0.1194237470626831,90,AMR,2022-05-12,0.0533901117742061,0,1
0,2,0.0916069597005844,72,FWR,2022-05-08,0.0,0,0
0,2,0.0871980488300323,88,FWR,2022-05-01,0.1033628657460212,1,2
1,5,0.9737244844436646,79,AMR,2022-04-23,0.0204303562641143,0,1
1,3,0.8771170377731323,90,AMR,2022-04-20,0.0909268856048584,0,1
0,4,0.519242525100708,90,FWL,2022-04-16,0.1360189467668533,0,4
0,3,0.2069521397352218,90,FWR,2022-04-09,0.8751257658004761,0,5
0,1,0.0271008051931858,90,AMR,2022-04-04,0.1606104522943496,0,2
1,3,0.1983881741762161,72,FWR,2022-03-19,0.6205627918243408,0,2
0,1,0.0162336993962526,74,AMR,2022-03-16,0.0158460214734077,0,1
0,5,0.3409262895584106,86,AMR,2022-03-13,0.2020395696163177,0,2
1,1,0.0747238248586654,90,AMR,2022-03-06,0.1614518463611602,1,2
0,5,0.3017148673534393,90,AMR,2022-02-24,0.5417352318763733,0,6
1,6,0.3363143503665924,90,AMR,2022-02-19,0.0782360285520553,0,1
0,1,0.0284182801842689,74,AMR,2022-02-10,0.2241221219301223,0,2
0,4,0.1741524338722229,90,MR,2022-01-23,0.0455499626696109,0,1
1,1,0.099191777408123,86,AMR,2022-01-01,0.0,0,0
2,3,0.2635914385318756,80,AMR,2021-12-26,0.716490626335144,0,2
1,7,0.8439117670059204,81,MR,2021-12-18,0.0931339412927627,0,1
0,3,0.226095363497734,90,MR,2021-12-15,0.3047822713851928,1,4
0,3,0.6250064373016357,90,MR,2021-12-11,0.4458262026309967,1,3
0,1,0.0179104432463645,90,AMR,2021-12-06,0.4847561120986938,0,1
0,1,0.0268190782517194,16,Sub,2021-12-02,0.0,0,0
1,3,0.5703360438346863,68,MR,2021-11-27,0.3825887143611908,0,2
0,2,0.1587189733982086,90,MR,2021-11-20,0.0,0,0
0,0,0.0,90,MR,2021-11-07,0.1411192566156387,0,2
0,2,0.1809278428554535,87,MR,2021-10-30,0.1822712421417236,1,3
0,4,0.7022055387496948,90,MR,2021-10-22,0.4003841578960418,0,3
0,0,0.0,49,AML,2021-10-18,0.0399854220449924,0,1
0,1,0.1033243685960769,90,AMR,2021-10-02,0.04211151227355,0,1
1,2,0.5719717144966125,89,AMR,2021-09-26,0.5790807008743286,1,3
0,1,0.0692925974726677,90,ML,2021-09-18,0.0,0,0
0,6,0.4649410545825958,90,AML,2021-09-11,0.2665140032768249,0,4
0,1,0.1168047785758972,49,MR,2021-08-28,0.0,0,0
0,1,0.0189865510910749,63,AML,2021-08-22,0.0349745340645313,0,1
0,0,0.0,30,Sub,2021-08-13,0.0445739440619945,0,1
