goals,shots,xG,time,position,date,xA,assists,key_passes
0,0,0.0,90,DC,2022-05-22,0.0,0,0
0,0,0.0,90,DC,2022-05-16,0.0,0,0
0,0,0.0,90,DC,2022-05-08,0.0,0,0
0,0,0.0,90,DC,2022-04-30,0.0,0,0
0,1,0.0139368753880262,90,DC,2022-04-23,0.0,0,0
0,1,0.00963179115206,90,DC,2022-04-20,0.0,0,0
0,2,0.0667586103081703,90,DC,2022-04-17,0.5982120037078857,0,1
0,1,0.0786703824996948,90,DC,2022-04-08,0.023789819329977,0,1
0,1,0.0608655884861946,90,DC,2022-04-03,0.0,0,0
0,1,0.0773239433765411,90,DC,2022-03-17,0.0135079529136419,0,1
0,1,0.0302115008234977,90,DC,2022-03-13,0.0,0,0
0,0,0.0,90,DC,2022-03-10,0.1222356557846069,1,1
0,1,0.2619534730911255,90,DC,2022-03-05,0.0,0,0
0,0,0.0,90,DC,2022-02-26,0.0,0,0
0,1,0.0329930149018764,90,DC,2022-02-19,0.0,0,0
0,1,0.0211316607892513,90,DC,2022-02-13,0.0,0,0
0,1,0.0139719182625412,90,DC,2022-01-23,0.0,0,0
0,0,0.0,90,DC,2022-01-18,0.0,0,0
0,1,0.0723112598061561,90,DC,2022-01-14,0.0,0,0
1,2,0.6402040123939514,90,DC,2022-01-02,0.0,0,0
0,0,0.0,90,DC,2021-12-29,0.0,0,0
0,1,0.0186204705387353,90,DC,2021-12-26,0.0,0,0
0,1,0.117926612496376,90,DC,2021-12-15,0.6747608184814453,0,1
0,0,0.0,90,DC,2021-12-04,0.0,0,0
0,0,0.0,59,DC,2021-10-23,0.0,0,0
0,0,0.0,90,DC,2021-10-16,0.0,0,0
0,1,0.095023937523365,90,DC,2021-10-02,0.0206545386463403,0,1
0,0,0.0,48,DC,2021-09-27,0.0,0,0
0,0,0.0,18,Sub,2021-09-19,0.0,0,0
