goals,shots,xG,time,position,date,xA,assists,key_passes
0.0,5.0,0.3384539484977722,90.0,MC,2022-05-22,1.1664100885391235,1.0,5.0
0.0,4.0,0.1690416485071182,90.0,MC,2022-05-15,0.1741409301757812,0.0,4.0
4.0,6.0,1.1285837888717651,90.0,AMC,2022-05-11,0.6969298720359802,0.0,2.0
0.0,1.0,0.0491259209811687,90.0,AMC,2022-05-08,0.9924189448356628,1.0,6.0
0.0,1.0,0.0462165102362632,59.0,AMC,2022-04-23,0.8251520395278931,2.0,4.0
0.0,3.0,0.0716947242617607,85.0,MC,2022-04-20,0.5634540915489197,1.0,5.0
1.0,2.0,0.0847393125295639,90.0,MC,2022-04-10,0.1315334588289261,0.0,2.0
1.0,1.0,0.1138306036591529,79.0,MC,2022-04-02,0.225381851196289,0.0,4.0
0.0,2.0,0.0960403233766555,90.0,MC,2022-03-14,0.3059099912643432,0.0,4.0
2.0,6.0,1.0260560512542725,83.0,MC,2022-03-06,0.4069889783859253,1.0,5.0
0.0,2.0,0.0720089972019195,90.0,MC,2022-02-26,0.6386803388595581,0.0,2.0
0.0,0.0,0.0,90.0,MC,2022-02-19,0.0,0.0,0.0
1.0,1.0,0.0497174672782421,90.0,MC,2022-02-09,0.1595812141895294,0.0,3.0
0.0,4.0,0.1402264386415481,90.0,MC,2022-01-22,0.4215734899044037,1.0,3.0
1.0,4.0,0.1847387552261352,86.0,MC,2022-01-15,0.3975503444671631,0.0,2.0
0.0,1.0,0.0212593935430049,90.0,MC,2022-01-01,0.1686698645353317,0.0,3.0
0.0,4.0,0.1075099632143974,90.0,MC,2021-12-29,0.7244563698768616,1.0,3.0
1.0,3.0,0.1443723887205124,73.0,MC,2021-12-26,0.2103950083255767,0.0,3.0
0.0,1.0,0.1045601144433021,90.0,AMC,2021-12-19,0.3977962732315063,0.0,5.0
2.0,9.0,0.6211377382278442,90.0,MC,2021-12-14,0.6431151628494263,0.0,4.0
0.0,0.0,0.0,9.0,Sub,2021-12-11,0.0905111953616142,0.0,1.0
0.0,1.0,0.055076278746128,21.0,Sub,2021-12-04,0.0366587080061435,0.0,1.0
0.0,4.0,0.5638012290000916,90.0,MC,2021-11-06,0.2248554825782776,0.0,4.0
0.0,1.0,0.032067846506834,64.0,MC,2021-10-30,0.0,0.0,0.0
0.0,0.0,0.0,11.0,Sub,2021-10-23,0.5381180047988892,0.0,4.0
1.0,1.0,0.0916000604629516,88.0,MC,2021-10-16,0.4437832832336426,0.0,2.0
1.0,5.0,0.3732962906360626,90.0,MC,2021-10-03,0.0362407192587852,0.0,1.0
0.0,4.0,0.2047680914402008,83.0,MC,2021-09-25,0.4157688021659851,0.0,3.0
0.0,1.0,0.036457322537899,23.0,Sub,2021-09-18,0.2159768491983413,0.0,1.0
0.0,1.0,0.0235834214836359,10.0,Sub,2021-08-15,0.0081225000321865,0.0,1.0
15.0,78.0,5.949964629486203,2214.0,,,11.260173857212067,8.0,87.0
0.6097560975609756,3.170731707317073,0.2418684808734229,2214.0,,,0.4577306446021165,0.3252032520325203,3.536585365853658
