goals,shots,xG,time,position,date,xA,assists,key_passes
0,0,0.0,27,Sub,2022-05-11,0.0,0,0
1,2,0.5903712511062622,67,DL,2022-04-30,0.0,0,0
0,0,0.0,25,Sub,2022-04-23,0.0,0,0
0,0,0.0,48,DL,2022-04-20,0.0,0,0
0,0,0.0,90,DC,2022-04-02,0.0,0,0
0,1,0.6415740847587585,90,DC,2022-02-12,0.617275595664978,0,2
0,0,0.0,90,DL,2022-01-01,0.0,0,0
0,0,0.0,90,DL,2021-12-29,0.0,0,0
1,1,0.0252559054642915,22,Sub,2021-12-14,0.0,0,0
0,0,0.0,90,DC,2021-12-01,0.0,0,0
0,0,0.0,11,Sub,2021-11-21,0.0,0,0
0,0,0.0,90,DL,2021-10-16,0.0,0,0
0,0,0.0,90,DC,2021-09-18,0.0,0,0
0,1,0.0462918877601623,90,DC,2021-08-15,0.0,0,0
