goals,shots,xG,time,position,date,xA,assists,key_passes
0.0,0.0,0.0,65.0,DL,2022-05-22,0.0,0.0,0.0
1.0,3.0,0.3713796138763428,90.0,DL,2022-05-15,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DL,2022-05-07,0.6257163286209106,0.0,2.0
0.0,1.0,0.0146119259297847,90.0,DL,2022-05-02,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DL,2022-04-23,0.1604576259851455,0.0,2.0
0.0,0.0,0.0,90.0,DL,2022-04-16,0.0870510786771774,0.0,1.0
0.0,0.0,0.0,90.0,DL,2022-04-10,0.0713179782032966,0.0,2.0
0.0,0.0,0.0,90.0,DL,2022-04-02,0.3560426831245422,0.0,1.0
0.0,0.0,0.0,75.0,DL,2022-03-20,0.0471874065697193,0.0,1.0
0.0,1.0,0.0132431210950016,90.0,DL,2022-03-12,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DL,2022-03-05,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DL,2022-02-26,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DML,2022-02-19,0.0,0.0,0.0
0.0,1.0,0.0531194880604743,90.0,DML,2022-02-12,0.0550189204514026,0.0,1.0
0.0,1.0,0.2643854916095733,90.0,DML,2022-02-09,0.0,0.0,0.0
0.0,0.0,0.0,25.0,DML,2022-01-22,0.0,0.0,0.0
0.0,0.0,0.0,24.0,Sub,2022-01-19,0.0,0.0,0.0
0.0,0.0,0.0,50.0,DML,2022-01-16,0.0,0.0,0.0
0.0,2.0,0.0727380365133285,78.0,DML,2021-12-10,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DML,2021-12-05,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DML,2021-12-02,0.0,0.0,0.0
0.0,0.0,0.0,79.0,DML,2021-11-28,0.0,0.0,0.0
1.0,1.0,0.4994467496871948,90.0,DML,2021-11-20,0.0442984141409397,0.0,1.0
1.0,1.0,0.4926053285598755,72.0,DML,2021-11-06,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DML,2021-10-30,0.0,0.0,0.0
0.0,1.0,0.0270921029150486,90.0,DML,2021-10-24,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DML,2021-10-16,0.0568762309849262,0.0,1.0
0.0,0.0,0.0,90.0,DML,2021-10-03,0.0690839141607284,0.0,2.0
0.0,1.0,0.0145672541111707,90.0,DML,2021-09-25,0.0,0.0,0.0
0.0,0.0,0.0,78.0,DML,2021-09-18,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DML,2021-09-11,0.0250575002282857,0.0,1.0
0.0,1.0,0.076746754348278,90.0,ML,2021-08-28,0.1040677949786186,0.0,1.0
0.0,0.0,0.0,90.0,DML,2021-08-21,0.1702673435211181,0.0,2.0
0.0,0.0,0.0,90.0,DML,2021-08-13,0.0,0.0,0.0
3.0,14.0,1.8999358667060728,2796.0,,,1.872443219646811,0.0,18.0
0.09656652360515021,0.45064377682403434,0.06115673390684784,2796.0,,,0.06027177745644242,0.0,0.5793991416309013
