goals,shots,xG,time,position,date,xA,assists,key_passes
0,1,0.0198435448110103,79,DR,2022-04-23,0.0,0,0
0,0,0.0,22,Sub,2022-04-16,0.0,0,0
0,0,0.0,2,Sub,2022-02-19,0.0,0,0
0,0,0.0,7,Sub,2022-02-12,0.0,0,0
0,0,0.0,64,FW,2022-02-09,0.2643854916095733,0,1
0,0,0.0,1,Sub,2022-01-22,0.0422700978815555,0,1
0,0,0.0,34,Sub,2022-01-02,0.0,0,0
0,0,0.0,6,Sub,2021-12-29,0.0,0,0
0,0,0.0,20,Sub,2021-12-26,0.0,0,0
0,0,0.0,20,Sub,2021-12-10,0.0,0,0
0,0,0.0,62,FWL,2021-11-20,0.0,0,0
0,0,0.0,41,Sub,2021-11-06,0.4926053285598755,1,1
1,2,0.1613877266645431,30,Sub,2021-10-30,0.02727154456079,0,1
0,0,0.0,12,Sub,2021-10-24,0.0,0,0
0,3,0.3915016949176788,15,Sub,2021-10-16,0.0,0,0
0,2,0.1393374651670456,67,AMC,2021-08-28,0.364187091588974,0,2
0,0,0.0,17,Sub,2021-08-21,0.0,0,0
