goals,shots,xG,time,position,date,xA,assists,key_passes
0,0,0.0,90,DC,2022-05-22,0.0,0,0
0,1,0.0701511353254318,90,DC,2022-05-19,0.0179766658693552,0,1
0,3,0.0908294022083282,90,DC,2022-05-07,0.0,0,0
0,0,0.0,90,DC,2022-05-01,0.040420826524496,0,1
0,0,0.0,90,DC,2022-04-28,0.0,0,0
0,1,0.0407684706151485,90,DC,2022-04-24,0.0,0,0
0,0,0.0,42,Sub,2022-04-20,0.0,0,0
0,0,0.0,65,DC,2022-04-09,0.0,0,0
0,0,0.0,90,DC,2022-04-02,0.0142558943480253,0,1
0,0,0.0,90,DC,2022-03-10,0.0,0,0
0,0,0.0,90,DC,2022-03-05,0.0,0,0
0,0,0.0,90,DC,2022-02-19,0.0,0,0
1,3,0.103762999176979,90,DC,2022-01-23,0.0,0,0
0,0,0.0,90,DC,2022-01-18,0.0,0,0
0,0,0.0,90,DC,2022-01-15,0.0,0,0
0,0,0.0,90,DC,2022-01-02,0.0,0,0
0,0,0.0,53,DC,2021-12-26,0.0,0,0
0,0,0.0,90,DC,2021-12-19,0.0,0,0
0,1,0.0389137081801891,90,DC,2021-12-16,0.0,0,0
0,1,0.1138652935624122,90,DC,2021-12-11,0.0,0,0
1,1,0.2863629758358001,90,DC,2021-12-04,0.0,0,0
0,0,0.0,38,Sub,2021-12-01,0.0,0,0
0,1,0.0554569587111473,90,DC,2021-11-28,0.0,0,0
0,0,0.0,90,DC,2021-11-20,0.0,0,0
0,4,0.1945626735687255,90,DC,2021-11-06,0.0,0,0
0,0,0.0,90,DC,2021-10-30,0.0,0,0
0,0,0.0,90,DC,2021-10-23,0.0298660099506378,0,1
0,0,0.0,90,DC,2021-10-02,0.016146371141076,0,1
0,0,0.0,62,Sub,2021-09-25,0.0,0,0
1,2,0.0790877789258956,90,DC,2021-09-19,0.0581389218568801,0,1
0,0,0.0,90,DC,2021-09-11,0.0771390870213508,0,1
0,0,0.0,38,Sub,2021-08-28,0.0,0,0
