goals,shots,xG,time,position,date,xA,assists,key_passes
0.0,3.0,0.3865379989147186,90.0,FW,2022-11-06,0.0,0.0,0.0
0.0,6.0,0.5490090250968933,90.0,FW,2022-10-30,0.0,0.0,0.0
0.0,1.0,0.0720280036330223,75.0,FW,2022-10-16,0.0,0.0,0.0
1.0,3.0,0.5630769729614258,62.0,Sub,2022-10-09,0.0568922013044357,0.0,1.0
0.0,2.0,0.154007002711296,29.0,Sub,2022-09-04,0.0,0.0,0.0
0.0,2.0,0.1070509999990463,21.0,Sub,2022-09-01,0.1110749989748001,0.0,1.0
0.0,0.0,0.0,22.0,Sub,2022-08-27,0.0,0.0,0.0
0.0,1.0,0.0371767990291118,3.0,Sub,2022-08-22,0.0,0.0,0.0
0.0,6.0,0.1790709942579269,90.0,FW,2022-08-13,0.1172169968485832,0.0,3.0
0.0,1.0,0.0927601978182792,35.0,Sub,2022-08-07,0.022673700004816,0.0,1.0
1.0,25.0,2.14071799442172,517.0,,,0.30785789713263495,0.0,6.0
0.17408123791102514,4.352030947775629,0.37265883848734005,517.0,,,0.05359228383353413,0.0,1.0444874274661509
