goals,shots,xG,time,position,date,xA,assists,key_passes
0,4,0.3922522962093353,90,AMC,2023-05-28,0.0638196840882301,0,2
0,3,0.1419331282377243,90,AMC,2023-05-20,0.5007585883140564,1,2
2,3,0.7004786729812622,90,MC,2023-05-13,0.0368586964905262,0,1
0,2,0.115581527352333,90,MC,2023-05-06,0.0,0,0
1,2,0.795524537563324,90,MC,2023-04-29,0.1864919364452362,0,4
0,5,0.125214472413063,90,FWL,2023-04-25,0.1462849676609039,0,4
0,1,0.0386015474796295,90,MC,2023-04-22,0.0,0,0
2,3,0.5664119720458984,90,MC,2023-04-15,0.0,0,0
1,1,0.4957669973373413,90,MC,2023-04-09,0.1633750051259994,0,3
0,5,0.1780910044908523,90,MC,2023-04-01,0.1599359959363937,0,3
0,0,0.0,5,Sub,2023-03-19,0.0767678022384643,0,1
0,0,0.0,43,Sub,2023-03-15,0.1125660017132759,0,3
0,1,0.0393777005374431,9,Sub,2023-03-11,0.0,0,0
0,0,0.0,78,AML,2023-03-04,0.0,0,0
0,0,0.0,18,Sub,2023-02-25,0.0,0,0
1,1,0.5618789792060852,25,Sub,2023-02-18,0.0,0,0
0,1,0.0278731994330883,17,Sub,2023-02-11,0.0,0,0
0,2,0.1756120026111602,15,Sub,2023-02-04,0.0,0,0
0,0,0.0,67,AMC,2023-01-21,0.1074919998645782,0,2
0,2,0.0945518016815185,31,Sub,2023-01-18,0.0,0,0
0,1,0.028083199635148,72,AML,2023-01-15,0.0610519982874393,0,1
0,2,0.0925771966576576,75,AMC,2023-01-04,0.1234449967741966,0,3
1,4,0.1313560009002685,76,FWL,2022-12-31,0.1305840015411377,0,3
0,0,0.0,62,AML,2022-12-26,0.0669699981808662,0,1
0,1,0.0288596991449594,79,FWL,2022-11-12,0.0,0,0
0,4,0.2575809955596924,90,AML,2022-11-06,0.3714250028133392,1,2
0,3,0.0614182017743587,65,AMC,2022-10-29,0.0697311013936996,0,2
0,2,0.1636880040168762,90,MC,2022-10-22,0.1748159974813461,0,4
1,2,0.3083550035953522,90,MC,2022-10-18,0.1046790033578872,0,3
0,2,0.0514753982424736,90,MC,2022-10-15,0.1533920019865036,0,2
1,3,0.3970760107040405,90,MC,2022-10-09,0.6264500021934509,0,2
0,4,0.141976997256279,80,MC,2022-10-01,0.0,0,0
0,1,0.0722327008843422,64,MC,2022-09-03,0.0630393028259277,0,1
0,1,0.0162888001650571,77,MC,2022-08-30,0.093350701034069,0,2
0,0,0.0,90,ML,2022-08-27,0.0919760018587112,1,2
0,3,0.2485219985246658,90,MC,2022-08-20,0.5006459951400757,0,3
0,0,0.0,82,ML,2022-08-15,0.4335339963436126,1,1
0,1,0.3831239938735962,87,AMC,2022-08-05,0.0,0,0
