goals,shots,xG,time,position,date,xA,assists,key_passes
0,0,0.0,90,DC,2023-05-28,0.4777334332466125,0,1
0,0,0.0,90,DC,2023-05-20,0.0,0,0
0,0,0.0,90,DC,2023-05-13,0.0,0,0
0,0,0.0,78,DC,2023-05-08,0.0,0,0
0,0,0.0,90,DC,2023-05-03,0.0,0,0
0,0,0.0,69,Sub,2023-04-30,0.0,0,0
0,0,0.0,90,DC,2023-04-01,0.0,0,0
0,0,0.0,90,DC,2023-03-06,0.0,0,0
0,0,0.0,90,DC,2023-02-24,0.0,0,0
0,0,0.0,90,DC,2023-02-18,0.0,0,0
0,0,0.0,90,DC,2023-02-11,0.0,0,0
0,0,0.0,90,DC,2023-02-03,0.0,0,0
0,0,0.0,90,DC,2023-01-23,0.0,0,0
0,0,0.0,90,DC,2023-01-15,0.0,0,0
0,0,0.0,4,Sub,2023-01-03,0.0,0,0
0,0,0.0,90,DC,2022-12-31,0.0,0,0
0,1,0.0187093000859022,90,DC,2022-12-26,0.0,0,0
0,0,0.0,90,DC,2022-11-13,0.049005601555109,0,1
0,1,0.0151592995971441,90,DC,2022-11-05,0.0,0,0
0,0,0.0,90,DC,2022-10-29,0.0,0,0
0,0,0.0,90,DC,2022-10-20,0.0,0,0
1,1,0.1575250029563903,90,DC,2022-10-15,0.0,0,0
0,0,0.0,43,Sub,2022-10-01,0.0,0,0
0,0,0.0,90,DC,2022-09-16,0.0,0,0
0,0,0.0,10,Sub,2022-08-27,0.0,0,0
