goals,shots,xG,time,position,date,xA,assists,key_passes
0.0,0.0,0.0,12.0,Sub,2023-02-18,0.0,0.0,0.0
0.0,0.0,0.0,1.0,Sub,2023-01-14,0.0,0.0,0.0
0.0,0.0,0.0,13.0,Sub,2023-01-02,0.0,0.0,0.0
0.0,0.0,0.0,65.0,FWL,2022-11-05,0.0,0.0,0.0
0.0,1.0,0.0312918983399868,8.0,Sub,2022-10-29,0.4517979919910431,0.0,1.0
0.0,3.0,0.5440009832382202,62.0,FWL,2022-09-03,0.0,0.0,0.0
0.0,1.0,0.0270677004009485,69.0,FWL,2022-08-30,0.0,0.0,0.0
0.0,1.0,0.0264481008052825,19.0,Sub,2022-08-27,0.943453013896942,1.0,3.0
0.0,1.0,0.0487009994685649,28.0,Sub,2022-08-20,0.0340507999062538,0.0,1.0
0.0,0.0,0.0,30.0,Sub,2022-08-07,0.0,0.0,0.0
0.0,7.0,0.6775096822530029,307.0,,,1.429301805794239,1.0,5.0
0.0,2.0521172638436482,0.19861847362465884,307.0,,,0.4190135587018942,0.2931596091205212,1.4657980456026058
