goals,shots,xG,time,position,date,xA,assists,key_passes
0.0,0.0,0.0,19.0,Sub,2023-05-28,0.0,0.0,0.0
0.0,0.0,0.0,82.0,FWL,2023-05-20,0.0,0.0,0.0
0.0,2.0,0.062616728246212,90.0,FWL,2023-05-14,0.6814991235733032,0.0,2.0
0.0,0.0,0.0,15.0,Sub,2023-05-06,0.0,0.0,0.0
0.0,1.0,0.0266272518783807,79.0,FWL,2023-04-29,0.0,0.0,0.0
0.0,0.0,0.0,6.0,Sub,2023-04-26,0.0,0.0,0.0
0.0,3.0,0.4592631161212921,80.0,FWL,2023-04-22,0.0890503823757171,0.0,1.0
0.0,0.0,0.0,63.0,FWL,2023-04-15,0.0,0.0,0.0
0.0,0.0,0.0,90.0,FW,2023-04-08,0.0169099997729063,0.0,1.0
0.0,1.0,0.4894829988479614,26.0,Sub,2023-04-05,0.0237089004367589,0.0,1.0
0.0,0.0,0.0,27.0,Sub,2023-03-18,0.0,0.0,0.0
0.0,1.0,0.0230778995901346,68.0,FWL,2023-03-15,0.3397360146045685,0.0,2.0
0.0,2.0,0.1876309961080551,24.0,Sub,2023-03-11,0.0,0.0,0.0
0.0,0.0,0.0,8.0,Sub,2023-03-06,0.403346985578537,1.0,1.0
0.0,2.0,0.1347929984331131,25.0,Sub,2023-02-18,0.0,0.0,0.0
0.0,0.0,0.0,1.0,Sub,2023-02-11,0.0,0.0,0.0
0.0,0.0,0.0,13.0,Sub,2023-02-04,0.0,0.0,0.0
0.0,0.0,0.0,4.0,Sub,2023-01-14,0.0,0.0,0.0
0.0,1.0,0.0194144006818532,31.0,Sub,2022-11-09,0.0,0.0,0.0
0.0,0.0,0.0,8.0,Sub,2022-11-06,0.0,0.0,0.0
0.0,0.0,0.0,11.0,Sub,2022-10-30,0.0,0.0,0.0
0.0,2.0,0.1122910007834434,57.0,AMC,2022-10-16,0.0,0.0,0.0
1.0,1.0,0.0561289004981517,20.0,Sub,2022-10-09,0.0,0.0,0.0
0.0,0.0,0.0,20.0,Sub,2022-10-01,0.0,0.0,0.0
0.0,0.0,0.0,12.0,Sub,2022-09-18,0.0,0.0,0.0
0.0,0.0,0.0,7.0,Sub,2022-09-11,0.0,0.0,0.0
1.0,16.0,1.5713262911885972,886.0,,,1.5542514063417912,1.0,8.0
0.10158013544018057,1.6252821670428892,0.15961553747965435,886.0,,,0.15788106836429028,0.10158013544018057,0.8126410835214446
