goals,shots,xG,time,position,date,xA,assists,key_passes
0.0,0.0,0.0,69.0,DL,2023-04-08,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DC,2023-04-04,0.0,0.0,0.0
0.0,1.0,0.0135078001767396,82.0,DC,2023-04-01,0.2211789935827255,0.0,3.0
0.0,0.0,0.0,90.0,DC,2023-03-11,0.0,0.0,0.0
0.0,0.0,0.0,71.0,DL,2023-02-11,0.0,0.0,0.0
0.0,0.0,0.0,85.0,DL,2023-02-03,0.0224907994270324,0.0,1.0
0.0,0.0,0.0,90.0,DML,2023-01-21,0.0,0.0,0.0
0.0,1.0,0.048286098986864,8.0,Sub,2023-01-12,0.0,0.0,0.0
0.0,0.0,0.0,70.0,DL,2023-01-05,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DL,2023-01-01,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DL,2022-12-27,0.2545660138130188,0.0,1.0
0.0,0.0,0.0,15.0,Sub,2022-11-12,0.0,0.0,0.0
0.0,1.0,0.034469299018383,90.0,DL,2022-11-06,0.0,0.0,0.0
0.0,0.0,0.0,65.0,DC,2022-10-29,0.0,0.0,0.0
0.0,0.0,0.0,35.0,DC,2022-10-22,0.0,0.0,0.0
0.0,0.0,0.0,64.0,DML,2022-10-19,0.0,0.0,0.0
0.0,0.0,0.0,48.0,DC,2022-10-16,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DL,2022-10-08,0.0492511987686157,0.0,1.0
0.0,0.0,0.0,74.0,ML,2022-09-03,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DL,2022-08-30,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DL,2022-08-27,0.0480592995882034,1.0,2.0
0.0,2.0,0.1454630047082901,90.0,DML,2022-08-21,0.0277069006115198,0.0,1.0
0.0,2.0,0.1131339967250824,90.0,DML,2022-08-14,0.0454284995794296,1.0,1.0
0.0,0.0,0.0,6.0,Sub,2022-08-06,0.3494609892368316,0.0,1.0
0.0,7.0,0.3548601996153591,1682.0,,,1.0181426946073768,2.0,11.0
0.0,0.3745541022592152,0.01898776335635096,1682.0,,,0.054478503278634904,0.1070154577883472,0.5885850178359096
