goals,shots,xG,time,position,date,xA,assists,key_passes
0,1,0.0485447905957698,77,MC,2023-05-28,0.3317791521549225,0,3
0,1,0.0183616541326046,90,MC,2023-05-20,0.0231214668601751,0,1
0,2,0.0509813390672206,82,MC,2023-05-14,0.1427599340677261,0,2
1,3,0.4824216961860657,86,MC,2023-05-07,0.4349507391452789,0,2
2,3,0.5131592154502869,90,MC,2023-05-02,0.1214074566960334,0,2
0,0,0.0,76,MC,2023-04-26,0.0579421855509281,0,1
1,4,0.2437267303466797,90,MC,2023-04-21,0.056921686977148,0,1
1,2,0.6003199815750122,90,MC,2023-04-16,0.0,0,0
0,1,0.030986500903964,84,MC,2023-04-09,0.0,0,0
0,0,0.0,89,MC,2023-04-01,0.3224849998950958,1,2
0,3,0.1901730000972747,90,MC,2023-03-19,0.0630349963903427,0,1
1,3,0.2808830142021179,90,MC,2023-03-12,0.2309640049934387,0,2
0,11,0.5301089882850647,90,MC,2023-03-04,0.0939501002430915,0,3
1,2,0.5796769857406616,90,MC,2023-03-01,0.1162099987268447,0,2
0,3,0.1813109964132309,86,MC,2023-02-25,0.1560840010643005,0,3
0,1,0.356548011302948,90,MC,2023-02-18,0.8400899767875671,1,7
0,2,0.0533506982028484,90,MC,2023-02-15,0.0120093999430537,0,1
0,2,0.1024930030107498,90,MC,2023-02-11,0.0770628005266189,0,2
0,1,0.0913318991661071,80,MC,2023-02-04,0.0937013030052185,0,2
0,6,0.4464330077171325,90,MC,2023-01-22,0.0669495984911918,0,1
1,3,0.1242069974541664,90,MC,2023-01-15,0.117807999253273,0,2
0,2,0.1622550040483474,90,MC,2023-01-03,0.2409970015287399,0,3
1,1,0.0608993992209434,90,MC,2022-12-31,0.99064701795578,1,3
0,6,0.3372820019721985,90,MC,2022-12-26,0.8775860071182251,2,5
2,3,1.4377399682998655,90,MC,2022-11-12,0.0,0,0
0,1,0.0952313989400863,88,MC,2022-11-06,0.1530870050191879,0,2
1,3,0.2076079994440078,90,MC,2022-10-30,0.7267490029335022,0,5
0,1,0.0580178014934062,85,MC,2022-10-23,0.8456299901008606,0,4
0,4,0.1847919970750808,74,AMC,2022-10-16,0.4451079964637756,1,2
0,2,0.1921000033617019,88,AMC,2022-10-09,0.457489013671875,1,1
0,3,0.1081779971718788,82,AMC,2022-10-01,0.3267669975757599,0,2
0,1,0.1172650009393692,77,AMC,2022-09-04,0.371957004070282,0,4
0,3,0.2772920131683349,83,AMC,2022-08-31,0.1917099952697754,0,3
1,3,0.1522749960422516,90,AMC,2022-08-27,0.1521050035953521,0,2
2,3,0.6651219725608826,76,AMC,2022-08-20,0.0,0,0
0,1,0.0459487996995449,90,AMC,2022-08-13,0.0708928033709526,0,1
0,2,0.11073599755764,90,AMC,2022-08-05,0.0,0,0
