goals,shots,xG,time,position,date,xA,assists,key_passes
0,0,0.0,90,DC,2023-05-24,0.0,0,0
0,0,0.0,10,Sub,2023-05-21,0.0,0,0
0,1,0.0159878823906183,90,DMC,2023-05-14,0.0,0,0
0,0,0.0,1,Sub,2023-05-06,0.0,0,0
0,2,0.4202621579170227,90,DMC,2023-05-03,0.2419518232345581,0,1
0,1,0.0598387084901332,90,DMC,2023-04-30,0.0,0,0
0,0,0.0,90,MC,2023-04-26,0.0,0,0
0,1,0.142318993806839,55,DMC,2023-04-15,0.0199554003775119,1,1
0,0,0.0,83,DMC,2023-04-08,0.0,0,0
0,3,0.0980430990457534,85,DMC,2023-04-01,0.0,0,0
0,3,0.1689410060644149,90,DMC,2023-03-11,0.0417568013072013,0,1
0,0,0.0,90,DMC,2023-03-04,0.1802709996700287,1,1
0,1,0.0154438000172376,56,DMC,2023-02-25,0.0,0,0
0,2,0.4026780128479004,90,DMC,2023-02-18,0.046305101364851,0,1
0,2,0.2781710028648376,90,DMC,2023-02-15,0.5513219833374023,0,1
1,3,0.193464994430542,90,DMC,2023-02-12,0.5638049840927124,0,4
0,3,0.1786870062351226,90,MC,2023-02-05,0.0253388993442058,0,1
0,1,0.0188925005495548,80,DMC,2023-01-22,0.0,0,0
0,2,0.0522742010653018,90,DMC,2023-01-19,0.467844009399414,1,2
0,0,0.0,90,MC,2023-01-14,0.0146452002227306,0,1
0,0,0.0,88,DMC,2023-01-05,0.0,0,0
0,3,0.56489098072052,90,MC,2022-12-31,0.3945890069007873,0,4
1,2,0.5768889784812927,90,MC,2022-12-28,0.5454660058021545,0,3
0,4,0.1683789938688278,90,MC,2022-11-12,0.0179859995841979,0,1
0,0,0.0,90,MC,2022-11-05,0.0342671982944011,0,1
0,3,0.2764219939708709,90,MC,2022-10-29,0.0201356001198291,0,1
0,1,0.0469499006867408,90,MC,2022-10-22,0.0,0,0
0,1,0.0291547998785972,90,MC,2022-10-16,0.0626346990466117,0,2
0,0,0.0,90,MC,2022-10-08,0.3974950015544891,1,2
0,1,0.0240164007991552,84,MC,2022-09-17,0.0,0,0
0,2,0.0571927018463611,90,MC,2022-09-03,0.0,0,0
0,1,0.0450999997556209,56,MC,2022-08-31,0.3336589932441711,0,2
0,0,0.0,90,MC,2022-08-27,0.0385279990732669,1,1
0,4,0.1635710000991821,90,MC,2022-08-21,0.5415260195732117,1,1
0,2,0.1028079986572265,90,MC,2022-08-13,0.0,0,0
0,1,0.0188551004976034,90,MC,2022-08-07,0.0,0,0
