goals,shots,xG,time,position,date,xA,assists,key_passes
0,2,0.9931977987289428,90,AMR,2024-05-19,0.2741624116897583,1,3
0,0,0.0,90,FW,2024-05-14,0.8816060423851013,0,3
0,3,1.3267825841903689,90,FWR,2024-05-11,0.5575575232505798,1,4
0,1,0.2602687776088714,90,FWL,2024-05-05,0.3075763285160064,1,2
0,2,0.3081614673137665,82,AMR,2024-05-02,0.1041346043348312,0,1
0,2,0.191391110420227,60,Sub,2024-04-28,0.0,0,0
0,1,0.0153671996667981,90,AMR,2024-04-13,0.3165394365787506,0,1
0,2,0.9162371158599854,90,AMR,2024-04-07,0.1454648971557617,0,2
1,2,0.758190929889679,90,AMR,2024-04-02,0.0896386876702308,0,1
0,2,0.7194101214408875,41,Sub,2024-03-30,0.3025367259979248,1,3
0,2,0.8565499782562256,82,AML,2024-03-16,0.752449631690979,0,2
1,2,0.4841846823692322,89,AML,2024-03-10,0.0,0,0
0,1,0.1228503584861755,24,Sub,2024-03-02,0.8164078593254089,2,2
0,0,0.0,15,Sub,2024-02-17,0.0,0,0
1,2,0.6270635724067688,22,Sub,2024-02-10,0.0,0,0
0,0,0.0,69,AMR,2024-02-03,0.0,0,0
1,1,0.8896931409835815,38,Sub,2024-01-31,0.1475790143013,0,2
0,2,0.0905044227838516,90,FWR,2024-01-14,0.0550266914069652,0,1
0,0,0.0,90,FWR,2023-12-31,0.5135740041732788,1,1
0,1,0.0437809228897094,75,AMR,2023-12-28,0.1047590151429176,0,1
0,4,0.6026625037193298,90,AMR,2023-12-23,0.6795527338981628,1,5
0,1,0.1132140010595321,31,AMR,2023-12-15,0.0,0,0
0,2,0.1760238111019134,89,AMR,2023-12-10,0.4900279641151428,0,3
0,5,0.4402204155921936,86,AML,2023-12-07,0.053126610815525,0,2
0,2,0.0470704138278961,90,AMR,2023-12-03,0.1127771809697151,1,2
0,3,0.7916033864021301,90,AMR,2023-11-26,0.0462246350944042,0,1
1,2,0.1666967719793319,80,FWL,2023-11-11,0.0,0,0
0,0,0.0,33,AML,2023-11-06,0.0,0,0
0,0,0.0,24,Sub,2023-10-27,0.7236965298652649,1,2
0,0,0.0,7,Sub,2023-10-23,0.0,0,0
0,3,0.9585216641426086,67,AML,2023-09-24,0.0,0,0
0,0,0.0,7,Sub,2023-09-16,0.0659316405653953,0,1
0,0,0.0,73,AMC,2023-08-26,0.0979689136147499,0,1
0,2,0.1106345206499099,90,FWR,2023-08-18,0.0,0,0
0,1,0.1599965989589691,86,FW,2023-08-12,0.0,0,0
