goals,shots,xG,time,position,date,xA,assists,key_passes
0.0,3.0,0.1394426077604293,80.0,DMR,2024-05-19,0.013161851093173,0.0,1.0
0.0,0.0,0.0,12.0,Sub,2024-05-11,0.0,0.0,0.0
0.0,1.0,0.0298637468367815,90.0,DMR,2024-03-16,0.1155163273215293,0.0,1.0
1.0,1.0,0.6581712365150452,90.0,AMC,2024-03-13,0.0,0.0,0.0
0.0,1.0,0.6594911813735962,90.0,AMC,2024-03-09,0.0,0.0,0.0
0.0,0.0,0.0,85.0,Sub,2024-03-02,0.0,0.0,0.0
1.0,3.0,0.5543942451477051,90.0,DMR,2024-02-21,0.0876893401145935,0.0,1.0
0.0,4.0,0.1245808750391006,90.0,DMR,2024-02-18,0.1359092444181442,0.0,2.0
0.0,1.0,0.0335976593196392,90.0,DMR,2024-02-10,0.0785043612122535,0.0,2.0
0.0,1.0,0.0970246419310569,90.0,DMR,2024-02-03,0.0,0.0,0.0
1.0,3.0,1.0858020782470703,90.0,DMR,2024-01-30,0.1161962673068046,0.0,1.0
0.0,4.0,0.1957146376371383,90.0,DMR,2024-01-12,0.2578726410865783,0.0,4.0
0.0,1.0,0.1153601929545402,40.0,Sub,2023-12-30,0.7443437576293945,0.0,3.0
0.0,0.0,0.0,17.0,Sub,2023-12-26,0.0,0.0,0.0
0.0,0.0,0.0,6.0,Sub,2023-12-23,0.0362498462200164,0.0,1.0
0.0,0.0,0.0,23.0,Sub,2023-12-05,0.0,0.0,0.0
0.0,0.0,0.0,62.0,AMC,2023-12-02,0.0,0.0,0.0
0.0,1.0,0.0526357926428318,90.0,AMC,2023-11-25,0.599822998046875,1.0,1.0
0.0,1.0,0.0215998962521553,88.0,AMC,2023-11-11,0.0857769250869751,0.0,2.0
0.0,1.0,0.0210783965885639,82.0,AMC,2023-11-05,0.0,0.0,0.0
0.0,0.0,0.0,90.0,MC,2023-10-29,0.0,0.0,0.0
1.0,2.0,0.5109573006629944,90.0,MR,2023-10-21,0.3956931829452514,0.0,2.0
0.0,2.0,0.1189478933811187,90.0,ML,2023-10-07,0.0,0.0,1.0
0.0,2.0,0.209361121058464,90.0,AMC,2023-10-03,0.0252312421798706,0.0,1.0
0.0,1.0,0.0906350165605545,90.0,AMC,2023-09-30,0.0,0.0,0.0
0.0,1.0,0.0439271032810211,90.0,FWL,2023-09-23,0.7771488428115845,0.0,4.0
0.0,0.0,0.0,15.0,Sub,2023-09-16,0.0,0.0,0.0
0.0,1.0,0.0439218878746032,10.0,Sub,2023-09-01,0.0,0.0,0.0
0.0,0.0,0.0,11.0,Sub,2023-08-25,0.0,0.0,0.0
0.0,0.0,0.0,13.0,Sub,2023-08-12,0.0,0.0,0.0
4.0,35.0,4.80650751106441,1984.0,,,3.469116827473044,1.0,27.0
0.1814516129032258,1.5877016129032258,0.21803713507852668,1984.0,,,0.1573692109236764,0.04536290322580645,1.2247983870967742
