goals,shots,xG,time,position,date,xA,assists,key_passes
0,0,0.0,90,ML,2024-05-19,0.0,0,0
0,0,0.0,72,ML,2024-05-11,0.1252473443746566,0,3
0,0,0.0,90,ML,2024-05-03,0.1363003849983215,0,1
0,5,0.2121407091617584,90,ML,2024-04-27,0.2048821598291397,0,3
0,3,0.1567320376634597,90,ML,2024-04-24,0.5682448148727417,1,5
1,2,0.1097215265035629,90,ML,2024-04-21,0.1925477683544159,0,2
0,0,0.0,90,ML,2024-04-15,0.1698580831289291,0,4
0,2,0.0411040261387825,90,ML,2024-04-06,0.0925539284944534,0,1
0,1,0.0632579177618026,90,ML,2024-04-02,0.6137221455574036,0,2
0,1,0.0369666144251823,90,ML,2024-03-30,0.0201330184936523,0,1
0,5,0.2625031471252441,90,ML,2024-03-09,0.2681327164173126,0,6
0,5,0.6875818967819214,90,ML,2024-03-02,0.5164064168930054,0,4
0,0,0.0,90,ML,2024-02-24,0.038699347525835,0,1
0,0,0.0,90,ML,2024-02-19,1.4094274044036863,1,5
0,1,0.0216757301241159,90,AML,2024-02-10,0.0915506333112716,0,1
0,1,0.0108582191169261,90,ML,2024-02-03,0.087593950331211,0,2
0,0,0.0,90,MC,2024-01-30,0.017768545076251,0,1
0,0,0.0,19,Sub,2024-01-14,0.0,0,0
0,3,0.0916275978088378,79,ML,2023-12-30,0.0823633447289466,0,1
0,0,0.0,90,AML,2023-12-27,0.6731153726577759,1,2
0,1,0.0666313543915748,90,AML,2023-12-23,0.4739437401294708,0,3
0,2,0.0725962594151496,90,DL,2023-12-16,0.5250668525695801,1,1
0,1,0.0726591646671295,90,ML,2023-12-10,0.5825514197349548,0,1
1,2,0.1731987446546554,90,ML,2023-12-07,0.7739961743354797,1,4
1,4,0.3203655183315277,90,ML,2023-12-02,0.0,0,0
0,2,0.4993001818656921,75,ML,2023-11-26,0.0815711542963981,0,1
0,1,0.0269510094076395,90,ML,2023-11-11,0.0,0,0
0,1,0.0598062835633754,90,ML,2023-11-04,0.0646015778183937,0,1
0,2,0.0734412893652916,90,ML,2023-10-29,0.1327902823686599,0,3
0,1,0.0105898305773735,48,ML,2023-10-21,0.0466848872601985,0,1
0,2,0.2183580845594406,90,ML,2023-10-07,1.1825851202011108,0,6
0,3,0.1101499795913696,90,ML,2023-09-30,0.6466888785362244,0,2
0,3,0.1604598015546798,90,ML,2023-09-23,0.5061596035957336,1,1
0,2,0.0618074387311935,90,ML,2023-09-17,0.0,0,0
0,1,0.0202196426689624,11,Sub,2023-09-02,0.0,0,0
