goals,shots,xG,time,position,date,xA,assists,key_passes
0,2,0.1630309373140335,90,FWR,2024-05-19,0.6846364140510559,0,5
0,1,0.1206570342183113,21,Sub,2024-05-12,0.0236772503703832,0,1
0,0,0.0,5,Sub,2024-05-04,0.0,0,0
0,1,0.0437017008662223,21,Sub,2024-04-28,0.0,0,0
0,2,0.3945882618427276,17,Sub,2024-04-23,0.0,0,0
0,2,0.5255972743034363,15,Sub,2024-04-20,0.0,0,0
0,0,0.0,20,Sub,2024-04-14,0.0113535188138484,0,1
0,0,0.0,19,Sub,2024-04-06,0.05802683532238,0,1
0,0,0.0,10,Sub,2024-04-03,0.0,0,0
0,1,0.061363361775875,10,Sub,2024-03-31,0.0,0,0
1,4,0.4549116790294647,69,FWL,2024-03-04,0.2240348309278488,1,2
0,4,0.5707504153251648,67,FWL,2024-02-24,1.11134672164917,1,2
0,1,0.0298632998019456,90,FWL,2024-02-17,0.2506673038005829,0,2
0,2,0.1924055069684982,84,FWL,2024-02-11,0.3213153779506683,0,3
1,2,0.4708040058612823,78,FWL,2024-02-04,0.5599918365478516,0,1
0,1,0.0177990421652793,81,FWL,2024-01-30,0.0,0,0
2,2,0.9651345610618592,17,Sub,2024-01-20,0.0,0,0
0,4,0.2690218687057495,71,FWL,2023-12-31,0.0166027229279279,0,1
0,1,0.0667786374688148,69,FWL,2023-12-28,0.0389304347336292,0,1
0,1,0.0821611955761909,72,FWL,2023-12-23,0.0653571113944053,0,1
0,4,0.5416240096092224,86,FWL,2023-12-17,0.5108301639556885,0,5
0,1,0.2213129103183746,72,FWL,2023-12-09,0.2759971022605896,0,1
1,2,0.5131544470787048,69,FWL,2023-12-05,0.0,0,0
0,2,0.1715121269226074,84,FWL,2023-12-02,0.0288873184472322,0,1
0,1,0.0614489018917083,82,FWL,2023-11-25,0.0664860233664512,0,1
0,1,0.1151532903313636,90,FWL,2023-11-11,0.1681424230337143,0,2
0,3,0.1565060913562774,90,FWL,2023-11-04,0.2384877651929855,0,5
0,1,0.0822388231754303,69,FWL,2023-10-28,0.2250668853521347,0,3
0,1,0.0769056603312492,80,FWL,2023-10-21,0.2182376682758331,0,2
1,2,0.0844095274806022,43,Sub,2023-10-08,0.0146045852452516,0,1
0,0,0.0,23,FWL,2023-09-17,0.0,0,0
0,3,0.1457431763410568,90,FWL,2023-09-03,0.0879754796624183,1,1
0,4,0.3900521397590637,90,FWL,2023-08-26,0.0,0,0
0,2,0.1310402899980545,72,FWL,2023-08-21,0.0,0,0
0,0,0.0,90,FWL,2023-08-12,0.1222785115242004,1,3
