goals,shots,xG,time,position,date,xA,assists,key_passes
0.0,0.0,0.0,21.0,Sub,2024-05-19,0.0,0.0,0.0
0.0,1.0,0.0802737325429916,84.0,DMR,2024-05-11,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DMR,2024-04-27,0.4078189730644226,0.0,1.0
0.0,1.0,0.0233352929353714,42.0,Sub,2024-04-24,0.0190397053956985,0.0,1.0
0.0,0.0,0.0,78.0,DR,2024-04-20,0.0,0.0,0.0
0.0,0.0,0.0,63.0,ML,2024-04-13,0.0,0.0,0.0
0.0,0.0,0.0,89.0,DML,2024-04-06,0.0568141341209411,0.0,1.0
0.0,1.0,0.0780709311366081,90.0,MR,2024-04-02,0.0974051207304,0.0,1.0
0.0,1.0,0.2901564538478851,4.0,Sub,2024-03-30,0.0515471175312995,0.0,1.0
0.0,0.0,0.0,7.0,Sub,2024-03-09,0.0,0.0,0.0
0.0,0.0,0.0,1.0,Sub,2024-02-25,0.0,0.0,0.0
0.0,0.0,0.0,1.0,Sub,2024-02-17,0.0,0.0,0.0
0.0,1.0,0.0130210630595684,4.0,Sub,2024-02-10,0.0,0.0,0.0
0.0,0.0,0.0,1.0,Sub,2024-02-04,0.0,0.0,0.0
0.0,0.0,0.0,58.0,DML,2024-02-01,0.0367951653897762,0.0,1.0
0.0,0.0,0.0,90.0,DML,2024-01-22,0.0,0.0,0.0
0.0,0.0,0.0,1.0,Sub,2023-12-30,0.0,0.0,0.0
0.0,0.0,0.0,18.0,Sub,2023-12-27,0.0,0.0,0.0
1.0,1.0,0.5101490616798401,3.0,Sub,2023-12-24,0.0,0.0,0.0
0.0,0.0,0.0,5.0,Sub,2023-12-17,0.0,0.0,0.0
0.0,0.0,0.0,15.0,Sub,2023-12-09,0.0,0.0,0.0
0.0,0.0,0.0,1.0,Sub,2023-12-05,0.0,0.0,0.0
0.0,0.0,0.0,21.0,Sub,2023-12-02,0.0589279122650623,0.0,1.0
0.0,1.0,0.0697897225618362,72.0,Sub,2023-11-27,0.0535314232110977,0.0,1.0
0.0,0.0,0.0,18.0,Sub,2023-11-11,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DMR,2023-10-21,0.2337456345558166,0.0,3.0
0.0,0.0,0.0,40.0,Sub,2023-10-08,0.0,0.0,0.0
0.0,0.0,0.0,13.0,Sub,2023-09-30,0.0,0.0,0.0
0.0,0.0,0.0,39.0,Sub,2023-09-23,0.0,0.0,0.0
0.0,1.0,0.0478802621364593,28.0,Sub,2023-09-16,0.0833043232560157,0.0,1.0
1.0,8.0,1.1126765199005602,1087.0,,,1.0989295095205303,0.0,12.0
0.0827966881324747,0.6623735050597976,0.09212593081053397,1087.0,,,0.09098772387934473,0.0,0.9935602575896965
