player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title
Erling Haaland,31.0,2581.0,27.0,31.65399668365717,5.0,4.7517555598169565,122.0,29.0,1.0,0.0,F S,Manchester City
Cole Palmer,34.0,2640.0,22.0,17.83224501274526,11.0,11.869294486939909,108.0,72.0,7.0,0.0,F M S,"Chelsea,Manchester City"
Alexander Isak,30.0,2305.0,21.0,22.07426631450653,2.0,3.6520401313900943,78.0,27.0,1.0,0.0,F S,Newcastle United
Dominic Solanke,38.0,3346.0,19.0,21.40683087334037,3.0,3.5437498800456524,109.0,39.0,3.0,0.0,F S,Bournemouth
Phil Foden,35.0,2895.0,19.0,11.307983005419374,8.0,8.51623285189271,105.0,73.0,2.0,0.0,F M S,Manchester City
Ollie Watkins,37.0,3250.0,19.0,19.26459836959839,13.0,7.745744535699487,106.0,45.0,4.0,0.0,F,Aston Villa
Mohamed Salah,32.0,2556.0,18.0,21.94127439334989,10.0,12.332044444978235,114.0,66.0,2.0,0.0,F S,Liverpool
Son Heung-Min,35.0,2989.0,17.0,12.978620901703836,10.0,13.341020658612251,85.0,69.0,1.0,0.0,F M S,Tottenham
Jarrod Bowen,34.0,3026.0,16.0,13.498636420816185,6.0,6.437707958742976,85.0,32.0,2.0,0.0,F M,West Ham
Jean-Philippe Mateta,35.0,2303.0,16.0,12.290523625910282,5.0,3.52706278860569,46.0,32.0,3.0,0.0,F S,Crystal Palace
Bukayo Saka,35.0,2990.0,16.0,16.807056225836277,8.0,11.325986489653587,107.0,89.0,4.0,0.0,F,Arsenal
Chris Wood,31.0,1797.0,14.0,13.364272002130749,1.0,1.987032251432538,48.0,22.0,0.0,0.0,F S,Nottingham Forest
Nicolas Jackson,35.0,2818.0,14.0,19.860593939200044,5.0,5.2836981769651175,80.0,36.0,10.0,0.0,F M S,Chelsea
Kai Havertz,37.0,2651.0,13.0,13.465729914605618,7.0,5.814370539039373,69.0,45.0,11.0,0.0,F M S,Arsenal
Yoane Wissa,34.0,2556.0,12.0,11.16999962553382,3.0,3.828521143645048,67.0,29.0,7.0,0.0,F S,Brentford
Matheus Cunha,32.0,2499.0,12.0,10.229120277799666,7.0,3.920058634132147,73.0,28.0,8.0,0.0,F M S,Wolverhampton Wanderers
Leandro Trossard,34.0,1649.0,12.0,9.575767548754811,1.0,3.252073733136058,60.0,24.0,2.0,0.0,F M S,Arsenal
Hee-Chan Hwang,29.0,2154.0,12.0,8.681871520355344,3.0,3.1403315979987383,45.0,17.0,6.0,0.0,F M S,Wolverhampton Wanderers
Richarlison,28.0,1511.0,11.0,9.619059151038527,4.0,1.9676255472004416,61.0,15.0,3.0,0.0,F M S,Tottenham
Anthony Gordon,35.0,2956.0,11.0,11.293779235333204,10.0,8.833045985549688,81.0,56.0,10.0,1.0,F M S,Newcastle United
Eberechi Eze,27.0,2097.0,11.0,9.37310928851366,4.0,6.844833366572857,83.0,54.0,3.0,0.0,F M S,Crystal Palace
Darwin Núñez,36.0,2037.0,11.0,19.187851031310856,8.0,5.950456521473825,108.0,33.0,9.0,0.0,F S,Liverpool
Julián Álvarez,36.0,2682.0,11.0,14.373571239411833,8.0,5.823111834935844,98.0,66.0,2.0,0.0,F M S,Manchester City
Carlton Morris,38.0,2879.0,11.0,12.306741118431091,4.0,3.691950936801731,72.0,22.0,4.0,0.0,F M S,Luton
Bruno Fernandes,35.0,3121.0,10.0,10.74626663699746,8.0,13.15852378681302,95.0,113.0,9.0,0.0,F M,Manchester United
Leon Bailey,35.0,2112.0,10.0,6.4655649326741695,9.0,10.29915790259838,53.0,51.0,5.0,0.0,F M S,Aston Villa
