assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,1.0,29.0,1.0,0.0,8.0,2,0.0,0.0,1.4,14.0,2020-09-12T11:30:00Z,90.0,8,0.0,0.0,0.0,0.0,1,2.0,400285.0,3,0,0.0,7.0,0,0,0,50,False,0.0
0.0,0.0,18.0,0.0,0.0,8.0,9,1.0,0.0,1.8,18.0,2020-09-19T19:00:00Z,90.0,19,0.0,0.0,0.0,0.0,2,2.0,614046.0,1,2,0.0,2.0,71268,112820,41552,50,True,0.0
0.0,1.0,22.0,0.0,0.0,8.0,23,3.0,0.0,3.6,35.8,2020-09-28T19:00:00Z,90.0,11,0.0,0.0,0.0,0.0,3,5.0,605224.0,1,3,0.0,3.0,-33085,57089,90174,50,False,0.0
0.0,0.0,12.0,0.0,0.0,8.0,29,1.0,0.0,1.1,11.2,2020-10-04T13:00:00Z,90.0,15,0.0,0.0,0.0,0.0,4,1.0,675971.0,1,2,0.0,2.0,32333,67684,35351,50,True,0.0
0.0,0.0,19.0,0.0,0.0,8.0,44,1.0,0.0,3.2,31.6,2020-10-17T16:30:00Z,90.0,12,0.0,0.0,0.0,0.0,5,4.0,689120.0,0,1,0.0,3.0,-1770,58395,60165,50,False,0.0
0.0,0.0,11.0,0.0,0.0,8.0,49,1.0,0.0,1.2,12.0,2020-10-25T19:15:00Z,90.0,9,0.0,0.0,0.0,0.0,6,1.0,693944.0,1,0,0.0,2.0,-6968,29541,36509,50,True,0.0
0.0,0.0,27.0,1.0,0.0,8.0,64,0.0,0.0,2.1,21.4,2020-11-01T16:30:00Z,90.0,13,0.0,0.0,0.0,0.0,7,3.0,664379.0,1,0,0.0,7.0,-33754,6637,40391,50,False,0.0
0.0,0.0,12.0,0.0,0.0,8.0,69,3.0,0.0,2.7,27.2,2020-11-08T19:15:00Z,90.0,2,0.0,0.0,0.0,0.0,8,3.0,693574.0,3,0,0.0,2.0,17605,35861,18256,50,True,0.0
0.0,3.0,29.0,1.0,0.0,8.0,82,0.0,0.0,3.2,31.6,2020-11-22T16:30:00Z,90.0,10,0.0,0.0,0.0,0.0,9,4.0,666919.0,0,0,0.0,10.0,-24402,9812,34214,50,False,0.0
0.0,0.0,13.0,0.0,0.0,8.0,89,2.0,0.0,2.3,22.8,2020-11-29T19:15:00Z,90.0,20,0.0,0.0,0.0,0.0,10,3.0,679574.0,2,1,0.0,2.0,3905,16683,12778,50,True,0.0
