assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,0.0,0.0,0.0,569.0,45,0.0,0.0,0.0,0.0,2020-10-17T19:00:00Z,0.0,14,0.0,0.0,0.0,0.0,5,0.0,27586.0,4,1,0.0,0.0,24237,40011,15774,80,False,0.0
0.0,0.0,2.0,0.0,0.0,569.0,55,0.0,0.0,2.4,0.0,2020-10-24T16:30:00Z,32.0,5,0.0,0.0,0.0,0.0,6,0.0,35601.0,0,0,24.0,1.0,7765,14726,6961,80,True,0.0
0.0,0.0,2.0,0.0,0.5,569.0,64,0.0,0.0,0.0,0.0,2020-11-01T16:30:00Z,15.0,1,0.0,0.0,0.0,0.0,7,0.0,50645.0,1,0,0.0,1.0,12008,18871,6863,80,True,0.0
0.0,0.0,26.0,0.0,1.3,569.0,73,0.0,1.0,5.6,34.0,2020-11-07T12:30:00Z,8.0,7,0.0,0.0,0.0,0.0,8,0.0,41676.0,3,1,21.0,5.0,-9536,5831,15367,80,False,0.0
0.0,0.0,-1.0,0.0,0.6,569.0,84,0.0,0.0,3.9,0.2,2020-11-21T20:00:00Z,27.0,18,0.0,0.0,0.0,0.0,9,0.0,63515.0,0,1,38.0,0.0,15967,24413,8446,80,True,1.0
1.0,3.0,68.0,0.0,15.3,569.0,96,0.0,2.0,16.2,90.4,2020-11-29T14:00:00Z,45.0,16,0.0,0.0,0.0,0.0,10,0.0,48624.0,3,2,56.0,15.0,-13551,3568,17119,80,False,0.0
0.0,0.0,2.0,0.0,1.4,569.0,108,1.0,0.0,0.0,0.0,2020-12-05T17:30:00Z,45.0,19,0.0,0.0,0.0,0.0,11,0.0,274902.0,3,1,0.0,1.0,201055,210304,9249,81,False,0.0
0.0,0.0,0.0,0.0,0.0,569.0,115,0.0,0.0,0.0,0.0,2020-12-12T17:30:00Z,0.0,12,0.0,0.0,0.0,0.0,12,0.0,146089.0,0,0,0.0,0.0,-108648,9631,118279,80,True,0.0
0.0,0.0,0.0,0.0,0.0,569.0,124,0.0,0.0,0.0,0.0,2020-12-17T20:00:00Z,0.0,15,0.0,0.0,0.0,0.0,13,0.0,109219.0,3,2,0.0,0.0,-40656,2293,42949,80,False,0.0
0.0,0.0,0.0,0.0,0.4,569.0,134,1.0,0.0,3.3,8.4,2020-12-20T16:30:00Z,19.0,10,0.0,0.0,0.0,0.0,14,0.0,81511.0,2,6,24.0,1.0,-28653,1161,29814,79,True,0.0
1.0,0.0,16.0,0.0,13.5,569.0,143,1.0,0.0,3.4,18.4,2020-12-26T12:30:00Z,15.0,9,0.0,0.0,0.0,0.0,15,0.0,80278.0,2,2,2.0,4.0,-3778,10835,14613,78,False,0.0
0.0,0.0,-4.0,1.0,3.0,569.0,154,0.0,0.0,1.5,0.0,2020-12-29T20:00:00Z,90.0,20,0.0,0.0,0.0,0.0,16,0.0,107749.0,0,1,15.0,2.0,24475,29452,4977,78,True,0.0
0.0,0.0,0.0,0.0,0.0,569.0,164,0.0,0.0,0.0,0.0,2021-01-01T20:00:00Z,0.0,2,0.0,0.0,0.0,0.0,17,0.0,82802.0,1,2,0.0,0.0,-24652,11919,36571,78,True,0.0
0.0,0.0,9.0,1.0,21.8,569.0,379,0.0,0.0,7.3,6.2,2021-01-12T20:15:00Z,90.0,4,0.0,0.0,0.0,0.0,18,0.0,158336.0,1,0,45.0,2.0,35443,55253,19810,78,False,0.0
0.0,0.0,3.0,0.0,0.2,569.0,184,0.0,0.0,0.3,2.4,2021-01-17T16:30:00Z,29.0,11,0.0,0.0,0.0,0.0,19,0.0,221262.0,0,0,0.0,1.0,89570,107271,17701,78,False,0.0
0.0,1.0,29.0,0.0,2.4,569.0,171,1.0,1.0,7.8,39.8,2021-01-20T20:15:00Z,90.0,8,0.0,0.0,0.0,0.0,19,0.0,221262.0,2,1,36.0,7.0,89570,107271,17701,78,False,0.0
0.0,0.0,1.0,0.0,0.3,569.0,192,1.0,0.0,0.7,1.0,2021-01-27T20:15:00Z,24.0,15,0.0,0.0,0.0,0.0,20,0.0,333650.0,2,1,6.0,1.0,115840,147512,31672,78,True,0.0
0.0,0.0,-3.0,1.0,15.1,569.0,199,0.0,0.0,2.7,0.0,2021-01-30T17:30:00Z,90.0,1,0.0,0.0,0.0,0.0,21,0.0,325761.0,0,0,15.0,2.0,-7717,47419,55136,79,False,0.0
0.0,0.0,25.0,0.0,2.5,569.0,213,0.0,1.0,5.9,31.4,2021-02-02T20:15:00Z,45.0,16,0.0,0.0,0.0,0.0,22,0.0,355853.0,0,9,25.0,5.0,26757,59153,32396,79,True,0.0
