assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,0.0,0.0,0.0,209.0,3,0.0,0.0,0.0,0.0,2020-09-12T16:30:00Z,0.0,11,0.0,0.0,0.0,0.0,1,0.0,20257.0,3,4,0.0,0.0,0,0,0,45,False,0.0
0.0,0.0,0.0,0.0,0.0,209.0,13,0.0,0.0,0.0,0.0,2020-09-19T14:00:00Z,0.0,8,0.0,0.0,0.0,0.0,2,0.0,19167.0,3,4,0.0,0.0,-2738,1095,3833,45,True,0.0
0.0,0.0,2.0,0.0,0.8,209.0,25,0.0,0.0,2.9,3.2,2020-09-27T11:00:00Z,24.0,15,0.0,0.0,0.0,0.0,3,0.0,17003.0,1,0,25.0,1.0,-2863,1272,4135,45,False,0.0
0.0,0.0,7.0,0.0,14.5,209.0,33,0.0,0.0,2.2,7.8,2020-10-03T16:30:00Z,45.0,12,0.0,0.0,0.0,0.0,4,0.0,22281.0,1,1,0.0,1.0,2970,6052,3082,44,True,0.0
0.0,0.0,-1.0,0.0,0.8,209.0,42,0.0,0.0,2.1,1.8,2020-10-19T19:00:00Z,19.0,20,0.0,0.0,0.0,0.0,5,0.0,30575.0,1,0,18.0,1.0,6270,13277,7007,44,True,0.0
0.0,0.0,0.0,0.0,0.0,209.0,50,0.0,0.0,0.0,0.0,2020-10-23T19:00:00Z,0.0,2,0.0,0.0,0.0,0.0,6,0.0,35797.0,3,0,0.0,0.0,4533,8903,4370,44,False,0.0
0.0,0.0,2.0,0.0,2.1,209.0,62,2.0,0.0,1.2,3.8,2020-11-02T20:00:00Z,45.0,9,0.0,0.0,0.0,0.0,7,0.0,34251.0,4,1,6.0,1.0,-1138,2693,3831,44,True,0.0
0.0,0.0,0.0,0.0,0.0,209.0,72,0.0,0.0,0.0,0.0,2020-11-07T15:00:00Z,0.0,6,0.0,0.0,0.0,0.0,8,0.0,32695.0,1,4,0.0,0.0,-1648,1431,3079,44,False,0.0
0.0,0.0,7.0,0.0,14.6,209.0,82,0.0,0.0,4.1,7.0,2020-11-22T16:30:00Z,10.0,1,0.0,0.0,0.0,0.0,9,0.0,30804.0,0,0,19.0,1.0,-1968,1393,3361,44,True,0.0
0.0,0.0,6.0,0.0,10.5,209.0,93,0.0,0.0,1.6,3.2,2020-11-28T17:30:00Z,5.0,7,0.0,0.0,0.0,0.0,10,0.0,30969.0,1,0,2.0,1.0,-323,1565,1888,44,False,0.0
0.0,0.0,-1.0,0.0,0.4,209.0,102,2.0,0.0,1.3,4.0,2020-12-05T20:00:00Z,33.0,5,0.0,0.0,0.0,0.0,11,0.0,29508.0,1,3,9.0,1.0,-1397,1257,2654,44,False,0.0
0.0,0.0,0.0,0.0,0.0,209.0,113,0.0,0.0,0.0,0.0,2020-12-11T20:00:00Z,0.0,19,0.0,0.0,0.0,0.0,12,0.0,29642.0,2,1,0.0,0.0,-261,1580,1841,44,True,0.0
0.0,0.0,0.0,0.0,0.0,209.0,122,0.0,0.0,0.0,0.0,2020-12-16T18:00:00Z,0.0,14,0.0,0.0,0.0,0.0,13,0.0,28808.0,2,5,0.0,0.0,-785,693,1478,44,True,0.0
0.0,0.0,0.0,0.0,0.0,209.0,134,0.0,0.0,0.0,0.0,2020-12-20T16:30:00Z,0.0,13,0.0,0.0,0.0,0.0,14,0.0,27704.0,2,6,0.0,0.0,-1196,365,1561,44,False,0.0
0.0,0.0,2.0,0.0,0.8,209.0,142,0.0,0.0,1.3,8.4,2020-12-27T12:00:00Z,20.0,4,0.0,0.0,0.0,0.0,15,0.0,26874.0,0,1,4.0,1.0,-880,684,1564,44,True,0.0
0.0,0.0,0.0,0.0,0.0,209.0,158,0.0,0.0,0.0,0.0,2020-12-29T18:00:00Z,0.0,18,0.0,0.0,0.0,0.0,16,0.0,26167.0,5,0,0.0,0.0,-776,278,1054,44,False,0.0
0.0,0.0,2.0,0.0,1.1,209.0,167,0.0,0.0,0.7,2.0,2021-01-02T12:30:00Z,29.0,17,0.0,0.0,0.0,0.0,17,0.0,26213.0,0,3,4.0,1.0,-218,1634,1852,43,False,0.0
0.0,0.0,3.0,0.0,1.9,209.0,182,0.0,0.0,0.3,1.4,2021-01-16T15:00:00Z,15.0,3,0.0,0.0,0.0,0.0,19,0.0,33442.0,1,0,0.0,1.0,1647,4466,2819,43,True,0.0
0.0,0.0,0.0,0.0,0.0,209.0,196,0.0,0.0,0.0,0.0,2021-01-26T18:00:00Z,0.0,14,0.0,0.0,0.0,0.0,20,0.0,32761.0,2,1,0.0,0.0,557,4737,4180,43,False,0.0
0.0,0.0,0.0,0.0,0.0,209.0,204,0.0,0.0,0.0,0.0,2021-01-31T14:00:00Z,0.0,9,0.0,0.0,0.0,0.0,21,0.0,30122.0,3,1,0.0,0.0,-2614,1091,3705,43,False,0.0
0.0,0.0,0.0,0.0,0.0,209.0,212,0.0,0.0,0.0,0.0,2021-02-03T19:30:00Z,0.0,7,0.0,0.0,0.0,0.0,22,0.0,27794.0,2,1,0.0,0.0,-2341,408,2749,43,True,0.0
