assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,6.0,0.0,5.3,43.0,8,3.0,0.0,2.0,4.2,2021-08-14T14:00:00Z,71.0,18,0.0,0.0,0.0,0.0,1,0.0,386824.0,2,3,10.0,2.0,0,0,0,65,False,0.0
0.0,0.0,6.0,1.0,36.2,43.0,11,0.0,0.0,5.0,11.6,2021-08-21T14:00:00Z,85.0,14,0.0,0.0,0.0,0.0,2,0.0,374696.0,0,2,2.0,2.0,-31772,20786,52558,65,True,1.0
0.0,3.0,29.0,0.0,40.3,43.0,21,1.0,1.0,10.2,52.2,2021-08-28T14:00:00Z,90.0,3,0.0,0.0,0.0,0.0,3,0.0,268257.0,1,1,9.0,10.0,-109936,10239,120175,64,True,0.0
0.0,0.0,0.0,0.0,0.0,43.0,33,0.0,0.0,0.0,0.0,2021-09-11T16:30:00Z,0.0,6,0.0,0.0,0.0,0.0,4,0.0,160471.0,0,3,0.0,0.0,-108238,12398,120636,64,False,0.0
0.0,0.0,0.0,0.0,0.0,43.0,41,0.0,0.0,0.0,0.0,2021-09-18T16:30:00Z,0.0,8,0.0,0.0,0.0,0.0,5,0.0,132908.0,0,3,0.0,0.0,-31534,2870,34404,64,True,0.0
0.0,0.0,3.0,0.0,11.3,43.0,58,0.0,0.0,1.5,1.2,2021-09-25T11:30:00Z,12.0,13,0.0,0.0,0.0,0.0,6,0.0,123278.0,1,0,2.0,1.0,-11493,6169,17662,64,False,0.0
0.0,0.0,3.0,0.0,1.3,43.0,68,1.0,0.0,0.2,0.6,2021-10-03T13:00:00Z,21.0,17,0.0,0.0,0.0,0.0,7,0.0,114334.0,1,2,0.0,1.0,-9605,3681,13286,64,False,0.0
0.0,0.0,18.0,1.0,27.8,43.0,72,0.0,0.0,4.1,6.0,2021-10-16T14:00:00Z,73.0,20,0.0,0.0,0.0,0.0,8,0.0,107935.0,3,2,7.0,3.0,-7167,4081,11248,63,True,0.0
0.0,0.0,9.0,0.0,24.0,43.0,81,3.0,0.0,6.0,15.4,2021-10-22T19:00:00Z,67.0,1,0.0,0.0,0.0,0.0,9,0.0,103556.0,1,3,21.0,2.0,-4636,3043,7679,63,False,0.0
1.0,0.0,17.0,0.0,12.1,43.0,91,2.0,0.0,3.3,19.0,2021-10-31T16:30:00Z,51.0,19,0.0,0.0,0.0,0.0,10,0.0,95023.0,4,1,2.0,4.0,-8664,1210,9874,63,True,0.0
0.0,0.0,12.0,0.0,44.3,43.0,109,1.0,0.0,8.5,18.8,2021-11-05T20:00:00Z,70.0,16,0.0,0.0,0.0,0.0,11,0.0,95087.0,0,1,22.0,2.0,-782,4065,4847,63,False,0.0
0.0,0.0,7.0,1.0,2.5,43.0,111,0.0,0.0,1.3,2.2,2021-11-20T15:00:00Z,73.0,4,0.0,0.0,0.0,0.0,12,0.0,94482.0,0,2,8.0,3.0,-1052,5541,6593,62,True,0.0
