assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,0.0,0.0,0.0,666.0,194,0.0,0.0,0.0,0.0,2021-12-28T15:00:00Z,0.0,7,0.0,0.0,0.0,0.0,20,0.0,0.0,0,3,0.0,0.0,0,0,0,40,False,0.0
0.0,0.0,0.0,0.0,0.0,666.0,179,0.0,0.0,0.0,0.0,2022-01-12T19:45:00Z,0.0,19,0.0,0.0,0.0,0.0,21,0.0,376.0,0,2,0.0,0.0,146,261,115,40,False,0.0
0.0,0.0,0.0,0.0,0.0,666.0,217,0.0,0.0,0.0,0.0,2022-01-15T15:00:00Z,0.0,8,0.0,0.0,0.0,0.0,22,0.0,566.0,1,2,0.0,0.0,217,4093,3876,40,True,0.0
0.0,0.0,0.0,0.0,0.0,666.0,230,0.0,0.0,0.0,0.0,2022-01-21T20:00:00Z,0.0,18,0.0,0.0,0.0,0.0,23,0.0,1018.0,3,0,0.0,0.0,526,16643,16117,40,False,0.0
0.0,0.0,0.0,0.0,0.0,666.0,234,0.0,0.0,0.0,0.0,2022-02-09T19:45:00Z,0.0,7,0.0,0.0,0.0,0.0,24,0.0,5451.0,1,1,0.0,0.0,4885,35157,30272,40,True,0.0
0.0,0.0,0.0,0.0,0.0,666.0,248,0.0,0.0,0.0,0.0,2022-02-12T17:30:00Z,0.0,12,0.0,0.0,0.0,0.0,25,0.0,4580.0,4,0,0.0,0.0,-760,208,968,40,True,0.0
0.0,0.0,0.0,0.0,0.0,666.0,256,0.0,0.0,0.0,0.0,2022-02-19T15:00:00Z,0.0,11,0.0,0.0,0.0,0.0,26,0.0,4418.0,1,3,0.0,0.0,-239,156,395,40,False,0.0
0.0,0.0,0.0,0.0,0.0,666.0,269,0.0,0.0,0.0,0.0,2022-02-25T20:00:00Z,0.0,16,0.0,0.0,0.0,0.0,27,0.0,4610.0,0,2,0.0,0.0,21,326,305,40,False,0.0
0.0,0.0,0.0,0.0,0.0,666.0,277,0.0,0.0,0.0,0.0,2022-03-05T15:00:00Z,0.0,3,0.0,0.0,0.0,0.0,28,0.0,4374.0,3,1,0.0,0.0,-118,64,182,40,True,0.0
0.0,0.0,0.0,0.0,0.0,666.0,297,0.0,0.0,0.0,0.0,2022-03-10T19:30:00Z,0.0,6,0.0,0.0,0.0,0.0,28,0.0,4374.0,3,1,0.0,0.0,-118,64,182,40,True,0.0
0.0,0.0,0.0,0.0,0.0,666.0,287,0.0,0.0,0.0,0.0,2022-03-13T14:00:00Z,0.0,10,0.0,0.0,0.0,0.0,29,0.0,4407.0,1,2,0.0,0.0,0,73,73,40,False,0.0
0.0,0.0,0.0,0.0,0.0,666.0,301,0.0,0.0,0.0,0.0,2022-04-02T14:00:00Z,0.0,4,0.0,0.0,0.0,0.0,31,0.0,4504.0,0,0,0.0,0.0,36,122,86,40,False,0.0
0.0,0.0,0.0,0.0,0.0,666.0,318,0.0,0.0,0.0,0.0,2022-04-10T13:00:00Z,0.0,5,0.0,0.0,0.0,0.0,32,0.0,4452.0,0,2,0.0,0.0,-52,42,94,40,True,0.0
0.0,0.0,0.0,0.0,0.0,666.0,324,0.0,0.0,0.0,0.0,2022-04-16T14:00:00Z,0.0,13,0.0,0.0,0.0,0.0,33,0.0,4559.0,2,3,0.0,0.0,44,117,73,40,False,0.0
0.0,0.0,0.0,0.0,0.0,666.0,340,0.0,0.0,0.0,0.0,2022-04-23T14:00:00Z,0.0,14,0.0,0.0,0.0,0.0,34,0.0,4614.0,3,0,0.0,0.0,51,142,91,40,True,0.0
0.0,0.0,0.0,0.0,0.0,666.0,341,0.0,0.0,0.0,0.0,2022-04-30T14:00:00Z,0.0,2,0.0,0.0,0.0,0.0,35,0.0,4717.0,0,2,0.0,0.0,77,157,80,40,False,0.0
0.0,0.0,0.0,0.0,0.0,666.0,360,0.0,0.0,0.0,0.0,2022-05-08T13:00:00Z,0.0,19,0.0,0.0,0.0,0.0,36,0.0,4612.0,4,0,0.0,0.0,-150,75,225,40,True,0.0
0.0,0.0,0.0,0.0,0.0,666.0,207,0.0,0.0,0.0,0.0,2022-05-11T18:45:00Z,0.0,9,0.0,0.0,0.0,0.0,36,0.0,4612.0,0,3,0.0,0.0,-150,75,225,40,False,0.0
0.0,0.0,0.0,0.0,0.0,666.0,370,0.0,0.0,0.0,0.0,2022-05-15T13:00:00Z,0.0,20,0.0,0.0,0.0,0.0,37,0.0,4652.0,1,1,0.0,0.0,-5,65,70,40,False,0.0
0.0,0.0,0.0,0.0,0.0,666.0,380,0.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,0.0,17,0.0,0.0,0.0,0.0,38,0.0,4673.0,5,0,0.0,0.0,14,98,84,40,True,0.0
0.0,0.0,0.0,0.0,0.0,13320.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,75569.0,,,0.0,0.0,,,,,,0.0
Games played: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
