assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,13.0,0.0,2.2,317.0,7,3.0,0.0,2.8,5.2,2021-08-14T16:30:00Z,90.0,11,0.0,0.0,0.0,0.0,1,0.0,8058.0,3,0,21.0,2.0,0,0,0,45,True,0.0
0.0,0.0,2.0,0.0,0.3,317.0,16,2.0,0.0,0.6,5.2,2021-08-21T14:00:00Z,45.0,12,0.0,0.0,0.0,0.0,2,0.0,10891.0,0,5,0.0,1.0,658,2032,1374,45,False,0.0
0.0,0.0,5.0,0.0,14.7,317.0,26,1.0,0.0,2.9,6.2,2021-08-28T14:00:00Z,17.0,9,0.0,0.0,0.0,0.0,3,0.0,10835.0,2,1,8.0,1.0,-481,909,1390,45,True,0.0
0.0,0.0,10.0,0.0,2.3,317.0,31,1.0,0.0,0.9,4.0,2021-09-11T14:00:00Z,79.0,1,0.0,0.0,0.0,0.0,4,0.0,10685.0,0,1,3.0,2.0,-571,1435,2006,45,False,0.0
0.0,0.0,0.0,0.0,0.0,317.0,47,0.0,0.0,0.0,0.0,2021-09-18T14:00:00Z,0.0,18,0.0,0.0,0.0,0.0,5,0.0,11506.0,3,1,0.0,0.0,350,1840,1490,45,True,0.0
0.0,0.0,0.0,0.0,0.0,317.0,55,0.0,0.0,0.0,0.0,2021-09-25T14:00:00Z,0.0,8,0.0,0.0,0.0,0.0,6,0.0,11103.0,0,2,0.0,0.0,-475,895,1370,45,False,0.0
0.0,0.0,3.0,0.0,0.8,317.0,62,0.0,0.0,0.2,1.6,2021-10-02T14:00:00Z,10.0,5,0.0,0.0,0.0,0.0,7,0.0,10417.0,0,0,0.0,1.0,-810,444,1254,45,False,0.0
0.0,0.0,2.0,0.0,0.0,317.0,78,0.0,0.0,0.0,0.0,2021-10-16T14:00:00Z,7.0,4,0.0,0.0,0.0,0.0,8,0.0,9735.0,0,0,0.0,1.0,-780,191,971,45,True,0.0
0.0,0.0,0.0,0.0,0.0,317.0,84,0.0,0.0,0.0,0.0,2021-10-23T11:30:00Z,0.0,6,0.0,0.0,0.0,0.0,9,0.0,19719.0,0,7,0.0,0.0,6770,8594,1824,44,False,0.0
0.0,0.0,0.0,0.0,0.0,317.0,97,0.0,0.0,0.0,0.0,2021-10-31T14:00:00Z,0.0,10,0.0,0.0,0.0,0.0,10,0.0,28716.0,2,1,0.0,0.0,7238,11890,4652,44,True,0.0
0.0,0.0,0.0,0.0,0.0,317.0,102,0.0,0.0,0.0,0.0,2021-11-06T15:00:00Z,0.0,3,0.0,0.0,0.0,0.0,11,0.0,33261.0,2,1,0.0,0.0,4144,7792,3648,44,False,0.0
0.0,0.0,3.0,0.0,0.0,317.0,117,0.0,0.0,0.5,5.0,2021-11-20T15:00:00Z,4.0,16,0.0,0.0,0.0,0.0,12,0.0,33808.0,1,2,0.0,1.0,124,4418,4294,44,True,0.0
0.0,0.0,14.0,0.0,37.4,317.0,130,0.0,0.0,8.7,14.8,2021-11-27T15:00:00Z,55.0,20,0.0,0.0,0.0,0.0,13,0.0,33507.0,0,0,35.0,1.0,-233,2473,2706,44,True,0.0
0.0,0.0,18.0,0.0,28.7,317.0,138,1.0,0.0,5.9,10.2,2021-11-30T19:30:00Z,90.0,14,0.0,0.0,0.0,0.0,14,0.0,33213.0,1,1,20.0,2.0,-464,1318,1782,44,False,0.0
0.0,0.0,0.0,0.0,0.0,317.0,147,0.0,0.0,0.0,0.0,2021-12-05T14:00:00Z,0.0,17,0.0,0.0,0.0,0.0,15,0.0,32081.0,0,3,0.0,0.0,-1198,1218,2416,44,False,0.0
0.0,0.0,12.0,0.0,23.8,317.0,160,1.0,0.0,5.8,13.6,2021-12-11T17:30:00Z,75.0,13,0.0,0.0,0.0,0.0,16,0.0,30503.0,1,0,21.0,2.0,-1726,623,2349,44,True,0.0
