assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,0.0,0.0,0.0,470.0,5,0.0,0.0,0.0,0.0,2021-08-14T14:00:00Z,0.0,9,0.0,0.0,0.0,0.0,1,0.0,44020.0,0,1,0.0,0.0,0,0,0,45,False,0.0
0.0,0.0,5.0,0.0,0.1,470.0,17,0.0,0.0,1.0,2.2,2021-08-22T13:00:00Z,6.0,17,0.0,0.0,0.0,0.0,2,0.0,40898.0,1,0,8.0,1.0,-5149,727,5876,45,True,0.0
0.0,0.0,0.0,0.0,0.0,470.0,30,0.0,0.0,0.0,0.0,2021-08-29T15:30:00Z,0.0,13,0.0,0.0,0.0,0.0,3,0.0,34310.0,1,0,0.0,0.0,-7142,938,8080,44,True,0.0
0.0,0.0,0.0,0.0,0.0,470.0,40,0.0,0.0,0.0,0.0,2021-09-11T14:00:00Z,0.0,18,0.0,0.0,0.0,0.0,4,0.0,26967.0,2,0,0.0,0.0,-7915,1494,9409,44,False,0.0
0.0,0.0,0.0,0.0,0.0,470.0,50,0.0,0.0,0.0,0.0,2021-09-18T11:30:00Z,0.0,3,0.0,0.0,0.0,0.0,5,0.0,22853.0,2,0,0.0,0.0,-4524,872,5396,43,True,0.0
0.0,0.0,0.0,0.0,0.0,470.0,59,0.0,0.0,0.0,0.0,2021-09-26T13:00:00Z,0.0,16,0.0,0.0,0.0,0.0,6,0.0,19700.0,1,0,0.0,0.0,-3307,409,3716,43,False,0.0
0.0,0.0,0.0,0.0,0.0,470.0,70,0.0,0.0,0.0,0.0,2021-10-02T14:00:00Z,0.0,14,0.0,0.0,0.0,0.0,7,0.0,17484.0,1,2,0.0,0.0,-2296,220,2516,43,True,0.0
0.0,0.0,0.0,0.0,0.0,470.0,72,0.0,0.0,0.0,0.0,2021-10-16T14:00:00Z,0.0,2,0.0,0.0,0.0,0.0,8,0.0,16634.0,3,2,0.0,0.0,-1075,341,1416,43,False,0.0
0.0,0.0,18.0,1.0,1.4,470.0,87,0.0,0.0,4.1,20.6,2021-10-23T14:00:00Z,82.0,10,0.0,0.0,0.0,0.0,9,0.0,15985.0,1,1,19.0,6.0,-734,152,886,43,False,0.0
1.0,0.0,17.0,0.0,34.3,470.0,100,1.0,0.0,6.1,26.4,2021-11-01T20:00:00Z,90.0,8,0.0,0.0,0.0,0.0,10,0.0,18136.0,1,2,0.0,4.0,1610,2399,789,43,True,1.0
0.0,0.0,7.0,0.0,6.3,470.0,105,2.0,0.0,3.0,17.2,2021-11-06T15:00:00Z,90.0,7,0.0,0.0,0.0,0.0,11,0.0,22096.0,0,2,6.0,1.0,3654,4557,903,43,False,0.0
0.0,3.0,38.0,1.0,58.6,470.0,120,0.0,0.0,8.2,21.6,2021-11-20T15:00:00Z,90.0,19,0.0,0.0,0.0,0.0,12,0.0,23057.0,0,1,2.0,9.0,839,2349,1510,43,True,0.0
0.0,0.0,19.0,1.0,21.1,470.0,130,0.0,0.0,6.2,19.8,2021-11-27T15:00:00Z,90.0,15,0.0,0.0,0.0,0.0,13,0.0,41808.0,0,0,21.0,6.0,17254,18858,1604,43,False,0.0
0.0,0.0,21.0,1.0,14.0,470.0,137,0.0,0.0,5.8,11.6,2021-12-01T19:30:00Z,90.0,5,0.0,0.0,0.0,0.0,14,0.0,46421.0,0,0,32.0,6.0,4851,7699,2848,43,True,0.0
0.0,0.0,26.0,1.0,1.5,470.0,150,0.0,0.0,2.8,20.0,2021-12-04T15:00:00Z,90.0,11,0.0,0.0,0.0,0.0,15,0.0,49713.0,1,0,6.0,6.0,2837,8381,5544,43,True,0.0
0.0,0.0,15.0,0.0,14.3,470.0,159,1.0,0.0,3.9,25.0,2021-12-11T12:30:00Z,90.0,12,0.0,0.0,0.0,0.0,16,0.0,58637.0,0,1,0.0,2.0,8263,14115,5852,43,False,0.0
0.0,0.0,0.0,0.0,0.0,470.0,163,0.0,0.0,0.0,0.0,2021-12-15T19:30:00Z,0.0,4,0.0,0.0,0.0,0.0,17,0.0,113190.0,1,0,0.0,0.0,48776,51836,3060,43,False,0.0
0.0,0.0,0.0,0.0,0.0,470.0,180,0.0,0.0,0.0,0.0,2021-12-19T14:00:00Z,0.0,6,0.0,0.0,0.0,0.0,18,0.0,84757.0,0,0,0.0,0.0,-16948,3974,20922,43,True,0.0
0.0,0.0,0.0,0.0,0.0,470.0,208,0.0,0.0,0.0,0.0,2022-01-03T17:30:00Z,0.0,13,0.0,0.0,0.0,0.0,21,0.0,56826.0,1,0,0.0,0.0,-5952,1753,7705,43,False,0.0
2.0,3.0,40.0,0.0,28.9,470.0,220,1.0,0.0,6.6,31.2,2022-01-15T15:00:00Z,90.0,16,0.0,0.0,0.0,0.0,22,0.0,54746.0,1,3,6.0,11.0,-2357,4180,6537,43,True,0.0
0.0,0.0,10.0,0.0,7.0,470.0,222,1.0,0.0,2.8,20.6,2022-01-22T15:00:00Z,90.0,3,0.0,0.0,0.0,0.0,23,0.0,111321.0,2,1,0.0,2.0,50993,55982,4989,43,False,0.0
0.0,0.0,2.0,0.0,1.0,470.0,236,0.0,0.0,0.3,2.4,2022-02-10T19:45:00Z,27.0,1,0.0,0.0,0.0,0.0,24,0.0,149033.0,1,0,0.0,1.0,38467,54785,16318,43,True,0.0
0.0,0.0,13.0,1.0,16.4,470.0,249,0.0,0.0,4.1,18.8,2022-02-13T14:00:00Z,90.0,17,0.0,0.0,0.0,0.0,25,0.0,150952.0,2,0,6.0,5.0,2465,14217,11752,44,False,1.0
0.0,0.0,3.0,0.0,19.2,470.0,260,1.0,0.0,3.6,8.8,2022-02-20T16:30:00Z,87.0,9,0.0,0.0,0.0,0.0,26,0.0,178910.0,1,2,8.0,1.0,17557,26663,9106,44,True,1.0
0.0,0.0,16.0,0.0,11.3,470.0,191,2.0,0.0,3.3,19.8,2022-02-24T19:45:00Z,90.0,1,0.0,0.0,0.0,0.0,26,0.0,178910.0,1,2,2.0,1.0,17557,26663,9106,44,False,0.0
0.0,0.0,0.0,0.0,0.0,470.0,270,0.0,0.0,0.0,0.0,2022-02-27T14:00:00Z,0.0,19,0.0,0.0,0.0,0.0,27,0.0,171561.0,0,1,0.0,0.0,9356,16754,7398,44,False,0.0
0.0,0.0,0.0,0.0,0.0,470.0,280,0.0,0.0,0.0,0.0,2022-03-05T15:00:00Z,0.0,7,0.0,0.0,0.0,0.0,28,0.0,173206.0,2,0,0.0,0.0,487,23717,23230,44,True,0.0
1.0,1.0,32.0,1.0,22.7,470.0,190,0.0,0.0,3.3,6.0,2022-03-10T19:30:00Z,90.0,18,0.0,0.0,0.0,0.0,28,0.0,173206.0,0,4,4.0,9.0,487,23717,23230,44,True,1.0
0.0,0.0,0.0,0.0,0.0,470.0,286,0.0,0.0,0.0,0.0,2022-03-13T14:00:00Z,0.0,8,0.0,0.0,0.0,0.0,29,0.0,176452.0,1,0,0.0,0.0,-836,16527,17363,44,False,0.0
0.0,0.0,8.0,0.0,15.9,470.0,300,3.0,0.0,3.7,10.6,2022-03-18T20:00:00Z,90.0,10,0.0,0.0,0.0,0.0,30,0.0,170369.0,3,2,10.0,1.0,3727,11035,7308,44,True,0.0
0.0,0.0,0.0,0.0,0.0,470.0,310,0.0,0.0,0.0,0.0,2022-04-02T14:00:00Z,0.0,2,0.0,0.0,0.0,0.0,31,0.0,165036.0,1,2,0.0,0.0,-17533,2341,19874,44,True,0.0
0.0,0.0,3.0,0.0,0.7,470.0,317,0.0,0.0,0.1,0.0,2022-04-08T19:00:00Z,4.0,14,0.0,0.0,0.0,0.0,32,0.0,148614.0,0,1,0.0,1.0,-16649,1542,18191,43,False,0.0
0.0,0.0,0.0,0.0,0.0,470.0,334,0.0,0.0,0.0,0.0,2022-04-24T13:00:00Z,0.0,5,0.0,0.0,0.0,0.0,34,0.0,121515.0,0,1,0.0,0.0,-7174,3039,10213,42,False,0.0
0.0,0.0,10.0,0.0,1.8,470.0,350,3.0,0.0,2.2,14.0,2022-04-30T14:00:00Z,90.0,4,0.0,0.0,0.0,0.0,35,0.0,114672.0,3,0,6.0,1.0,-7326,2734,10060,42,True,0.0
