assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,0.0,0.0,0.0,368.0,10,0.0,0.0,0.0,0.0,2021-08-15T15:30:00Z,0.0,12,0.0,0.0,0.0,0.0,1,0.0,10883.0,0,1,0.0,0.0,0,0,0,45,True,0.0
0.0,0.0,0.0,0.0,0.0,368.0,17,0.0,0.0,0.0,0.0,2021-08-22T13:00:00Z,0.0,20,0.0,0.0,0.0,0.0,2,0.0,11217.0,1,0,0.0,0.0,-1313,206,1519,45,False,0.0
0.0,0.0,0.0,0.0,0.0,368.0,27,0.0,0.0,0.0,0.0,2021-08-29T13:00:00Z,0.0,18,0.0,0.0,0.0,0.0,3,0.0,10343.0,0,1,0.0,0.0,-1373,266,1639,44,True,0.0
0.0,0.0,0.0,0.0,0.0,368.0,34,0.0,0.0,0.0,0.0,2021-09-11T11:30:00Z,0.0,7,0.0,0.0,0.0,0.0,4,0.0,9449.0,0,3,0.0,0.0,-1296,542,1838,44,False,0.0
0.0,0.0,0.0,0.0,0.0,368.0,48,0.0,0.0,0.0,0.0,2021-09-19T15:30:00Z,0.0,6,0.0,0.0,0.0,0.0,5,0.0,8235.0,3,0,0.0,0.0,-1275,61,1336,44,True,0.0
0.0,0.0,0.0,0.0,0.0,368.0,51,0.0,0.0,0.0,0.0,2021-09-26T15:30:00Z,0.0,1,0.0,0.0,0.0,0.0,6,0.0,7402.0,1,3,0.0,0.0,-874,14,888,44,False,0.0
0.0,0.0,0.0,0.0,0.0,368.0,68,0.0,0.0,0.0,0.0,2021-10-03T13:00:00Z,0.0,2,0.0,0.0,0.0,0.0,7,0.0,6743.0,1,2,0.0,0.0,-680,55,735,43,True,0.0
0.0,0.0,0.0,0.0,0.0,368.0,77,0.0,0.0,0.0,0.0,2021-10-17T15:30:00Z,0.0,14,0.0,0.0,0.0,0.0,8,0.0,6335.0,3,2,0.0,0.0,-439,27,466,43,False,0.0
0.0,0.0,0.0,0.0,0.0,368.0,90,0.0,0.0,0.0,0.0,2021-10-24T13:00:00Z,0.0,19,0.0,0.0,0.0,0.0,9,0.0,6075.0,0,1,0.0,0.0,-268,18,286,43,False,0.0
0.0,0.0,0.0,0.0,0.0,368.0,98,0.0,0.0,0.0,0.0,2021-10-30T16:30:00Z,0.0,13,0.0,0.0,0.0,0.0,10,0.0,5820.0,3,0,0.0,0.0,-265,47,312,43,True,0.0
0.0,0.0,0.0,0.0,0.0,368.0,106,0.0,0.0,0.0,0.0,2021-11-07T14:00:00Z,0.0,8,0.0,0.0,0.0,0.0,11,0.0,5681.0,0,0,0.0,0.0,-142,54,196,43,False,0.0
