assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,7.0,0.0,14.3,193.0,6,0.0,0.0,2.2,4.4,2021-08-14T11:30:00Z,13.0,13,0.0,0.0,0.0,0.0,1,0.0,4628.0,1,5,3.0,1.0,0,0,0,50,False,0.0
0.0,0.0,2.0,0.0,0.7,193.0,14,0.0,0.0,0.1,0.0,2021-08-21T14:00:00Z,30.0,8,0.0,0.0,0.0,0.0,2,0.0,5193.0,2,2,0.0,1.0,-348,460,808,50,True,0.0
0.0,0.0,2.0,0.0,3.1,193.0,29,0.0,0.0,0.8,2.6,2021-08-29T13:00:00Z,17.0,5,0.0,0.0,0.0,0.0,3,0.0,4902.0,1,1,2.0,1.0,-563,317,880,50,False,0.0
0.0,0.0,2.0,0.0,2.2,193.0,36,2.0,0.0,3.3,9.8,2021-09-12T15:30:00Z,45.0,11,0.0,0.0,0.0,0.0,4,0.0,5244.0,3,0,21.0,1.0,-83,916,999,49,True,0.0
0.0,0.0,4.0,0.0,24.6,193.0,46,0.0,0.0,3.7,6.0,2021-09-17T19:00:00Z,29.0,14,0.0,0.0,0.0,0.0,5,0.0,5810.0,1,1,6.0,1.0,278,1130,852,49,False,0.0
0.0,0.0,-1.0,0.0,11.1,193.0,56,1.0,0.0,1.2,0.6,2021-09-25T14:00:00Z,21.0,19,0.0,0.0,0.0,0.0,6,0.0,5880.0,2,1,0.0,0.0,-67,674,741,49,True,1.0
0.0,0.0,1.0,0.0,0.0,193.0,65,0.0,0.0,2.8,0.0,2021-10-02T14:00:00Z,12.0,18,0.0,0.0,0.0,0.0,7,0.0,5472.0,0,1,30.0,1.0,-499,262,761,49,True,0.0
0.0,0.0,3.0,0.0,12.7,193.0,79,1.0,0.0,2.3,5.2,2021-10-16T14:00:00Z,80.0,16,0.0,0.0,0.0,0.0,8,0.0,5544.0,0,1,5.0,1.0,-86,390,476,49,False,1.0
0.0,0.0,3.0,0.0,21.1,193.0,87,0.0,0.0,3.0,0.0,2021-10-23T14:00:00Z,45.0,20,0.0,0.0,0.0,0.0,9,0.0,5451.0,1,1,9.0,1.0,-137,227,364,49,True,0.0
0.0,0.0,2.0,0.0,10.3,193.0,97,0.0,0.0,1.1,0.2,2021-10-31T14:00:00Z,2.0,15,0.0,0.0,0.0,0.0,10,0.0,5367.0,2,1,0.0,1.0,-178,308,486,49,False,0.0
0.0,0.0,5.0,0.0,0.5,193.0,107,0.0,0.0,0.6,3.2,2021-11-07T14:00:00Z,7.0,9,0.0,0.0,0.0,0.0,11,0.0,5226.0,1,1,2.0,1.0,-209,102,311,49,True,0.0
0.0,0.0,1.0,0.0,0.0,193.0,118,0.0,0.0,0.2,0.2,2021-11-21T16:30:00Z,18.0,17,0.0,0.0,0.0,0.0,12,0.0,5123.0,1,2,2.0,1.0,-176,112,288,48,False,0.0
0.0,0.0,1.0,0.0,0.6,193.0,123,0.0,0.0,6.4,8.2,2021-11-27T17:30:00Z,27.0,4,0.0,0.0,0.0,0.0,13,0.0,5102.0,0,0,55.0,1.0,-83,106,189,48,False,0.0
0.0,0.0,3.0,1.0,21.0,193.0,133,0.0,0.0,3.4,5.6,2021-11-30T20:15:00Z,90.0,7,0.0,0.0,0.0,0.0,14,0.0,5151.0,0,1,7.0,2.0,26,153,127,48,True,1.0
0.0,1.0,23.0,0.0,3.6,193.0,143,2.0,1.0,10.6,51.2,2021-12-05T14:00:00Z,90.0,3,0.0,0.0,0.0,0.0,15,0.0,5250.0,2,2,51.0,7.0,76,266,190,48,True,1.0
1.0,0.0,24.0,0.0,15.8,193.0,155,3.0,0.0,5.6,28.8,2021-12-11T15:00:00Z,90.0,6,0.0,0.0,0.0,0.0,16,0.0,7174.0,2,3,11.0,5.0,1525,1930,405,48,False,0.0
0.0,0.0,10.0,0.0,1.3,193.0,170,7.0,0.0,2.8,17.2,2021-12-14T20:00:00Z,90.0,12,0.0,0.0,0.0,0.0,17,0.0,10107.0,0,7,9.0,2.0,2851,3711,860,48,False,0.0
0.0,0.0,3.0,0.0,1.8,193.0,173,4.0,0.0,2.6,5.4,2021-12-18T17:30:00Z,90.0,1,0.0,0.0,0.0,0.0,18,0.0,16413.0,4,1,19.0,2.0,2756,4359,1603,48,True,0.0
0.0,0.0,-2.0,0.0,31.1,193.0,206,1.0,0.0,9.4,3.0,2022-01-02T14:00:00Z,57.0,5,0.0,0.0,0.0,0.0,21,0.0,13640.0,1,3,60.0,0.0,1672,3428,1756,48,True,1.0
0.0,0.0,0.0,0.0,0.0,193.0,219,0.0,0.0,0.0,0.0,2022-01-16T14:00:00Z,0.0,19,0.0,0.0,0.0,0.0,22,0.0,9178.0,3,2,0.0,0.0,-2762,413,3175,48,False,0.0
0.0,0.0,3.0,0.0,0.5,193.0,226,1.0,0.0,0.4,1.4,2022-01-22T15:00:00Z,19.0,14,0.0,0.0,0.0,0.0,23,0.0,8553.0,1,0,2.0,1.0,-1489,18,1507,48,True,0.0
0.0,0.0,0.0,0.0,0.0,193.0,231,0.0,0.0,0.0,0.0,2022-02-09T20:00:00Z,0.0,2,0.0,0.0,0.0,0.0,24,0.0,8202.0,3,3,0.0,0.0,-481,92,573,48,False,0.0
0.0,0.0,3.0,0.0,1.1,193.0,244,1.0,0.0,0.8,4.4,2022-02-12T15:00:00Z,45.0,8,0.0,0.0,0.0,0.0,25,0.0,7854.0,0,3,2.0,1.0,-337,90,427,48,False,0.0
0.0,0.0,0.0,0.0,0.0,193.0,255,0.0,0.0,0.0,0.0,2022-02-20T14:00:00Z,0.0,13,0.0,0.0,0.0,0.0,26,0.0,7767.0,4,2,0.0,0.0,-182,217,399,48,True,0.0
0.0,0.0,3.0,0.0,11.8,193.0,184,3.0,0.0,1.5,3.0,2022-02-23T19:45:00Z,45.0,11,0.0,0.0,0.0,0.0,26,0.0,7767.0,0,6,0.0,1.0,-182,217,399,48,False,0.0
