assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,2022-08-06T14:00:00Z,0.0,18,0.0,0.0,0.0,0.0,1,0.0,61566.0,0.0,1,4,0.0,0.0,0,0,0,65,False,0.0
0.0,0.0,6.0,0.0,13.5,411.0,0.01,0.13,0.12,1.93,19,2.0,0.0,2.2,5.2,2022-08-13T14:00:00Z,90.0,11,0.0,0.0,0.0,0.0,2,0.0,53680.0,1.0,2,2,3.0,2.0,-13044,2626,15670,64,True,0.0
0.0,3.0,53.0,0.0,0.5,411.0,0.0,0.47,0.47,0.0,26,0.0,2.0,10.3,64.0,2022-08-20T14:00:00Z,31.0,10,0.0,0.0,0.0,0.0,3,0.0,48946.0,0.0,2,1,38.0,12.0,-7810,3102,10912,64,False,0.0
0.0,0.0,6.0,0.0,12.0,411.0,0.08,0.59,0.51,1.4,39,1.0,0.0,7.9,2.6,2022-08-27T11:30:00Z,90.0,14,0.0,0.0,0.0,0.0,4,0.0,97472.0,1.0,1,0,64.0,2.0,34038,44314,10276,64,True,0.0
0.0,0.0,6.0,0.0,39.2,411.0,0.18,0.18,0.0,1.1,50,1.0,0.0,6.4,12.8,2022-08-30T18:45:00Z,90.0,6,0.0,0.0,0.0,0.0,5,0.0,100704.0,1.0,1,2,12.0,2.0,-44,20653,20697,64,True,0.0
0.0,0.0,7.0,0.0,35.8,411.0,0.37,0.75,0.38,0.8,60,1.0,0.0,5.9,8.6,2022-09-03T14:00:00Z,90.0,20,0.0,0.0,0.0,0.0,6,0.0,104364.0,1.0,0,1,15.0,2.0,-1672,25091,26763,64,False,0.0
0.0,0.0,7.0,0.0,1.8,411.0,0.01,0.04,0.03,0.88,71,1.0,0.0,0.8,1.6,2022-09-16T19:00:00Z,70.0,2,0.0,0.0,0.0,0.0,8,0.0,103707.0,1.0,0,1,5.0,2.0,1772,9930,8158,64,False,0.0
1.0,0.0,11.0,0.0,38.1,411.0,0.11,0.35,0.24,1.96,89,2.0,0.0,10.1,26.2,2022-10-01T14:00:00Z,90.0,8,0.0,0.0,0.0,0.0,9,0.0,97332.0,1.0,2,1,37.0,5.0,-8206,7183,15389,64,True,0.0
0.0,0.0,6.0,0.0,2.4,411.0,0.01,0.01,0.0,2.47,97,4.0,0.0,1.2,5.6,2022-10-08T14:00:00Z,90.0,13,0.0,0.0,0.0,0.0,10,0.0,96204.0,1.0,0,4,4.0,2.0,-2397,12170,14567,64,False,0.0
0.0,0.0,6.0,0.0,12.1,411.0,0.01,0.27,0.26,1.21,108,1.0,0.0,8.4,20.4,2022-10-16T13:00:00Z,73.0,19,0.0,0.0,0.0,0.0,11,0.0,97339.0,1.0,1,1,51.0,2.0,-19,8650,8669,64,True,0.0
0.0,0.0,28.0,1.0,4.8,411.0,0.02,0.41,0.39,1.04,112,0.0,1.0,7.5,35.6,2022-10-19T18:30:00Z,90.0,3,0.0,0.0,0.0,0.0,12,0.0,107745.0,1.0,1,0,35.0,6.0,4904,11394,6490,64,False,0.0
0.0,0.0,2.0,0.0,0.3,411.0,0.0,0.0,0.0,0.15,127,0.0,0.0,0.3,0.2,2022-10-23T13:00:00Z,17.0,1,0.0,0.0,0.0,0.0,13,0.0,97494.0,0.0,1,1,2.0,1.0,-6205,5797,12002,64,True,0.0
0.0,0.0,-4.0,0.0,23.8,411.0,0.13,0.89,0.76,0.89,135,1.0,0.0,9.5,10.4,2022-10-29T14:00:00Z,90.0,7,0.0,0.0,0.0,0.0,14,0.0,94845.0,1.0,0,1,61.0,2.0,-3644,6453,10097,64,False,0.0
0.0,0.0,5.0,0.0,12.0,411.0,0.01,0.17,0.16,0.83,147,3.0,0.0,4.1,0.8,2022-11-06T14:00:00Z,63.0,15,0.0,0.0,0.0,0.0,15,0.0,100439.0,1.0,4,1,28.0,2.0,4367,13622,9255,64,True,0.0
0.0,2.0,35.0,0.0,18.1,411.0,0.57,1.16,0.59,1.95,154,3.0,1.0,10.2,40.2,2022-11-12T15:00:00Z,90.0,12,0.0,0.0,0.0,0.0,16,0.0,98819.0,1.0,1,3,44.0,8.0,-1991,8576,10567,64,False,0.0
