assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,10.0,0.0,0.0,425.0,0.0,0.0,0.0,0.48,8,1.0,0.0,1.1,10.8,2022-08-06T14:00:00Z,90.0,17,0.0,0.0,0.0,0.0,1,1.0,379701.0,1.0,1,4,0.0,2.0,0,0,0,55,True,0.0
0.0,0.0,9.0,0.0,0.0,425.0,0.0,0.0,0.0,1.58,15,2.0,0.0,1.4,13.8,2022-08-14T15:30:00Z,90.0,6,0.0,0.0,0.0,0.0,2,1.0,394157.0,1.0,2,2,0.0,1.0,-30716,10101,40817,55,False,0.0
0.0,2.0,31.0,1.0,0.0,425.0,0.0,0.0,0.0,0.71,29,0.0,0.0,2.0,19.8,2022-08-20T11:30:00Z,90.0,20,0.0,0.0,0.0,0.0,3,3.0,405835.0,1.0,0,1,0.0,9.0,-12667,26413,39080,55,True,0.0
0.0,0.0,25.0,1.0,0.0,425.0,0.0,0.0,0.0,0.95,38,0.0,0.0,0.9,9.2,2022-08-28T15:30:00Z,90.0,16,0.0,0.0,0.0,0.0,4,1.0,469788.0,1.0,2,0,0.0,6.0,29435,54645,25210,55,False,0.0
0.0,2.0,18.0,0.0,0.0,425.0,0.0,0.0,0.0,1.24,47,1.0,0.0,1.7,17.2,2022-08-31T18:45:00Z,90.0,19,0.0,0.0,0.0,0.0,5,3.0,484823.0,1.0,1,1,0.0,5.0,388,26433,26045,55,False,0.0
0.0,0.0,12.0,0.0,0.0,425.0,0.0,0.0,0.0,0.73,59,1.0,0.0,1.0,10.4,2022-09-03T14:00:00Z,90.0,9,0.0,0.0,0.0,0.0,6,2.0,525569.0,1.0,1,2,0.0,2.0,17008,44990,27982,55,True,0.0
0.0,0.0,22.0,0.0,0.0,425.0,0.0,0.0,0.0,1.77,79,2.0,0.0,3.6,36.2,2022-09-17T16:30:00Z,90.0,10,0.0,0.0,0.0,0.0,8,5.0,593605.0,1.0,2,6,0.0,2.0,34296,45131,10835,55,True,0.0
0.0,0.0,19.0,0.0,0.0,425.0,0.0,0.0,0.0,2.38,81,3.0,0.0,3.7,37.0,2022-10-01T11:30:00Z,90.0,1,0.0,0.0,0.0,0.0,9,6.0,485701.0,1.0,1,3,0.0,3.0,-68186,8010,76196,55,False,0.0
0.0,3.0,31.0,1.0,0.0,425.0,0.0,0.0,0.0,0.72,93,0.0,0.0,2.7,27.4,2022-10-08T16:30:00Z,90.0,5,0.0,0.0,0.0,0.0,10,4.0,494498.0,1.0,1,0,0.0,10.0,-609,19454,20063,55,False,0.0
0.0,0.0,20.0,1.0,0.0,425.0,0.0,0.0,0.0,0.43,109,0.0,0.0,0.3,2.6,2022-10-15T16:30:00Z,90.0,8,0.0,0.0,0.0,0.0,11,0.0,624551.0,1.0,0,2,0.0,6.0,108690,117635,8945,55,True,0.0
0.0,0.0,29.0,0.0,0.0,425.0,0.0,0.0,0.0,1.61,119,2.0,0.0,5.3,53.2,2022-10-19T19:15:00Z,90.0,14,0.0,0.0,0.0,0.0,12,8.0,605761.0,1.0,0,2,0.0,3.0,-2133,20725,22858,55,False,0.0
0.0,0.0,12.0,0.0,0.0,425.0,0.0,0.0,0.0,1.21,128,2.0,0.0,1.7,17.2,2022-10-23T15:30:00Z,90.0,15,0.0,0.0,0.0,0.0,13,3.0,605930.0,1.0,2,1,0.0,2.0,-14087,10485,24572,55,True,0.0
0.0,0.0,14.0,0.0,0.0,425.0,0.0,0.0,0.0,0.54,132,2.0,0.0,2.2,21.6,2022-10-29T14:00:00Z,90.0,3,0.0,0.0,0.0,0.0,14,2.0,613534.0,1.0,3,2,0.0,1.0,2170,23803,21633,55,False,0.0
0.0,0.0,15.0,0.0,0.0,425.0,0.0,0.0,0.0,1.18,148,2.0,0.0,2.6,25.6,2022-11-06T16:30:00Z,90.0,12,0.0,0.0,0.0,0.0,15,4.0,579156.0,1.0,2,1,0.0,2.0,-35585,7565,43150,55,True,0.0
0.0,0.0,12.0,0.0,0.0,425.0,0.0,0.0,0.0,1.1,158,3.0,0.0,2.4,23.8,2022-11-12T15:00:00Z,90.0,11,0.0,0.0,0.0,0.0,16,2.0,571492.0,1.0,3,4,0.0,1.0,-11629,10283,21912,55,True,0.0
0.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,0.0,0.0,163,0.0,0.0,0.0,0.0,2022-12-26T12:30:00Z,0.0,4,0.0,0.0,0.0,0.0,17,0.0,518365.0,0.0,2,2,0.0,0.0,-59209,24541,83750,55,False,0.0
